persistence_mse,model_mse,mse_improvement,relative_mse_improvement,persistence_mae,model_mae,residual_mse_zero,residual_mse_model,relative_residual_mse_improvement,persistence_ssim,model_ssim,residual_sign_accuracy_top_quartile,truth_residual_energy,pred_residual_energy,roi_id,cycleNo,pair_index,validation_score,fold_id
4.6348472096724436e-05,5.189392322790809e-05,-5.545451131183654e-06,-0.11964690269855875,0.005240858066827059,0.005523936357349157,4.6348472096724436e-05,5.197314021643251e-05,-0.12135606343117372,0.9807604425409694,0.9802073737353454,0.4973958333333333,4.6348472096724436e-05,6.190709427755792e-06,cycle86_rank5_obj8,86.0,0,5.377963073534964,cycle_86
4.293490928830579e-05,4.842428461415693e-05,-5.489375325851142e-06,-0.12785342782466963,0.005068435333669186,0.005343851633369923,4.293490928830579e-05,4.851202902500518e-05,-0.12989708908546435,0.9804530661415171,0.9799615123463266,0.5169270833333334,4.293490928830579e-05,6.184332960401662e-06,cycle86_rank5_obj8,86.0,8,5.377963073534964,cycle_86
4.627615271601826e-05,5.169464566279203e-05,-5.4184929467737675e-06,-0.11709039383687105,0.005285021383315325,0.005527219735085964,4.627615271601826e-05,5.173568206373602e-05,-0.1179771659329833,0.9794091662948514,0.978986785956371,0.5707465277777778,4.627615271601826e-05,6.182149263622705e-06,cycle86_rank5_obj8,86.0,16,5.377963073534964,cycle_86
4.35126967204269e-05,5.017341754864901e-05,-6.660720828222111e-06,-0.15307533961909686,0.005129676777869463,0.005420202389359474,4.35126967204269e-05,5.027807492297143e-05,-0.1554805542394374,0.9799669540664296,0.9794138284597868,0.5186631944444444,4.35126967204269e-05,6.181817752803909e-06,cycle86_rank5_obj8,86.0,24,5.377963073534964,cycle_86
4.419930337462574e-05,4.966465348843485e-05,-5.465350113809109e-06,-0.12365240391880694,0.005197216756641865,0.005438440013676882,4.419930337462574e-05,4.969361543771811e-05,-0.12430766196750921,0.9785943204164504,0.9781112882310962,0.5329861111111112,4.419930337462574e-05,6.1734231167065445e-06,cycle86_rank5_obj8,86.0,32,5.377963073534964,cycle_86
4.4161071855342016e-05,5.094945663586259e-05,-6.788384780520573e-06,-0.1537187503681346,0.005128897726535797,0.005427885334938765,4.4161071855342016e-05,5.1050119509454817e-05,-0.15599819851925664,0.9795026120138757,0.9789393064048555,0.4900173611111111,4.4161071855342016e-05,6.182453944347799e-06,cycle86_rank5_obj8,86.0,40,5.377963073534964,cycle_86
4.43805729446467e-05,4.93619627377484e-05,-4.981389793101698e-06,-0.11224257513112089,0.005194219294935465,0.005413026083260775,4.43805729446467e-05,4.9428479542257264e-05,-0.11374135714531046,0.9765499409996433,0.9761080489482409,0.5598958333333334,4.43805729446467e-05,6.1265932345122565e-06,cycle86_rank5_obj8,86.0,48,5.377963073534964,cycle_86
4.261411595507525e-05,4.9412465159548447e-05,-6.7983492044731975e-06,-0.15953279921705213,0.005098572466522455,0.005428887438029051,4.261411595507525e-05,4.947255365550518e-05,-0.16094286005276395,0.9773354310165216,0.9766482008239369,0.4722222222222222,4.261411595507525e-05,6.135779585747514e-06,cycle86_rank5_obj8,86.0,56,5.377963073534964,cycle_86
5.537756078410894e-05,6.212046719156206e-05,-6.74290640745312e-06,-0.1217624307025826,0.005638969596475363,0.005958613473922014,5.537756078410894e-05,6.217448390088975e-05,-0.12273785664339432,0.9763461051605365,0.9757125862292302,0.4592013888888889,5.537756078410894e-05,6.148703050712356e-06,cycle86_rank5_obj8,86.0,64,5.377963073534964,cycle_86
4.3273095798213035e-05,5.016177237848751e-05,-6.888676580274478e-06,-0.15919075012328898,0.005123445298522711,0.005454822909086943,4.3273095798213035e-05,5.019275704398751e-05,-0.159906776211288,0.9780867350763744,0.9774440022603965,0.4561631944444444,4.3273095798213035e-05,6.144002327346243e-06,cycle86_rank5_obj8,86.0,72,5.377963073534964,cycle_86
5.293687354424037e-05,5.8829537010751665e-05,-5.892663466511294e-06,-0.11131491287611991,0.005518252495676279,0.0058154878206551075,5.293687354424037e-05,5.887759107281454e-05,-0.11222267449567826,0.9791227061145099,0.9785459155948074,0.4787326388888889,5.293687354424037e-05,6.19908587395912e-06,cycle86_rank5_obj8,86.0,80,5.377963073534964,cycle_86
4.841421832679771e-05,5.39631255378481e-05,-5.548907211050391e-06,-0.11461317362587718,0.00533514516428113,0.005587552208453417,4.841421832679771e-05,5.403811519499868e-05,-0.11616209168636096,0.9801538791994989,0.9796362632513046,0.5082465277777778,4.841421832679771e-05,6.201589712873101e-06,cycle86_rank5_obj8,86.0,88,5.377963073534964,cycle_86
4.159804666414857e-05,4.709869244834408e-05,-5.5006457841955125e-06,-0.1322332711582889,0.004982939455658197,0.005264914594590664,4.159804666414857e-05,4.7199671826092526e-05,-0.13466077403032817,0.9800479844028567,0.9793912119409185,0.5223621363438993,4.159804666414857e-05,6.154586571938125e-06,cycle86_rank2_obj6,86.0,0,5.344092852173012,cycle_86
3.970495527028106e-05,4.5623812184203416e-05,-5.918856913922355e-06,-0.14907098808275415,0.0049384888261556625,0.0052064042538404465,3.970495527028106e-05,4.57702117273584e-05,-0.15275817377931036,0.9799861084311097,0.9794200238695852,0.5247395833333334,3.970495527028106e-05,6.147286967461696e-06,cycle86_rank2_obj6,86.0,8,5.344092852173012,cycle_86
4.4378881284501404e-05,5.0106315029552206e-05,-5.727433745050803e-06,-0.12905764136625533,0.005183110479265451,0.005421800538897514,4.4378881284501404e-05,5.019753734814003e-05,-0.13111317579946968,0.9787601767645941,0.9782648941984883,0.5672743055555556,4.4378881284501404e-05,6.142932761576958e-06,cycle86_rank2_obj6,86.0,16,5.344092852173012,cycle_86
4.1063904063776135e-05,4.727169653051533e-05,-6.207792466739193e-06,-0.15117394724812094,0.005007384344935417,0.005286964122205973,4.1063904063776135e-05,4.749276922666468e-05,-0.1565575731158904,0.9792167028159271,0.9786016154289245,0.5199652777777778,4.1063904063776135e-05,6.145861334516667e-06,cycle86_rank2_obj6,86.0,24,5.344092852173012,cycle_86
4.175465437583625e-05,4.716869443655014e-05,-5.414040060713887e-06,-0.12966315112997404,0.0050435736775398254,0.00529659865424037,4.175465437583625e-05,4.7268134949263185e-05,-0.13204469431838062,0.9779709965358546,0.9773816605408986,0.5260416666666666,4.175465437583625e-05,6.137151558505138e-06,cycle86_rank2_obj6,86.0,32,5.344092852173012,cycle_86
4.311806333134882e-05,4.9704238335834816e-05,-6.586175004485995e-06,-0.15274746812892084,0.005089380778372288,0.005387570708990097,4.311806333134882e-05,4.980900848750025e-05,-0.15517731176220995,0.9778089130071946,0.9772404225152216,0.5,4.311806333134882e-05,6.143343853182159e-06,cycle86_rank2_obj6,86.0,40,5.344092852173012,cycle_86
4.19440730183851e-05,4.8013826017268e-05,-6.069752998882905e-06,-0.144710624459918,0.005043091718107462,0.005303706508129835,4.19440730183851e-05,4.8193262045970187e-05,-0.14898860739742464,0.9757927597746437,0.9751757703151231,0.5386284722222222,4.19440730183851e-05,6.110178674134659e-06,cycle86_rank2_obj6,86.0,48,5.344092852173012,cycle_86
4.21278273279313e-05,4.85056298202835e-05,-6.3778024923522025e-06,-0.1513916785384191,0.00504363514482975,0.005360075738281012,4.21278273279313e-05,4.855298902839422e-05,-0.1525158572847396,0.9754793705469297,0.974771186069206,0.4739583333333333,4.21278273279313e-05,6.114222287578741e-06,cycle86_rank2_obj6,86.0,56,5.344092852173012,cycle_86
4.8920188419288024e-05,5.53740028408356e-05,-6.453814421547577e-06,-0.13192537948204217,0.005345088895410299,0.0056524076499044895,4.8920188419288024e-05,5.544026862480678e-05,-0.13327994875318275,0.9758547258745005,0.9750813308027055,0.4552951388888889,4.8920188419288024e-05,6.122558261267841e-06,cycle86_rank2_obj6,86.0,64,5.344092852173012,cycle_86
4.149610685999505e-05,4.805319622391835e-05,-6.557089363923296e-06,-0.1580169770153729,0.00504649942740798,0.005346772726625204,4.149610685999505e-05,4.8137848352780566e-05,-0.1600569787231916,0.9769033701331528,0.9762035025564241,0.4796006944444444,4.149610685999505e-05,6.119234967627563e-06,cycle86_rank2_obj6,86.0,72,5.344092852173012,cycle_86
4.716162584372796e-05,5.304287697072141e-05,-5.8812511269934475e-06,-0.12470416406934785,0.005290269386023283,0.005585197824984789,4.716162584372796e-05,5.313607834978029e-05,-0.1266803762416701,0.9778460613665757,0.9771703653055944,0.4613715277777778,4.716162584372796e-05,6.167213996377541e-06,cycle86_rank2_obj6,86.0,80,5.344092852173012,cycle_86
4.3101423216285184e-05,4.875793092651293e-05,-5.656507710227743e-06,-0.13123714457972985,0.005057821981608868,0.0053521557711064816,4.3101423216285184e-05,4.900311978417449e-05,-0.13692579333805946,0.9796498120493359,0.979041620588597,0.5065104166666666,4.3101423216285184e-05,6.172856956254691e-06,cycle86_rank2_obj6,86.0,88,5.344092852173012,cycle_86
7.61480478104204e-05,8.210002852138132e-05,-5.951980710960925e-06,-0.07816327380813606,0.00677601620554924,0.007000823970884085,7.61480478104204e-05,8.250110840890557e-05,-0.08343038043866693,0.9623814567960339,0.9616558371944192,0.4661458333333333,7.61480478104204e-05,6.244450560188852e-06,cycle86_rank3_obj5,86.0,0,4.595016519669338,cycle_86
7.428864773828536e-05,7.958336209412664e-05,-5.294714355841279e-06,-0.07127218649199611,0.006730654276907444,0.006941977888345718,7.428864773828536e-05,8.024692942854017e-05,-0.0802044709609669,0.9623054398430718,0.9617641473625913,0.5243055555555556,7.428864773828536e-05,6.24235644863802e-06,cycle86_rank3_obj5,86.0,8,4.595016519669338,cycle_86
