epoch,train_loss,val_loss,fold_id
1,0.002400046680122614,0.0014686976792290807,cycle_86
2,0.0014898099470883608,0.0008211782551370561,cycle_86
3,0.000843427493236959,0.00039829648449085653,cycle_86
4,0.0004219493130221963,0.0001646854798309505,cycle_86
5,0.00018998824816662818,8.832060848362744e-05,cycle_86
6,0.00011546004679985344,0.0001283910678466782,cycle_86
7,0.00015740793605800718,0.00022572943998966366,cycle_86
8,0.00025636525242589414,0.00031564407981932163,cycle_86
1,0.03934672847390175,0.03369190916419029,cycle_116
2,0.03369201719760895,0.028688298538327217,cycle_116
3,0.028660768643021584,0.024212077260017395,cycle_116
4,0.024160733446478844,0.0201763603836298,cycle_116
5,0.02010449394583702,0.016488272696733475,cycle_116
6,0.016399068757891655,0.013088155537843704,cycle_116
7,0.012985416688024998,0.009962838143110275,cycle_116
8,0.009851798415184021,0.007146629970520735,cycle_116
9,0.007034975104033947,0.0047284443862736225,cycle_116
10,0.004627616610378027,0.0028569588903337717,cycle_116
11,0.00278330291621387,0.0017208920326083899,cycle_116
12,0.001695284154266119,0.0014501609839498997,cycle_116
