roi_id,cycleNo,persistence_mse,model_mse,mse_improvement,relative_mse_improvement,persistence_mae,model_mae,relative_residual_mse_improvement,residual_sign_accuracy_top_quartile,truth_residual_energy,pred_residual_energy,validation_score
cycle116_rank1_obj6,116.0,7.998019585405321e-05,0.0007326607737923041,-0.0006526805779382509,-8.204391771740289,0.006900257236945133,0.017046771633128326,-19.384386139800593,0.4972511574074074,7.998019585405321e-05,0.001537679248334219,4.033089505345082
cycle116_rank2_obj2,116.0,4.3213817965200484e-05,0.000608859263593331,-0.0005656454456281305,-13.167423953928443,0.005087905020142595,0.014723705826327205,-32.64202508772116,0.4973421216891012,4.3213817965200484e-05,0.0014012471753327798,4.159234021974196
cycle116_rank3_obj9,116.0,8.946222563584645e-05,0.0007723396653697515,-0.0006828774397339051,-7.6937807411245585,0.00730872336619844,0.017675006141265232,-16.734433968789663,0.49754050925925924,8.946222563584645e-05,0.0014795158155417691,4.261017170280639
cycle116_rank4_obj58,116.0,0.00010344516219144377,0.0006741734929770852,-0.0005707283307856414,-5.525328459085508,0.007876205219266316,0.016106912555793922,-11.214566208696247,0.4879195601851852,0.00010344516219144377,0.0011491717596072704,3.625239010614535
cycle116_rank7_obj37,116.0,0.00023482880593898395,0.0011558817641343921,-0.0009210529581954082,-3.9214150342357823,0.011970179621130228,0.022540869191288948,-6.231676553247403,0.4854600694444444,0.00023482880593898395,0.0014518985311345507,3.780379242324946
cycle116_rank8_obj20,116.0,8.308887784854353e-05,0.0006987304028977329,-0.0006156415250491895,-7.555295978930249,0.006963866103130083,0.016137053181106847,-13.318292438413101,0.488805582442788,8.308887784854353e-05,0.001085237546552283,3.987079460919189
cycle86_rank2_obj6,86.0,4.3030812472958736e-05,4.9060075980378315e-05,-6.029263507419576e-06,-0.14049436960492867,0.005089273676276207,0.005372047424316406,-0.14339660537865478,0.5063122960842138,4.3030812472958736e-05,6.139785682535148e-06,5.344092852173012
cycle86_rank3_obj5,86.0,8.278759135767662e-05,8.853692573514611e-05,-5.749334377469495e-06,-0.07016680169069721,0.007025055044020216,0.00724101373149703,-0.07493248874561528,0.5024233217592592,8.278759135767662e-05,6.237306138245913e-06,4.595016519669338
cycle86_rank4_obj9,86.0,0.00010364972270811752,0.0001095816217760633,-5.931899067945778e-06,-0.057747261906215354,0.007877438484380642,0.00807839841581881,-0.06172671017863402,0.49775752314814814,0.00010364972270811752,6.193019354820232e-06,3.518927813373632
cycle86_rank5_obj8,86.0,4.620242028371043e-05,5.222080926614581e-05,-6.018388982435378e-06,-0.1311411549951816,0.005246559196772675,0.00552832711643229,-0.13256086245088505,0.505099826388889,4.620242028371043e-05,6.17088668756575e-06,5.377963073534964
cycle86_rank8_obj17,86.0,8.824997045545994e-05,9.418485387868714e-05,-5.934883423227196e-06,-0.06882686513799173,0.007192167453467846,0.00741735896250854,-0.06895317098728265,0.5034360532407408,8.824997045545994e-05,6.1036678668339546e-06,3.8991914755100505
