source_stem,n_roi,n_cycles,future_any_drop_within_8cycles,future_any_drop_within_16cycles,mask_area_fraction_median,mask_centroid_path_px,front_radius_q70_slope_px_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,roi_norm_mean_delta_last_minus_first
10_c2_x10_030723,4,2,0.0,0.0,0.23697916666666666,9.311094688117995,-1.3318298969072169,-1.6201870515463939,-0.0005333125591277499
11_c2_x10_050723,6,3,0.0,4.0,0.2275390625,8.6599138521418,0.3887457044673541,0.3003909278350519,0.0002725546558697939
12_c2_x10_070723,8,4,8.0,8.0,0.23763020833333334,9.379350348087355,-0.42500000000000016,-0.2652972865979382,-0.00021702237427232563
14_c2_x10_HighCOV_110723,8,4,0.0,0.0,0.2186211480034722,11.227117831187709,-0.18317378497790865,-0.13860646833578813,8.41561704874016e-05
15_c2_x5_HighCOV_120723,6,3,0.0,0.0,0.22023292824074073,12.107008503677612,0.18621134020618563,0.21004404123711318,0.0014438529809315667
16_c2_x10_HighHighCOV_130723,8,4,0.0,6.0,0.2293429904513889,16.296883411123535,0.03210910652920958,-0.05119868041237122,-0.0011447183787822626
17_c2_x10_HighHighCOV_150723,6,3,6.0,6.0,0.22099247685185183,37.77816931355509,0.3726374570446737,0.24273550515463935,-0.00018516058723131663
2_c2_x14_200623,8,4,0.0,0.0,0.24604627821180555,8.432283175178373,0.35438144329896937,0.1437030927835053,0.0003686603158712125
4_c2_x10_240623,8,4,0.0,0.0,0.2445068359375,8.069791038234406,-0.106958762886598,-0.5555632824742276,-0.00019870232790707493
5_c2_x10_260623,6,3,0.0,0.0,0.25714337384259256,9.525102068468117,0.3521262886597941,0.22341674226804112,0.0004912105699380038
6_c2_x10_270623_2,8,4,4.0,8.0,0.26206461588541663,7.814258588957094,-0.4490979381443301,-0.21448577319587636,-0.00015349313616753327
7_c2_x10_290623,4,2,2.0,2.0,0.2536892361111111,7.570088565581424,0.017719072164948613,-0.047136989690721526,-4.536285996437028e-05
8_c2_x10_300623,8,4,0.0,6.0,0.24973551432291666,8.44198012875354,0.7098367697594504,0.37518779381443307,-9.291060268878185e-05
9_c2_x10_010723,8,4,8.0,8.0,0.25303141276041663,9.019163114767679,1.380584192439863,0.6762517113402065,0.0003997441381216045
