particle_mse,particle_mae,nonparticle_mse,nonparticle_mae,full_crop_mse,full_crop_mae,particle_to_nonparticle_mse_ratio,particle_mse_fraction_of_full,particle_mask_area_fraction,nonparticle_context_area_fraction,roi_id,cycleNo,cohort_role,event_reference_cycle,method,eval_step,frame_index,validation_score,mask_fallback_used,accepted_area_fraction
7.911743159638718e-05,0.006641057785600424,8.548332698410377e-05,0.007313401438295841,9.872733062366024e-05,0.0077560171484947205,0.925530561194695,0.8013731465907425,0.15049913194444445,0.6042751736111112,cycle40_rank2_obj3,40.0,,,persistence,0,5263,26.16938597041552,0,0.15049913194444445
0.00020637040142901242,0.01074979454278946,0.00024559401208534837,0.012345908209681511,0.00028240971732884645,0.013075792230665684,0.8402908510541982,0.7307482312611377,0.15049913194444445,0.6042751736111112,cycle40_rank2_obj3,40.0,,,velocity,0,5263,26.16938597041552,0,0.15049913194444445
0.005371110048145056,0.0449618324637413,0.0008783277007751167,0.01807437650859356,0.0015420778654515743,0.022520478814840317,6.115155019482019,3.4830342672561523,0.15049913194444445,0.6042751736111112,cycle40_rank2_obj3,40.0,,,low_rank_dmd,0,5263,26.16938597041552,0,0.15049913194444445
0.0001012620487017557,0.00726120313629508,8.517452806700021e-05,0.007317421957850456,0.00010159606608795002,0.00783273670822382,1.1888771326340744,0.9967123000027859,0.1515842013888889,0.6031901041666666,cycle40_rank2_obj3,40.0,,,persistence,1,5273,26.16938597041552,0,0.1515842013888889
0.0002298889448866248,0.011271107010543346,0.0002501988201402128,0.012515423819422722,0.00028697593370452523,0.013205403462052345,0.9188250558407661,0.8010739504146782,0.1515842013888889,0.6031901041666666,cycle40_rank2_obj3,40.0,,,velocity,1,5273,26.16938597041552,0,0.1515842013888889
0.0054643102921545506,0.04518018290400505,0.0008961992571130395,0.01835591346025467,0.0015753648476675153,0.022807592526078224,6.097204666021415,3.468599861324192,0.1515842013888889,0.6031901041666666,cycle40_rank2_obj3,40.0,,,low_rank_dmd,1,5273,26.16938597041552,0,0.1515842013888889
9.702223906060681e-05,0.0071374401450157166,8.394645556109026e-05,0.007225899491459131,9.946066711563617e-05,0.007728680968284607,1.1557633781214374,0.9754834938700505,0.13975694444444445,0.6150173611111112,cycle40_rank2_obj3,40.0,,,persistence,2,5283,26.16938597041552,0,0.13975694444444445
0.00029149866895750165,0.01244534645229578,0.00024907448096200824,0.012449298053979874,0.0002963789156638086,0.013350692577660084,1.1703273166790797,0.983533758818921,0.13975694444444445,0.6150173611111112,cycle40_rank2_obj3,40.0,,,velocity,2,5283,26.16938597041552,0,0.13975694444444445
0.006027685943990946,0.047004006803035736,0.0009376868256367743,0.01880684494972229,0.0016260971315205097,0.023013267666101456,6.428250647435087,3.706842492462093,0.13975694444444445,0.6150173611111112,cycle40_rank2_obj3,40.0,,,low_rank_dmd,2,5283,26.16938597041552,0,0.13975694444444445
0.00012122814223403111,0.00777320796623826,8.691172843100503e-05,0.007315011695027351,0.00010599147935863584,0.007923197001218796,1.3948421510253153,1.1437536580071692,0.1615668402777778,0.5932074652777778,cycle40_rank2_obj3,40.0,,,persistence,3,5292,26.16938597041552,0,0.1615668402777778
0.0003078875597566366,0.01261939387768507,0.0002506405289750546,0.012546227313578129,0.00029735700809396803,0.013372672721743584,1.228402928351941,1.0354138337958418,0.1615668402777778,0.5932074652777778,cycle40_rank2_obj3,40.0,,,velocity,3,5292,26.16938597041552,0,0.1615668402777778
0.005584877450019121,0.04508303105831146,0.0009159063338302076,0.018410811200737953,0.0016580362571403384,0.023134514689445496,6.097651303123815,3.368368710857696,0.1615668402777778,0.5932074652777778,cycle40_rank2_obj3,40.0,,,low_rank_dmd,3,5292,26.16938597041552,0,0.1615668402777778
8.622297900728881e-05,0.0068493918515741825,8.474837522953749e-05,0.007285653613507748,9.738191147334874e-05,0.007705207448452711,1.0173997881818668,0.8854106240344863,0.16102430555555555,0.59375,cycle40_rank2_obj3,40.0,,,persistence,4,5302,26.16938597041552,0,0.16102430555555555
0.00028676926740445197,0.012349382042884827,0.00025240209652110934,0.012525870464742184,0.00029377848841249943,0.013314153999090195,1.1361604018232407,0.9761411359765535,0.16102430555555555,0.59375,cycle40_rank2_obj3,40.0,,,velocity,4,5302,26.16938597041552,0,0.16102430555555555
0.005641678813844919,0.045251913368701935,0.0008989472989924252,0.018424613401293755,0.0016532089794054627,0.023142989724874496,6.2758727015124585,3.4125624068856766,0.16102430555555555,0.59375,cycle40_rank2_obj3,40.0,,,low_rank_dmd,4,5302,26.16938597041552,0,0.16102430555555555
0.00010693518561311066,0.007433006539940834,8.397947385674343e-05,0.0072339558973908424,0.00010274160740664229,0.00783415138721466,1.2733490780797971,1.0408167471029586,0.15028211805555555,0.6044921875,cycle40_rank2_obj3,40.0,,,persistence,5,5312,26.16938597041552,0,0.15028211805555555
0.0002784541284199804,0.01242204662412405,0.0002477151865605265,0.012406600639224052,0.0002923942811321467,0.013341103680431843,1.1240898561216923,0.9523241266614716,0.15028211805555555,0.6044921875,cycle40_rank2_obj3,40.0,,,velocity,5,5312,26.16938597041552,0,0.15028211805555555
0.0060692462138831615,0.0461169071495533,0.0009293543407693505,0.018901649862527847,0.00168904778547585,0.02330019325017929,6.530605117590388,3.593294556893363,0.15028211805555555,0.6044921875,cycle40_rank2_obj3,40.0,,,low_rank_dmd,5,5312,26.16938597041552,0,0.15028211805555555
7.013681170064956e-05,0.006146720144897699,8.349835843546316e-05,0.007225636392831802,9.320818935520947e-05,0.0075131612829864025,0.8399783302908775,0.7524747791566189,0.16145833333333334,0.5933159722222222,cycle40_rank2_obj3,40.0,,,persistence,6,5322,26.16938597041552,0,0.16145833333333334
