,cycleNo,mean_drop_frac,evidence_score,rollout_residual_energy_mean,rollout_residual_energy_slope_per_step,radius2_slope_full_px2_per_s,active_fraction_last,roi_mean_delta_corrected,cumulative_abs_change,high_fraction_slope_per_frame,apparent_diffusion_proxy_px2_per_frame,relative_mse_improvement,joint_degradation_score
cycleNo,1.0,1.0,1.0,-0.8082903768654761,-0.8660254037844387,-0.34641016151377546,-0.8660254037844387,-0.34641016151377546,-0.8082903768654761,0.23094010767585033,0.0,-0.8660254037844387,0.05773502691896258
mean_drop_frac,1.0,1.0,1.0,-0.8082903768654761,-0.8660254037844387,-0.34641016151377546,-0.8660254037844387,-0.34641016151377546,-0.8082903768654761,0.23094010767585033,0.0,-0.8660254037844387,0.05773502691896258
evidence_score,1.0,1.0,1.0,-0.8082903768654761,-0.8660254037844387,-0.34641016151377546,-0.8660254037844387,-0.34641016151377546,-0.8082903768654761,0.23094010767585033,0.0,-0.8660254037844387,0.05773502691896258
rollout_residual_energy_mean,-0.8082903768654761,-0.8082903768654761,-0.8082903768654761,1.0,0.9818181818181818,0.5454545454545454,0.8,0.19090909090909092,0.8272727272727273,0.1,-0.33636363636363636,0.8090909090909091,0.12727272727272726
rollout_residual_energy_slope_per_step,-0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.9818181818181818,1.0,0.509090909090909,0.8727272727272727,0.22727272727272727,0.8272727272727273,0.06363636363636363,-0.2818181818181818,0.8272727272727273,0.11818181818181818
radius2_slope_full_px2_per_s,-0.34641016151377546,-0.34641016151377546,-0.34641016151377546,0.5454545454545454,0.509090909090909,1.0,0.33636363636363636,0.6636363636363637,0.41818181818181815,0.0,-0.6181818181818182,0.34545454545454546,-0.6090909090909091
active_fraction_last,-0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.8,0.8727272727272727,0.33636363636363636,1.0,0.37272727272727274,0.7363636363636363,-0.16363636363636364,0.08181818181818182,0.7363636363636363,0.08181818181818182
roi_mean_delta_corrected,-0.34641016151377546,-0.34641016151377546,-0.34641016151377546,0.19090909090909092,0.22727272727272727,0.6636363636363637,0.37272727272727274,1.0,0.35454545454545455,-0.36363636363636365,0.1,0.2545454545454545,-0.7909090909090909
cumulative_abs_change,-0.8082903768654761,-0.8082903768654761,-0.8082903768654761,0.8272727272727273,0.8272727272727273,0.41818181818181815,0.7363636363636363,0.35454545454545455,1.0,0.18181818181818182,-0.07272727272727272,0.9727272727272728,0.045454545454545456
high_fraction_slope_per_frame,0.23094010767585033,0.23094010767585033,0.23094010767585033,0.1,0.06363636363636363,0.0,-0.16363636363636364,-0.36363636363636365,0.18181818181818182,1.0,-0.35454545454545455,0.12727272727272726,0.5181818181818182
apparent_diffusion_proxy_px2_per_frame,0.0,0.0,0.0,-0.33636363636363636,-0.2818181818181818,-0.6181818181818182,0.08181818181818182,0.1,-0.07272727272727272,-0.35454545454545455,1.0,-0.10909090909090909,0.12727272727272726
relative_mse_improvement,-0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.8090909090909091,0.8272727272727273,0.34545454545454546,0.7363636363636363,0.2545454545454545,0.9727272727272728,0.12727272727272726,-0.10909090909090909,1.0,0.07272727272727272
joint_degradation_score,0.05773502691896258,0.05773502691896258,0.05773502691896258,0.12727272727272726,0.11818181818181818,-0.6090909090909091,0.08181818181818182,-0.7909090909090909,0.045454545454545456,0.5181818181818182,0.12727272727272726,0.07272727272727272,1.0
