roi_id,cycleNo,source_stem,validation_score,object_x_full_approx,object_y_full_approx,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta,roi_mean_slope_per_frame,roi_mean_slope_r2,high_fraction_first,high_fraction_last,high_fraction_delta,high_fraction_slope_per_frame,high_fraction_slope_r2,low_fraction_delta,low_fraction_slope_per_frame,front_radius_high_delta,front_radius_high_slope_px_per_frame,front_radius_high_slope_r2,front_radius_high_monotonic_pos_fraction,apparent_front_radius2_slope_px2_per_frame,apparent_diffusion_proxy_px2_per_frame,front_radius2_slope_r2,weighted_radial_mean_delta,weighted_radial_mean_slope_px_per_frame,temporal_diff_energy,cumulative_abs_change,trace_csv,mode_cluster,mode_name,roi_key,roi_id_event,rollout_residual_energy_mean,rollout_residual_energy_last,rollout_residual_energy_slope_per_step,truth_roi_delta_tail,ridge_rollout_delta_tail,roi_id_cnn,persistence_mse,model_mse,mse_improvement,relative_mse_improvement,persistence_mae,model_mae,relative_residual_mse_improvement,residual_sign_accuracy_top_quartile,truth_residual_energy,pred_residual_energy,roi_id_front,front_candidate_rank,object_candidate_rank,validation_tier,crop_x0,crop_y0,crop_x1,crop_y1,center_x_full_px,center_y_full_px,n_frames_front,elapsed_s,roi_mean_delta_corrected,active_fraction_first,active_fraction_last,trace_csv_front,plot_png,crop_preview_png,direction,mean_last_delta,baseline_frames,threshold,noise_mad_sigma,radius2_slope_full_px2_per_s,radius2_slope_r2,radius2_slope_n_fit,apparent_diffusion_proxy_full_px2_per_s,area_equiv_radius2_slope_full_px2_per_s,area_equiv_radius2_slope_r2,p90_radius2_slope_full_px2_per_s,p90_radius2_slope_r2,stage_drift_xy,mean_drop_frac,n_event_particles,global_frame_percentile,evidence_score,degradation_mode_hypothesis,V_mean,I_mean_mA,I_abs_mean_mA,V_range,block_mode,contraction_strength,optical_loss_strength,ai_residual_strength,persistence_advantage_strength,joint_degradation_score,roi_short,joint_mode_cluster,joint_mode_name
cycle86_rank4_obj9,86.0,10_c2_x10_030723,3.518927813373632,810.7391304347826,383.69565217391306,96,906,1812,0.0835938081145286,0.0829318836331367,-0.0006619244813919,1.0903105693949668e-05,0.1592270052084058,0.1484375,0.1472439236111111,-0.0011935763888888,2.1375691490704036e-05,0.1506393930786153,0.0,0.0,-0.0359157777157221,-0.0002915642672216,0.0278637197354155,0.5157894736842106,-0.017171399476242,-0.0042928498690605,0.0273145560923533,0.1016647376683046,-0.0004423125181371,0.0001216511300299,0.0177373643964529,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle86_rank4_obj9_frame_descriptors.csv,0,near_static_or_mixed,cycle86_front4_obj9,cycle86_rank4_obj9,0.0021907234888658,0.0050551770254969,0.0001851791738175,-0.0155272651463747,0.0034924554638564,cycle86_rank4_obj9,0.0001036497227081,0.000109581621776,-5.931899067945778e-06,-0.0577472619062153,0.0078774384843806,0.0080783984158188,-0.061726710178634,0.4977575231481481,0.0001036497227081,6.193019354820232e-06,cycle86_front4_obj9,4,9,,715,288,907,480,810.7391304347827,383.6956521739131,32,9098.54734659195,-15.6640625,0.0550672743055555,0.1118977864583333,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front4_obj9_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front4_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front4_obj9_crop_preview.png,1.0,57.81104278564453,5,320.42620107421874,106.80873369140625,-0.1868965376690237,0.2577204821010488,32,-0.0467241344172559,0.16891566389572,0.3013617784131057,-0.0911478015905935,0.0570324504804502,0.2236340951674545,0.1420951480652973,3,0.0786516853932584,12.399287527913966,synchronized_persistent_drop_low_frame_count,3.821635612224316,0.0034861829990025,0.500889,1.2002969999999995,galvanostatic_2,0.1868965376690237,15.6640625,0.0021907234888658,0.0577472619062153,2.8584733209397086,c86f4o9,1,highest_score_contracting_optical_loss
cycle116_rank3_obj9,116.0,13_c2_x6_100723,4.261017170280639,820.927536231884,380.1159420289855,96,909,1818,0.0767813622951507,0.0757234618067741,-0.0010579004883766,1.1912440269951144e-05,0.1779192061144904,0.1348741319444444,0.1336805555555555,-0.0011935763888888,2.4033650336298853e-05,0.1432916519435764,0.0,0.0,-0.1517126431392874,0.000117512572372,0.0059646225728908,0.5052631578947369,0.0071142925495427,0.0017785731373856,0.0059315783426054,0.0205027327920461,-0.000364673632831,8.857985812937841e-05,0.0089240483939647,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle116_rank3_obj9_frame_descriptors.csv,0,near_static_or_mixed,cycle116_front3_obj9,cycle116_rank3_obj9,0.00064808735533,0.0018221890786662,5.193859996007656e-05,-0.0164710730314254,0.0042669842950999,cycle116_rank3_obj9,8.946222563584645e-05,0.0007723396653697,-0.0006828774397339,-7.6937807411245585,0.0073087233661984,0.0176750061412652,-16.734433968789663,0.4975405092592592,8.946222563584645e-05,0.0014795158155417,cycle116_front3_obj9,3,9,,725,284,917,476,820.927536231884,380.1159420289855,32,9126.74534368515,-12.10546875,0.0428873697916666,0.0594346788194444,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front3_obj9_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front3_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front3_obj9_crop_preview.png,1.0,53.66439437866211,5,306.68319404296875,102.22773134765625,-0.2627405067053337,0.2985903304518088,32,-0.0656851266763334,0.1086153276690416,0.2884187443908446,-0.2476364698854458,0.1954230003004629,0.2236340951674545,0.1917019578422557,3,0.0112359550561797,12.929917335181958,synchronized_persistent_drop_low_frame_count,3.903938643271297,0.0070410067032469,0.500889,1.413987,galvanostatic_10,0.2627405067053337,12.10546875,0.00064808735533,7.6937807411245585,1.719174409328104,c116f3o9,0,lower_residual_comparison_mode
cycle86_rank8_obj17,86.0,10_c2_x10_030723,3.8991914755100505,116.0,1002.9019607843136,96,906,1812,0.1149021759629249,0.1153078973293304,0.0004057213664054,8.287890506493163e-06,0.232460643551971,0.1462673611111111,0.1504991319444444,0.0042317708333333,2.878339766367901e-05,0.3394461405305904,-0.0009765625,-2.69673998999614e-06,0.0227756707582287,-0.0001725541922995,0.124826889287011,0.5263157894736842,-0.0119051723939021,-0.0029762930984755,0.1249155720711416,0.0486387944794657,-0.0004582267645966,0.0001039573398884,0.0182259362190961,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle86_rank8_obj17_frame_descriptors.csv,0,near_static_or_mixed,cycle86_front8_obj17,cycle86_rank8_obj17,0.003123359840174,0.0070741232484579,0.0002581138630543,-0.0090511608868837,0.0047272955998778,cycle86_rank8_obj17,8.824997045545994e-05,9.418485387868714e-05,-5.934883423227196e-06,-0.0688268651379917,0.0071921674534678,0.0074173589625085,-0.0689531709872826,0.5034360532407408,8.824997045545994e-05,6.1036678668339546e-06,cycle86_front8_obj17,8,17,,20,907,212,1099,116.0,1002.9019607843138,32,9098.54734659195,0.1396484375,0.0421820746527777,0.1404893663194444,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front8_obj17_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front8_obj17_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front8_obj17_crop_preview.png,1.0,42.938419342041016,5,322.1592793945312,107.38642646484374,-0.0819983033477586,0.3040104967910901,32,-0.0204995758369396,0.2229515965210446,0.4436021617233694,-0.0014130500688651,0.0002671890738653,0.2236340951674545,0.1420951480652973,3,0.0786516853932584,12.399287527913966,synchronized_persistent_drop_low_frame_count,3.821635612224316,0.0034861829990025,0.500889,1.2002969999999995,galvanostatic_2,0.0819983033477586,0.0,0.003123359840174,0.0688268651379917,1.4185033711018522,c86f8o17,1,highest_score_contracting_optical_loss
cycle116_rank1_obj6,116.0,13_c2_x6_100723,4.033089505345082,1199.1515151515152,1088.4242424242425,96,909,1818,0.0783979892730712,0.0772332549095153,-0.0011647343635559,9.600006711823718e-06,0.1283994377147,0.1405164930555555,0.1363932291666666,-0.0041232638888888,2.3671295916387783e-05,0.1120545590136644,0.0,0.0,-0.0302059468656743,-0.0004605754912208,0.4307432473020626,0.5052631578947369,-0.0279820250657751,-0.0069955062664437,0.430113946677565,-0.0513267597530671,-0.0002025439268642,7.897186151240021e-05,0.0079652238637208,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle116_rank1_obj6_frame_descriptors.csv,0,near_static_or_mixed,cycle116_front1_obj6,cycle116_rank1_obj6,0.0007327046444061,0.0020575074013322,6.0295532150436006e-05,-0.0157451368868351,0.0028536564204841,cycle116_rank1_obj6,7.998019585405321e-05,0.0007326607737923,-0.0006526805779382,-8.204391771740289,0.0069002572369451,0.0170467716331283,-19.384386139800597,0.4972511574074074,7.998019585405321e-05,0.0015376792483342,cycle116_front1_obj6,1,6,,1103,992,1295,1184,1199.1515151515152,1088.4242424242425,32,9126.74534368515,-17.044921875,0.0422905815972222,0.0464409722222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front1_obj6_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front1_obj6_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front1_obj6_crop_preview.png,1.0,36.0057487487793,5,307.9189353515625,102.6396451171875,-0.1452021427645233,0.2150272000568991,32,-0.0363005356911308,0.0912173285921241,0.2137744232217602,-0.0194195839034076,0.0118950508175662,0.2236340951674545,0.1917019578422557,3,0.0112359550561797,12.929917335181958,synchronized_persistent_drop_low_frame_count,3.903938643271297,0.0070410067032469,0.500889,1.413987,galvanostatic_10,0.1452021427645233,17.044921875,0.0007327046444061,8.204391771740289,0.6719779575502947,c116f1o6,0,lower_residual_comparison_mode
cycle116_rank7_obj37,116.0,13_c2_x6_100723,3.780379242324946,1255.090909090909,900.2727272727273,96,909,1818,0.1357230842113495,0.1347198635339737,-0.0010032206773757,8.66767092011256e-06,0.1127195364608722,0.1943359375,0.1888020833333333,-0.0055338541666666,2.390943895450723e-05,0.0886001549571695,0.0040147569444444,-1.4938995248039113e-05,0.1635703292664025,0.0003485536182152,0.0889879852906888,0.5052631578947369,0.0213217287541483,0.005330432188537,0.0880500724973628,0.0059003226911364,0.0001582013801518,0.0002336800971534,0.0138643616810441,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle116_rank7_obj37_frame_descriptors.csv,2,brightening_expanding_front,cycle116_front7_obj37,cycle116_rank7_obj37,0.0006502347223431,0.0016272128559648,4.66533674572337e-05,-0.0147128533571958,0.0053165182471275,cycle116_rank7_obj37,0.0002348288059389,0.0011558817641343,-0.0009210529581954,-3.9214150342357823,0.0119701796211302,0.0225408691912889,-6.231676553247403,0.4854600694444444,0.0002348288059389,0.0014518985311345,cycle116_front7_obj37,7,37,,1159,804,1351,996,1255.090909090909,900.2727272727273,32,9126.74534368515,-5.15625,0.0138346354166666,0.0425075954861111,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front7_obj37_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front7_obj37_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front7_obj37_crop_preview.png,-1.0,-3.714749336242676,5,302.74576171875003,100.91525390625,-0.217030104531719,0.612143252222972,32,-0.0542575261329297,0.0548619044285878,0.2224841363277084,-0.1175791687365506,0.3725686903841609,0.2236340951674545,0.1917019578422557,3,0.0112359550561797,12.929917335181958,synchronized_persistent_drop_low_frame_count,3.903938643271297,0.0070410067032469,0.500889,1.413987,galvanostatic_10,0.217030104531719,5.15625,0.0006502347223431,3.9214150342357823,0.12806194448803976,c116f7o37,0,lower_residual_comparison_mode
cycle116_rank2_obj2,116.0,13_c2_x6_100723,4.159234021974196,1348.6176470588234,177.44117647058823,96,909,1818,0.0758262872695922,0.0756338983774185,-0.0001923888921737,4.752053950866325e-06,0.1308928039250702,0.0613064236111111,0.0594618055555555,-0.0018446180555555,6.456854492795028e-06,0.0742540953969792,0.0,0.0,-0.8950169131611698,0.0008777644016493,0.0329021434669528,0.4631578947368421,0.0304172687814591,0.0076043171953647,0.0307910021622615,0.0886169416119315,-0.0004840641583074,4.295408871257678e-05,0.0062608513981103,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle116_rank2_obj2_frame_descriptors.csv,1,brightening_expanding_front,cycle116_front2_obj2,cycle116_rank2_obj2,0.0003880475560436,0.0010975713375955,3.243878663025415e-05,-0.0079574156552553,0.0008308371179737,cycle116_rank2_obj2,4.321381796520048e-05,0.0006088592635933,-0.0005656454456281,-13.167423953928443,0.0050879050201425,0.0147237058263272,-32.64202508772116,0.4973421216891012,4.321381796520048e-05,0.0014012471753327,cycle116_front2_obj2,2,2,,1253,81,1445,273,1348.6176470588234,177.44117647058823,32,9126.74534368515,-2.8876953125,0.0345594618055555,0.0482584635416666,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front2_obj2_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front2_obj2_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front2_obj2_crop_preview.png,1.0,27.341211318969727,5,311.4372146484375,103.8124048828125,-0.2536737743074581,0.2223745539602243,32,-0.0634184435768645,0.045806436110852,0.3261740162049035,-0.6172182206171004,0.2685355628326389,0.2236340951674545,0.1917019578422557,3,0.0112359550561797,12.929917335181958,synchronized_persistent_drop_low_frame_count,3.903938643271297,0.0070410067032469,0.500889,1.413987,galvanostatic_10,0.2536737743074581,2.8876953125,0.0003880475560436,13.167423953928443,0.1071998373891978,c116f2o2,0,lower_residual_comparison_mode
cycle116_rank4_obj58,116.0,13_c2_x6_100723,3.625239010614535,1055.5,156.0,96,909,1818,0.1197951510548591,0.1188151985406875,-0.0009799525141716,8.558528994558959e-06,0.107766215586319,0.1609157986111111,0.1521267361111111,-0.0087890625,2.617456638822544e-05,0.0768215405305935,-0.0006510416666666,-1.0358115550076883e-05,-0.2594835140378855,-0.0004117273564311,0.3876885811166992,0.5157894736842106,-0.025994696110362,-0.0064986740275905,0.387790202344885,0.0393010015988011,-0.0003935956210147,0.0001027775288093,0.0095528690144419,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle116_rank4_obj58_frame_descriptors.csv,0,near_static_or_mixed,cycle116_front4_obj58,cycle116_rank4_obj58,0.0005653882249134,0.0015654764138162,4.518210429352908e-05,-0.0154517693445086,0.0049212700687348,cycle116_rank4_obj58,0.0001034451621914,0.000674173492977,-0.0005707283307856,-5.525328459085508,0.0078762052192663,0.0161069125557939,-11.214566208696247,0.4879195601851852,0.0001034451621914,0.0011491717596072,cycle116_front4_obj58,4,58,,960,60,1152,252,1055.5,156.0,32,9126.74534368515,-11.54296875,0.030029296875,0.0359429253472222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front4_obj58_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front4_obj58_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front4_obj58_crop_preview.png,1.0,28.66538429260254,5,338.0523459960937,112.68411533203124,-0.1611129823826615,0.2666960084294117,32,-0.0402782455956653,0.0727268838157288,0.1662897744797018,-0.3411093757524043,0.4170900365852601,0.2236340951674545,0.1917019578422557,3,0.0112359550561797,12.929917335181958,synchronized_persistent_drop_low_frame_count,3.903938643271297,0.0070410067032469,0.500889,1.413987,galvanostatic_10,0.1611129823826615,11.54296875,0.0005653882249134,5.525328459085508,-0.0926086224960257,c116f4o58,0,lower_residual_comparison_mode
cycle86_rank2_obj6,86.0,10_c2_x10_030723,5.344092852173012,1335.859296482412,171.678391959799,96,906,1812,0.0743605196475982,0.0744921788573265,0.0001316592097282,4.273518383193611e-06,0.0592889909990881,0.0684678819444444,0.0713975694444444,0.0029296875,6.558196439118868e-06,0.0932717869043388,0.0,0.0,0.7286835918335726,0.0004411323396319,0.0363896885731357,0.5368421052631579,0.0183615395076211,0.0045903848769052,0.0402303715233528,0.0551041985118878,-0.0003627041834931,4.831897240364924e-05,0.0117988586425781,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle86_rank2_obj6_frame_descriptors.csv,1,brightening_expanding_front,cycle86_front2_obj6,cycle86_rank2_obj6,0.0007274599122411,0.0018294480396434,6.177408440341803e-05,-0.0100166583433747,0.0018091481178998,cycle86_rank2_obj6,4.3030812472958736e-05,4.906007598037832e-05,-6.029263507419576e-06,-0.1404943696049286,0.0050892736762762,0.0053720474243164,-0.1433966053786547,0.5063122960842138,4.3030812472958736e-05,6.139785682535148e-06,cycle86_front2_obj6,2,6,,1240,76,1432,268,1335.859296482412,171.678391959799,32,9098.54734659195,-1.8193359375,0.0213758680555555,0.1001519097222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front2_obj6_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front2_obj6_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front2_obj6_crop_preview.png,1.0,18.36862564086914,5,325.8491291015625,108.6163763671875,-0.1771701224715564,0.1583809804094795,32,-0.0442925306178891,0.1194537705204366,0.1643042633222733,-0.2938143049946933,0.0824635303753212,0.2236340951674545,0.1420951480652973,3,0.0786516853932584,12.399287527913966,synchronized_persistent_drop_low_frame_count,3.821635612224316,0.0034861829990025,0.500889,1.2002969999999995,galvanostatic_2,0.1771701224715564,1.8193359375,0.0007274599122411,0.1404943696049286,-0.7735151267667235,c86f2o6,0,lower_residual_comparison_mode
cycle86_rank5_obj8,86.0,10_c2_x10_030723,5.377963073534964,1660.7096774193549,191.1290322580645,96,906,1812,0.0834420844912529,0.083774596452713,0.0003325119614601,5.633915944224814e-06,0.0573460905197381,0.0801866319444444,0.0815972222222222,0.0014105902777777,8.987307743480068e-06,0.0565715290970028,0.0,0.0,0.4445226473081582,-0.0001469686176878,0.0027896620678379,0.5368421052631579,-0.0062544638251596,-0.0015636159562899,0.0021685613810005,0.0871853657964507,-0.0001761592291463,5.278667595121078e-05,0.0138751817867159,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle86_rank5_obj8_frame_descriptors.csv,1,brightening_expanding_front,cycle86_front5_obj8,cycle86_rank5_obj8,0.0010118616696672,0.0024919132702052,8.343809921854933e-05,-0.0135491406545043,0.0029924102127552,cycle86_rank5_obj8,4.620242028371043e-05,5.222080926614581e-05,-6.018388982435378e-06,-0.1311411549951816,0.0052465591967726,0.0055283271164322,-0.132560862450885,0.505099826388889,4.620242028371043e-05,6.17088668756575e-06,cycle86_front5_obj8,5,8,,1565,95,1757,287,1660.7096774193549,191.1290322580645,32,9098.54734659195,1.4580078125,0.0224880642361111,0.1011284722222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front5_obj8_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front5_obj8_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front5_obj8_crop_preview.png,1.0,37.709564208984375,5,318.756104296875,106.252034765625,-0.1045640531248182,0.1629754480732897,32,-0.0261410132812045,0.1379948929236807,0.1181269430340883,-0.056394694138723,0.0354040385809789,0.2236340951674545,0.1420951480652973,3,0.0786516853932584,12.399287527913966,synchronized_persistent_drop_low_frame_count,3.821635612224316,0.0034861829990025,0.500889,1.2002969999999995,galvanostatic_2,0.1045640531248182,0.0,0.0010118616696672,0.1311411549951816,-1.5242953137706174,c86f5o8,0,lower_residual_comparison_mode
cycle86_rank3_obj5,86.0,10_c2_x10_030723,4.595016519669338,1184.2469135802469,1085.9753086419753,96,906,1812,0.0755006149411201,0.0761133879423141,0.000612773001194,7.242272247971764e-06,0.096899664657468,0.1369357638888889,0.1391059027777778,0.0021701388888888,1.6253709234255687e-05,0.0584088789964528,0.0,0.0,0.3877184916974983,-0.0003929646263192,0.0992268614129381,0.4842105263157895,-0.023354455096533,-0.0058386137741332,0.0996621786375035,0.0713578591590504,-0.0003106891336639,9.460682485951112e-05,0.0138810081407427,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_physics_descriptors/frame_descriptor_traces/cycle86_rank3_obj5_frame_descriptors.csv,0,near_static_or_mixed,cycle86_front3_obj5,cycle86_rank3_obj5,0.0014776113948755,0.0034492621198296,0.0001220399544896,-0.0132376719266176,0.0052682003006339,cycle86_rank3_obj5,8.278759135767662e-05,8.853692573514611e-05,-5.749334377469495e-06,-0.0701668016906972,0.0070250550440202,0.007241013731497,-0.0749324887456152,0.5024233217592592,8.278759135767662e-05,6.237306138245913e-06,cycle86_front3_obj5,3,5,,1088,990,1280,1182,1184.2469135802469,1085.9753086419753,32,9098.54734659195,6.42578125,0.0323079427083333,0.0957302517361111,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front3_obj5_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front3_obj5_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front3_obj5_crop_preview.png,1.0,42.450103759765625,5,321.5815866210937,107.19386220703124,-0.056108846957936,0.0378847077603904,32,-0.014027211739484,0.1235854830958918,0.2461908500641439,-0.0563005119877826,0.0521137542587758,0.2236340951674545,0.1420951480652973,3,0.0786516853932584,12.399287527913966,synchronized_persistent_drop_low_frame_count,3.821635612224316,0.0034861829990025,0.500889,1.2002969999999995,galvanostatic_2,0.056108846957936,0.0,0.0014776113948755,0.0701668016906972,-1.641230280062051,c86f3o5,0,lower_residual_comparison_mode
