anchor_type,relative_cycle,feature,n,mean,median,std
event,-16.0,particle_norm_mean,4,1.069799523461351,1.0801227904769237,0.07290199600215752
event,-16.0,particle_norm_std,4,0.04903585738966462,0.048672918531873846,0.008565816260691672
event,-16.0,particle_norm_range,4,0.11441256830601097,0.1088342440801458,0.022051156470865824
event,-16.0,particle_norm_cv,4,0.0463191116744076,0.04451403518615505,0.01095411859568725
event,-16.0,mean_delta_prev,4,0.040446698863490546,0.044688646450652854,0.04514801009544764
event,-16.0,mean_abs_delta_prev,4,0.04877041163190425,0.044688646450652854,0.03237570096831857
event,-16.0,max_abs_delta_prev,4,0.07835052207598966,0.08424408014571945,0.039033733229446116
event,-16.0,delta_std_across_particles,4,0.023398026625323698,0.021238353449187848,0.008904958764180767
event,-16.0,capacity_mAh,4,0.6880838556339884,0.6338669066096474,0.11296376910214369
event,-16.0,coulombic_efficiency_pct,4,98.28691378799036,98.41581720695339,0.7287215245767908
event,-16.0,V_max,4,4.3027197500000005,4.201424,0.20323589228508987
event,-16.0,n_frames,4,997.5,919.0,170.66438800562153
event,-16.0,frames_percentile,4,0.449438202247191,0.37078651685393255,0.38202247191011235
event,-15.0,particle_norm_mean,1,1.123511377921445,1.123511377921445,
event,-15.0,particle_norm_std,1,0.0588841057462289,0.0588841057462289,
event,-15.0,particle_norm_range,1,0.1411657559198542,0.1411657559198542,
event,-15.0,particle_norm_cv,1,0.0524107783004099,0.0524107783004099,
event,-15.0,mean_delta_prev,1,-0.0179872495446266,-0.0179872495446266,
event,-15.0,mean_abs_delta_prev,1,0.0179872495446266,0.0179872495446266,
event,-15.0,max_abs_delta_prev,1,0.0555555555555555,0.0555555555555555,
event,-15.0,delta_std_across_particles,1,0.0262106856669547,0.0262106856669547,
event,-15.0,capacity_mAh,1,0.8573090855082833,0.8573090855082833,
event,-15.0,coulombic_efficiency_pct,1,98.2008539552411,98.2008539552411,
event,-15.0,V_max,1,4.607572,4.607572,
event,-15.0,n_frames,1,1251.0,1251.0,
event,-15.0,frames_percentile,1,0.9550561797752808,0.9550561797752808,
event,-14.0,particle_norm_mean,4,1.044496555837759,1.0509299879422254,0.07095628343822406
event,-14.0,particle_norm_std,4,0.040915503689188774,0.03810291681237685,0.007604299203077918
event,-14.0,particle_norm_range,4,0.0926684881602914,0.08287795992714014,0.021454161439784843
event,-14.0,particle_norm_cv,4,0.03902706143266513,0.03708309785210105,0.005260165486913139
event,-14.0,mean_delta_prev,4,-0.02080615523743545,-0.0184677967623591,0.012075735183092962
event,-14.0,mean_abs_delta_prev,4,0.022887083429538924,0.02262965314656605,0.011652398127669623
event,-14.0,max_abs_delta_prev,4,0.045765027322404325,0.0555555555555555,0.019581056466302347
event,-14.0,delta_std_across_particles,4,0.0192418577527903,0.01971618285505555,0.010778153187948588
event,-14.0,capacity_mAh,4,0.6894928798938459,0.6367642649666712,0.11211380113652292
event,-14.0,coulombic_efficiency_pct,4,98.68644974823604,98.71073521741762,0.20225343844735263
event,-14.0,V_max,4,4.302478499999999,4.2003625,0.20442518221344474
event,-14.0,n_frames,4,994.75,915.0,170.36504923252303
event,-14.0,frames_percentile,4,0.4143258426966292,0.31741573033707865,0.37170397786053555
event,-13.0,particle_norm_mean,1,1.116397611534416,1.116397611534416,
event,-13.0,particle_norm_std,1,0.0355246913524057,0.0355246913524057,
event,-13.0,particle_norm_range,1,0.0860655737704918,0.0860655737704918,
event,-13.0,particle_norm_cv,1,0.031820823499953,0.031820823499953,
event,-13.0,mean_delta_prev,1,0.0018506760050283,0.0018506760050283,
event,-13.0,mean_abs_delta_prev,1,0.0259271017727494,0.0259271017727494,
event,-13.0,max_abs_delta_prev,1,0.0555555555555555,0.0555555555555555,
event,-13.0,delta_std_across_particles,1,0.0360015631408204,0.0360015631408204,
event,-13.0,capacity_mAh,1,0.8543287971418785,0.8543287971418785,
event,-13.0,coulombic_efficiency_pct,1,98.20707382736072,98.20707382736072,
event,-13.0,V_max,1,4.600429,4.600429,
event,-13.0,n_frames,1,1247.0,1247.0,
event,-13.0,frames_percentile,1,0.9269662921348316,0.9269662921348316,
event,-12.0,particle_norm_mean,4,1.080497351137792,1.0700702621924627,0.09677672500539197
event,-12.0,particle_norm_std,4,0.05926393361264509,0.05691639486080495,0.03828411898845024
event,-12.0,particle_norm_range,4,0.14040027963775364,0.13132712486210524,0.09172038716109987
event,-12.0,particle_norm_cv,4,0.05292764145743935,0.05256590807160945,0.030562469964896196
event,-12.0,mean_delta_prev,4,0.03553812629877625,0.0436932386669745,0.036766459558302086
event,-12.0,mean_abs_delta_prev,4,0.058100275148156647,0.04715086969906865,0.02770429393810175
event,-12.0,max_abs_delta_prev,4,0.1216985428051002,0.1293260473588343,0.04629212807338101
event,-12.0,delta_std_across_particles,4,0.06541719218037195,0.072856457222325,0.026926091766692646
event,-12.0,capacity_mAh,4,0.6871215658040968,0.6356419498077774,0.10933630274524202
event,-12.0,coulombic_efficiency_pct,4,98.41266633074977,98.37517150049237,0.43021841622065127
event,-12.0,V_max,4,4.300934,4.200073,0.20172200000000018
event,-12.0,n_frames,4,994.5,917.0,167.31307978358018
event,-12.0,frames_percentile,4,0.4129213483146067,0.33707865168539325,0.3504675519140993
event,-11.0,particle_norm_mean,1,1.2192982118576667,1.2192982118576667,
event,-11.0,particle_norm_std,1,0.0958001480178303,0.0958001480178303,
event,-11.0,particle_norm_range,1,0.233151183970856,0.233151183970856,
event,-11.0,particle_norm_cv,1,0.0785699077437944,0.0785699077437944,
event,-11.0,mean_delta_prev,1,0.0320746427563559,0.0320746427563559,
event,-11.0,mean_abs_delta_prev,1,0.0320746427563559,0.0320746427563559,
event,-11.0,max_abs_delta_prev,1,0.0555555555555555,0.0555555555555555,
event,-11.0,delta_std_across_particles,1,0.0182232374118161,0.0182232374118161,
event,-11.0,capacity_mAh,1,0.8525854302627699,0.8525854302627699,
event,-11.0,coulombic_efficiency_pct,1,98.4197195749566,98.4197195749566,
event,-11.0,V_max,1,4.611818,4.611818,
event,-11.0,n_frames,1,1247.0,1247.0,
event,-11.0,frames_percentile,1,0.9269662921348316,0.9269662921348316,
event,-10.0,particle_norm_mean,4,1.1420818742143206,1.1533240655224608,0.057897348883206766
event,-10.0,particle_norm_std,4,0.09282662792916271,0.09750325131788501,0.04171159232510963
event,-10.0,particle_norm_range,4,0.20938197490956661,0.22586520947176675,0.08811388057413974
event,-10.0,particle_norm_cv,4,0.08055517924799196,0.08215615482443714,0.03553510339461066
event,-10.0,mean_delta_prev,4,0.053565862387439406,0.05390338387336765,0.06353978785723492
event,-10.0,mean_abs_delta_prev,4,0.0649607801636778,0.05390338387336765,0.04729167840178277
event,-10.0,max_abs_delta_prev,4,0.15277777777777765,0.1111111111111111,0.1312726562847947
event,-10.0,delta_std_across_particles,4,0.06136186702844411,0.04530220713449685,0.05701463943773626
event,-10.0,capacity_mAh,4,0.6836584963853655,0.6332507389695018,0.10886108385962347
event,-10.0,coulombic_efficiency_pct,4,97.65277644596695,98.4925422238772,1.9390049119417567
event,-10.0,V_max,4,4.3000655,4.200073,0.19998499999999986
event,-10.0,n_frames,4,992.0,914.5,168.43000524451298
event,-10.0,frames_percentile,4,0.3820224719101123,0.3033707865168539,0.36959290344715795
event,-9.0,particle_norm_mean,1,1.215461851253239,1.215461851253239,
event,-9.0,particle_norm_std,1,0.1253534833068365,0.1253534833068365,
event,-9.0,particle_norm_range,1,0.3051001821493624,0.3051001821493624,
event,-9.0,particle_norm_cv,1,0.1031323880528105,0.1031323880528105,
event,-9.0,mean_delta_prev,1,0.0189534749480488,0.0189534749480488,
event,-9.0,mean_abs_delta_prev,1,0.0189534749480488,0.0189534749480488,
event,-9.0,max_abs_delta_prev,1,0.0409836065573769,0.0409836065573769,
event,-9.0,delta_std_across_particles,1,0.0173370887933038,0.0173370887933038,
event,-9.0,capacity_mAh,1,0.8476244096711879,0.8476244096711879,
event,-9.0,coulombic_efficiency_pct,1,97.277614199115,97.277614199115,
event,-9.0,V_max,1,4.606027,4.606027,
event,-9.0,n_frames,1,1237.0,1237.0,
event,-9.0,frames_percentile,1,0.848314606741573,0.848314606741573,
event,-8.0,particle_norm_mean,4,1.1292653576284666,1.1167091574950616,0.07614707285032941
event,-8.0,particle_norm_std,4,0.07737880852167178,0.0911023268956986,0.03625919322622261
event,-8.0,particle_norm_range,4,0.1775292465173554,0.20364683547551235,0.08561334180326531
event,-8.0,particle_norm_cv,4,0.06753427341480198,0.0815150519592044,0.0299526035297355
event,-8.0,mean_delta_prev,4,-0.0175548853228661,-0.0102736409348623,0.028180501459136538
event,-8.0,mean_abs_delta_prev,4,0.0311909136971189,0.0216685587111008,0.023053159160423213
event,-8.0,max_abs_delta_prev,4,0.07719092331768379,0.0555555555555555,0.060764544685041194
