anchor_id,anchor_type,anchor_cycle,matched_event_cycle,relative_cycle,cycleNo,any_abrupt_drop,drop_count,synchronized_drop_2plus,particle_norm_mean,particle_norm_std,particle_norm_range,particle_norm_cv,mean_delta_prev,mean_abs_delta_prev,max_abs_delta_prev,delta_std_across_particles,capacity_mAh,coulombic_efficiency_pct,V_max,n_frames,frames_percentile
event_cycle60,event,60.0,,-16.0,44,0,0,0,1.048009825803638,0.0479741426807458,0.1111111111111111,0.0457764245139191,0.0890569280894839,0.0890569280894839,0.1111111111111111,0.018954183681597,0.6335059760529974,97.30886282905732,4.202003,925.0,0.4382022471910112
event_cycle60,event,60.0,,-14.0,46,0,0,0,1.0106852407706717,0.0378445801915529,0.0801457194899819,0.0374444769399181,-0.0373245850329664,0.0373245850329664,0.0555555555555555,0.0140445325639413,0.6398801285556821,98.9004507671446,4.200073,919.0,0.3539325842696629
event_cycle60,event,60.0,,-12.0,48,0,0,0,0.9946253110649323,0.0400974517742256,0.097809076682316,0.0403141276701412,-0.0160599297057389,0.0394956258498166,0.1111111111111111,0.0633768014981818,0.6399956269773582,98.86131990909708,4.200073,924.0,0.4044943820224719
event_cycle60,event,60.0,,-10.0,50,0,0,0,1.0651709895071706,0.0387118998861892,0.0947176684881603,0.0363433667153292,0.0705456784422381,0.0705456784422381,0.1666666666666667,0.0668788256133141,0.6399385683032753,98.86951111059348,4.200073,924.0,0.4044943820224719
event_cycle60,event,60.0,,-8.0,52,0,0,0,1.060566907822161,0.0240779323845789,0.0532786885245901,0.0227028886221069,-0.0046040816850098,0.0231736960927679,0.0555555555555555,0.0341221232436001,0.6399538715053725,98.87612597794325,4.200073,925.0,0.4382022471910112
event_cycle60,event,60.0,,-6.0,54,0,0,0,1.0229803227378844,0.033897827764623,0.0801457194899819,0.0331363438877294,-0.0375865850842762,0.0375865850842762,0.0532786885245903,0.0251628931927102,0.6398704223287225,98.85090799924473,4.200073,924.0,0.4044943820224719
event_cycle60,event,60.0,,-4.0,56,0,0,0,1.0462175145591217,0.048043604485752,0.1152094717668488,0.0459212389557421,0.0232371918212371,0.0232371918212371,0.0555555555555555,0.0233246866886321,0.6375714923988263,98.80849336059764,4.200073,913.0,0.3033707865168539
event_cycle60,event,60.0,,-2.0,58,0,0,0,1.0727853459555146,0.067144062829237,0.1584699453551914,0.0625885346797245,0.0265678313963929,0.0265678313963929,0.0555555555555555,0.0225159921799737,0.6391710499937513,98.7462520346092,4.201038,919.0,0.3539325842696629
event_cycle60,event,60.0,,0.0,60,1,1,0,0.999941635239488,0.0457591210743852,0.1047358834244078,0.045761791950413,-0.0728437107160266,0.0728437107160266,0.2222222222222223,0.0997075820649382,0.6398820700465511,98.8206540493392,4.20181,920.0,0.3707865168539326
event_cycle60,event,60.0,,2.0,62,0,0,0,0.9559506400882528,0.0260798387149705,0.0596859847610251,0.0272815746141064,-0.0439909951512352,0.0439909951512352,0.0819672131147538,0.0346935294156834,0.6373127960633862,98.6439268464617,4.201617,917.0,0.3370786516853932
