target,model,group_col,n,mae,r2,spearman_rho,spearman_p
tail_contrast_delta,prefix_observables,cycleNo,128,0.0030255300533932926,0.9590902701720906,0.9487387841054751,6.991175494296646e-65
tail_contrast_delta,prefix_plus_echem_context,cycleNo,128,0.0032926645511084235,0.9440826393035401,0.9499519318806078,1.6059514269226463e-65
tail_contrast_delta,context,cycleNo,128,0.013586075729820943,0.08985957454870463,0.5521710767258743,1.4146703193100303e-11
tail_contrast_delta,global_median,cycleNo,128,0.014138878907796191,-0.003502831995294331,,
tail_contrast_delta,observable_persistence,cycleNo,128,0.030417681438971604,-2.085732724434841,,
tail_contrast_delta,echem_context,cycleNo,128,0.06592746784603437,-408.2382475562672,0.5144662149789415,5.23294724803054e-10
tail_contrast_delta,prefix_linear_extrapolation,cycleNo,128,0.070127012097568,-14.939346856575641,-0.9491450741622414,4.288949524660194e-65
tail_contrast_delta,prefix_observables,source_stem,128,0.003196226200210102,0.9541204939199854,0.9485041659036806,9.253428921938227e-65
tail_contrast_delta,prefix_plus_echem_context,source_stem,128,0.0036573865378874766,0.9378972988359358,0.943010666544589,4.622607723117261e-62
tail_contrast_delta,global_median,source_stem,128,0.014138878907796191,-0.003502831995294331,,
tail_contrast_delta,context,source_stem,128,0.019098918478784498,-0.7290212092200166,0.3419703351034609,7.78935999273003e-05
tail_contrast_delta,observable_persistence,source_stem,128,0.030417681438971604,-2.085732724434841,,
tail_contrast_delta,echem_context,source_stem,128,0.05496830146073711,-206.84623998166754,0.32708066288225596,0.00016430463884445045
tail_contrast_delta,prefix_linear_extrapolation,source_stem,128,0.070127012097568,-14.939346856575641,-0.9491450741622414,4.288949524660194e-65
tail_frame_diff_energy,global_median,cycleNo,128,7.206239991786124e-05,-0.042998043130936026,,
tail_frame_diff_energy,prefix_observables,cycleNo,128,9.636352872146486e-05,0.1335912083848929,0.26463216443874743,0.0025393988699722457
tail_frame_diff_energy,prefix_plus_echem_context,cycleNo,128,0.00010262696450192396,0.13044591850088583,0.3524480406518952,4.501727895969916e-05
tail_frame_diff_energy,context,cycleNo,128,0.00012064160135879693,0.004856061552330426,0.3737868522248673,1.3862064085951193e-05
tail_frame_diff_energy,echem_context,cycleNo,128,0.0003370726703762309,-54.12955457718189,0.28465482512360374,0.0011277402177915735
tail_frame_diff_energy,global_median,source_stem,128,7.206239991786124e-05,-0.042998043130936026,,
tail_frame_diff_energy,prefix_observables,source_stem,128,0.0001192213808334251,-0.28994121705395104,-0.049693279619117375,0.5774970920350269
tail_frame_diff_energy,prefix_plus_echem_context,source_stem,128,0.0001642024515805271,-1.1317348974519965,-0.11136353232008789,0.21076246081313704
tail_frame_diff_energy,context,source_stem,128,0.0001657954026509315,-0.4349107236908505,0.022277284380150156,0.8028988394569885
tail_frame_diff_energy,echem_context,source_stem,128,0.00018354700997893022,-1.6169246363378584,-0.07424235488005859,0.4049198536403234
tail_front_radius2_slope,prefix_observables,cycleNo,128,22.529027727985255,0.09370663492638232,0.5528863761215894,1.3151901902204482e-11
tail_front_radius2_slope,prefix_plus_echem_context,cycleNo,128,23.16431340151721,0.11344999276219281,0.458775865226149,5.145335235384824e-08
tail_front_radius2_slope,echem_context,cycleNo,128,23.469031627385007,0.14460781724824112,0.33781587621314774,9.629563661142917e-05
tail_front_radius2_slope,context,cycleNo,128,24.667584859205185,-0.01915929106885339,0.2843000366233291,0.001144680657905548
tail_front_radius2_slope,global_median,cycleNo,128,25.370903485972633,-0.014532994081507766,,
tail_front_radius2_slope,prefix_linear_extrapolation,cycleNo,128,52.28678204868558,-2.7683185540477586,-0.5745742537996704,1.3246087937538496e-12
tail_front_radius2_slope,prefix_observables,source_stem,128,24.80646436726176,-0.035737100919020603,0.4121784013916865,1.3368026992318073e-06
tail_front_radius2_slope,prefix_plus_echem_context,source_stem,128,24.882470207332602,0.018576268194287593,0.26437465665629006,0.0025650494237981444
tail_front_radius2_slope,global_median,source_stem,128,25.370903485972633,-0.014532994081507766,,
tail_front_radius2_slope,echem_context,source_stem,128,25.596987519479327,0.04291385869755404,0.10889718000366234,0.2211078922002162
tail_front_radius2_slope,context,source_stem,128,27.256645270279257,-0.14249087848773256,0.06021104193371178,0.49958646024490805
tail_front_radius2_slope,prefix_linear_extrapolation,source_stem,128,52.28678204868558,-2.7683185540477586,-0.5745742537996704,1.3246087937538496e-12
tail_front_radius_q70_delta,prefix_observables,cycleNo,128,0.33643489357898626,0.3421067304216068,0.5687145211499725,2.5039028989878035e-12
tail_front_radius_q70_delta,prefix_plus_echem_context,cycleNo,128,0.34233112742458127,0.337790058908618,0.5498992858450833,1.781280993353196e-11
tail_front_radius_q70_delta,echem_context,cycleNo,128,0.4194035681019185,0.10981712289520396,0.3666395806628822,2.075979225098017e-05
tail_front_radius_q70_delta,context,cycleNo,128,0.44322657384949893,0.015756349544063686,0.2956704358176158,0.000703015011452495
tail_front_radius_q70_delta,global_median,cycleNo,128,0.4504258328167133,-0.0005891996025673141,,
tail_front_radius_q70_delta,observable_persistence,cycleNo,128,0.4543605765241704,-0.00921395622106358,,
tail_front_radius_q70_delta,prefix_linear_extrapolation,cycleNo,128,0.8616572446723972,-2.7770500830952853,-0.5780076908991028,9.067714482586422e-13
tail_front_radius_q70_delta,prefix_observables,source_stem,128,0.34479409048681176,0.3066760835673359,0.5324059238234755,9.92549459692992e-11
tail_front_radius_q70_delta,prefix_plus_echem_context,source_stem,128,0.3777960827874456,0.22699785944136408,0.40880791063907707,1.661137455307408e-06
tail_front_radius_q70_delta,global_median,source_stem,128,0.4504258328167133,-0.0005891996025673141,,
tail_front_radius_q70_delta,observable_persistence,source_stem,128,0.4543605765241704,-0.00921395622106358,,
tail_front_radius_q70_delta,echem_context,source_stem,128,0.45567794431301145,0.0010704035139458279,0.1283304339864494,0.14884401096376973
tail_front_radius_q70_delta,context,source_stem,128,0.5018972583423083,-0.18057057937098042,0.006140130012818164,0.9451593072253192
tail_front_radius_q70_delta,prefix_linear_extrapolation,source_stem,128,0.8616572446723972,-2.7770500830952853,-0.5780076908991028,9.067714482586422e-13
tail_particle_mean_delta,prefix_observables,cycleNo,128,0.003025643247663682,0.9470648347016766,0.9121383446255263,1.216823227977915e-50
tail_particle_mean_delta,prefix_plus_echem_context,cycleNo,128,0.004518897080561137,0.798830791104342,0.8599157663431605,1.305717876790242e-38
tail_particle_mean_delta,context,cycleNo,128,0.010884739695877318,0.1307947474762251,0.42461888848196294,5.872847690756088e-07
tail_particle_mean_delta,global_median,cycleNo,128,0.011237586502281682,-0.03953742062885057,,
tail_particle_mean_delta,observable_persistence,cycleNo,128,0.030401750838037457,-2.6742260140029326,,
tail_particle_mean_delta,echem_context,cycleNo,128,0.04532635025211322,-205.31431416520772,0.47041521699322475,2.1078698403827553e-08
tail_particle_mean_delta,prefix_linear_extrapolation,cycleNo,128,0.06866396438972246,-17.62732509226877,-0.9025590551181102,6.076668228118035e-48
tail_particle_mean_delta,prefix_observables,source_stem,128,0.003242549858717033,0.9327149344164002,0.892344579747299,2.3376113936541093e-45
tail_particle_mean_delta,prefix_plus_echem_context,source_stem,128,0.009169151876853812,-1.124303412068362,0.7625663797839223,1.3568484689019618e-25
tail_particle_mean_delta,global_median,source_stem,128,0.011237586502281682,-0.03953742062885057,,
