target,n,n_near_pre,direction,oriented_auc,average_precision,source_centered_median_near_minus_other
tail_particle_mean_delta,128,32,higher_near_pre,0.5491536458333334,0.36378576584321903,0.0037279180916628945
tail_particle_minus_background_delta,128,32,higher_near_pre,0.5205078125,0.32376086370367696,0.0036078739578573257
tail_contrast_delta,128,32,lower_near_pre,0.5328776041666666,0.3723981560968469,-0.0012559686708349012
tail_front_radius_q70_delta,128,32,lower_near_pre,0.5406901041666666,0.2607801524711101,-0.09960056325038895
tail_front_radius2_slope,128,32,lower_near_pre,0.5445963541666667,0.2942992342539824,-5.740703085261192
tail_frame_diff_energy,128,32,lower_near_pre,0.5279947916666667,0.3092245547243772,-5.923722006474058e-06
