model,group_col,n_scored,n_positive_scored,n_negative_scored,pooled_oof_roc_auc,pooled_oof_average_precision
logistic_l2,cycleNo,72,36,36,0.7160493827160493,0.7610287875969075
random_forest,cycleNo,72,36,36,0.6728395061728395,0.7362062605386254
