cohort_role,event_reference_cycle,cycleNo,n_roi,phase_slope_median_per_s,phase_slope_abs_median_per_s,diffusion_proxy_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s,threshold_robust_phase_score,threshold_robust_diffusion_score
control,60.0,58.0,4,1.9505690045389707e-06,1.9505690045389707e-06,-8.695264665952814e-07,2.3181427404777998e-06,0.6009615384615385,0.7211538461538461
control,60.0,62.0,4,1.4966849935368722e-06,1.4966849935368722e-06,-1.6803995864173158e-06,2.7712310825114407e-06,0.23798076923076927,0.5408653846153846
control,86.0,88.0,4,3.413683265746409e-06,3.413683265746409e-06,-6.826246745975339e-06,6.826246745975339e-06,0.3100961538461539,0.47115384615384615
control,86.0,90.0,4,1.6622895791899007e-06,1.6622895791899007e-06,-2.9983185710010896e-06,3.17824230058001e-06,0.264423076923077,0.4038461538461538
control,116.0,118.0,4,2.562974942307355e-06,2.562974942307355e-06,4.282568977977355e-07,1.120427878107743e-06,0.6971153846153847,0.29086538461538464
control,156.0,157.0,4,-1.11300170419196e-06,1.11300170419196e-06,1.2203072849946577e-07,1.0483897729290007e-06,0.6057692307692308,0.4326923076923077
control,156.0,158.0,4,3.600265490453535e-07,3.600265490453535e-07,-1.5706350186662492e-06,1.5872360245014084e-06,0.34855769230769235,0.6706730769230769
event,60.0,60.0,6,1.368758203082862e-06,1.4389360352583316e-06,-1.435833594637703e-06,3.1978400581640003e-06,0.4663461538461539,0.7580128205128206
event,86.0,86.0,6,3.144032182694298e-06,3.144032182694298e-06,-2.8690240506076524e-07,8.688396985605157e-07,0.5000000000000001,0.07852564102564101
event,116.0,116.0,6,3.5596196953949128e-06,3.5596196953949128e-06,-1.0555807278695746e-06,3.297896144745022e-06,0.6923076923076924,0.576923076923077
event,156.0,156.0,6,2.2065929659949973e-06,2.2065929659949973e-06,-2.659210652035417e-07,1.5179391968077473e-06,0.7147435897435898,0.6490384615384616
