roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,degradation_mode_hypothesis,threshold_quantile,threshold_value,phase_fraction_first,phase_fraction_last,phase_fraction_delta,phase_fraction_slope_per_s,phase_fraction_slope_r2,radius2_delta_px2,radius2_slope_px2_per_s,radius2_slope_r2,apparent_diffusion_proxy_um2_per_s,interface_density_delta,interface_density_slope_per_s,interface_density_slope_r2,centroid_path_px,centroid_net_px
cycle58_rank6_obj29,58.0,control,0,60.0,single_persistent_drop_needs_roi_qc,0.55,0.09664128459990026,0.4420311563810665,0.43798681845416415,-0.004044337926902342,2.468890111408507e-06,0.036164703329447434,-5.536006714318319,-3.381127472586716e-05,8.125769690658924e-05,-7.790117696839794e-08,0.0002995805871779389,-2.625780136941895e-07,0.052119656152959326,18.70635275530079,0.2596581200259139
cycle58_rank6_obj29,58.0,control,0,60.0,single_persistent_drop_needs_roi_qc,0.6,0.10561782419681548,0.39170161773517076,0.3931995206710605,0.00149790293588975,2.3712702548061885e-06,0.03486613517134174,-9.034215059637631,-6.888570258579276e-05,0.00021421904158225313,-1.587126587576665e-07,-0.0020970641102456555,-7.669666946778463e-11,8.249277372307517e-09,18.58645431054165,0.5123391347445643
cycle58_rank6_obj29,58.0,control,0,60.0,single_persistent_drop_needs_roi_qc,0.65,0.11613892763853073,0.341372079089275,0.34541641701617737,0.004044337926902342,2.3091760412942267e-06,0.03687919586268773,-5.17551862151015,-0.00010155249985021354,0.0003085336420122209,-2.33976959654892e-07,0.0,1.5371356670107955e-07,0.009896105986982207,20.589307184492633,0.5304769023219327
cycle58_rank6_obj29,58.0,control,0,60.0,single_persistent_drop_needs_roi_qc,0.7,0.1286580666899681,0.29059316956261233,0.2910425404433793,0.00044937088076696385,1.9836635442909093e-06,0.03235295907684932,-6.115486732706927,1.4017061977103122e-05,3.845497596910441e-06,3.2295310795245596e-08,-0.0019472738166566583,2.633615978905739e-07,0.009891338335797362,23.26982597461057,0.29136419036631356
cycle58_rank6_obj29,58.0,control,0,60.0,single_persistent_drop_needs_roi_qc,0.75,0.14388222247362137,0.24565608148591972,0.24400838825644097,-0.0016476932294787472,1.8866554909613366e-06,0.03780566034503108,-5.342166374702401,0.0005270703672669442,0.004073799637937414,1.2143701261830394e-06,-0.0025464349910125778,4.142351282713823e-07,0.019181731686675696,22.016760929214918,0.6875718516854369
cycle58_rank6_obj29,58.0,control,0,60.0,single_persistent_drop_needs_roi_qc,0.8,0.16441639661788943,0.19547633313361293,0.1968244457759137,0.0013481126423007805,1.6626027100030852e-06,0.04452440923809975,-0.49791633863435436,0.0012518302397690612,0.015809312233928674,2.884216872427917e-06,-0.002696225284601561,4.3588847950494377e-07,0.01732844810500178,24.076393887939783,0.1492404604510041
cycle58_rank6_obj29,58.0,control,0,60.0,single_persistent_drop_needs_roi_qc,0.85,0.19468828365206717,0.14544637507489513,0.14664469742360695,0.001198322348711811,1.2467721265670324e-06,0.038965782979189734,14.048404759475147,0.0021572974712169104,0.027768775653196687,4.970413373683761e-06,0.0010485320551228278,4.0979646055275845e-07,0.015313426570342292,25.245115619843208,0.2932769719978214
cycle58_rank4_obj2,58.0,control,0,60.0,single_persistent_drop_needs_roi_qc,0.55,0.07265424616634847,0.438885560215698,0.4406830437387657,0.0017974835230676889,2.0293514364651274e-06,0.022556408490347568,10.181521706345393,0.0007979660740074841,0.0638815235850928,1.8385138345132434e-06,0.0011983223487117833,2.49897439488401e-07,0.014027469312673957,19.3443529098611,0.1979466787328131
cycle58_rank4_obj2,58.0,control,0,60.0,single_persistent_drop_needs_roi_qc,0.6,0.07955013066530227,0.38930497303774714,0.38690832834032357,-0.0023966446974235667,1.6524254807522768e-06,0.017795693551799996,6.0494028421843495,0.000989747896393059,0.06102286774638843,2.280379153289608e-06,-0.0032953864589574666,1.9786207656946733e-07,0.006772415028617029,18.445206824713882,0.40780403278543237
cycle58_rank4_obj2,58.0,control,0,60.0,single_persistent_drop_needs_roi_qc,0.65,0.08693825453519821,0.3407729179149191,0.3394248052726183,-0.0013481126423007805,1.4133031600885316e-06,0.015524255848297419,6.013521624007012,0.0009763189151264079,0.03318748572776287,2.2494387804512438e-06,-0.0025464349910125916,2.507716301684254e-07,0.007804564187823604,21.778319677968124,0.4890576736319295
cycle58_rank4_obj2,58.0,control,0,60.0,single_persistent_drop_needs_roi_qc,0.7,0.0955252319574356,0.29343918514080286,0.29463750748951467,0.001198322348711811,1.4497770754560923e-06,0.02096284426180217,3.7592268343959176,0.0015331254208654115,0.046361893674911725,3.532320969673908e-06,-0.002546434991012564,3.054530034475069e-07,0.01002772677389363,24.33805953411094,0.35683651118075227
