roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,degradation_mode_hypothesis,timing_elapsed_s,thresholds_finite,phase_slope_median_per_s,phase_slope_iqr_per_s,phase_slope_positive_fraction,phase_slope_negative_fraction,phase_slope_abs_median_per_s,radius2_slope_median_px2_per_s,radius2_slope_iqr_px2_per_s,radius2_slope_positive_fraction,radius2_slope_negative_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_iqr_um2_per_s,default_q70_diffusion_proxy_um2_per_s,q70_phase_slope_bootstrap_p05,q70_phase_slope_bootstrap_p50,q70_phase_slope_bootstrap_p95,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,threshold_robust_diffusion_score
cycle156_rank6_obj3,156.0,event,1,156.0,,1.4367926892737708,single_persistent_drop_needs_roi_qc,19462.04443982,7,1.5749582287990145e-06,7.049344658030878e-08,1.0,0.0,1.5749582287990145e-06,-8.251104748910474e-05,0.0003486463708761539,0.42857142857142855,0.5714285714285714,-1.9010545341489733e-07,8.032812384986586e-07,-1.954242773575927e-07,4.912533315453961e-07,1.5633546172635943e-06,2.7361381210300613e-06,-0.0003017078605711455,-7.998975456495689e-05,0.00012046421373315321,0.951923076923077,1.9010545341489733e-07,-0.11538461538461536
cycle60_rank2_obj2,60.0,event,1,60.0,,1.3721660201122636,single_persistent_drop_needs_roi_qc,9244.36053955,7,1.951400872945822e-06,1.4841819472060382e-07,1.0,0.0,1.951400872945822e-06,0.0017612442808818932,0.0021524469381784435,1.0,0.0,4.057906823151882e-06,4.959237745563133e-06,4.057906823151882e-06,-1.206765460059627e-07,1.8606110128577938e-06,3.863891335827193e-06,0.0014614425143742171,0.0017759841891418996,0.002036458624101533,0.9134615384615385,4.057906823151882e-06,0.5576923076923077
cycle116_rank1_obj6,116.0,event,1,116.0,,1.108391242725916,synchronized_persistent_drop_low_frame_count,9126.745852742,7,4.266589380884244e-06,7.585369224995461e-07,1.0,0.0,4.266589380884244e-06,-0.0004432946092543943,0.00037019202203828893,0.14285714285714285,0.8571428571428571,-1.0213507797221245e-06,8.529224187762178e-07,-3.0950320743371835e-07,2.2935402345155913e-06,4.359122387255842e-06,6.694642737352898e-06,-0.000535094500126759,-0.0001559011296127029,0.0002657916870378892,0.8365384615384616,1.0213507797221245e-06,0.25961538461538464
cycle116_rank2_obj2,116.0,event,1,116.0,,1.2552609026042028,synchronized_persistent_drop_low_frame_count,9126.745852742,7,2.1037540208133585e-06,3.584897326314771e-07,1.0,0.0,2.1037540208133585e-06,-0.0004621559461591083,0.00022881127049227104,0.14285714285714285,0.8571428571428571,-1.0648072999505855e-06,5.271811672141926e-07,-1.663673262812137e-06,6.222935116721831e-07,2.0974934819247705e-06,3.518971477901895e-06,-0.0011241873566696654,-0.0007329049353116996,-0.00036323662143346075,0.8173076923076923,1.0648072999505855e-06,0.45192307692307687
cycle118_rank1_obj7,118.0,control,0,116.0,,0.5779761010946141,synchronized_persistent_drop_low_frame_count,9129.33806254,7,3.10732353202618e-06,5.499058424470702e-07,1.0,0.0,3.10732353202618e-06,0.0005197744654636611,0.0006652934910710633,0.8571428571428571,0.14285714285714285,1.197560368428275e-06,1.5328362034277301e-06,2.2012864438556473e-06,3.3694194455123534e-07,2.9589306528320565e-06,5.328672718782025e-06,0.000330069544588835,0.001020828240222252,0.0016323285591854746,0.7980769230769231,1.197560368428275e-06,0.04807692307692307
cycle156_rank2_obj2,156.0,event,1,156.0,,1.2118362385241466,single_persistent_drop_needs_roi_qc,19462.04443982,7,3.2426969483629712e-06,5.739964952655868e-07,1.0,0.0,3.2426969483629712e-06,0.0008353240720802626,0.0006072810884611068,1.0,0.0,1.924586662072925e-06,1.3991756278143903e-06,1.924586662072925e-06,1.1183310309897926e-06,3.2401072851020113e-06,4.777706625778244e-06,0.00042038391072289004,0.0008315599934530188,0.0011520193096686575,0.7788461538461539,1.924586662072925e-06,0.6730769230769231
cycle156_rank1_obj1,156.0,event,1,156.0,,1.5087951450912631,single_persistent_drop_needs_roi_qc,19462.04443982,7,1.1776090872832927e-06,1.15019019444492e-07,1.0,0.0,1.1776090872832927e-06,-0.0013507407420961205,0.00015907613334318975,0.0,1.0,-3.1121066697894616e-06,3.665114112227093e-07,-3.3270254861219757e-06,3.80371318786238e-07,1.2240287880605445e-06,2.0651277031039662e-06,-0.0019021450731169474,-0.001426921003670748,-0.0008495520709508578,0.7596153846153847,3.1121066697894616e-06,1.3269230769230769
cycle157_rank6_obj3,157.0,control,0,156.0,,0.7929458469284842,single_persistent_drop_needs_roi_qc,19505.143994464,7,-1.1695060941056213e-06,1.1426309493337151e-07,0.0,1.0,1.1695060941056213e-06,-6.077370130756478e-06,0.0005864980324687112,0.14285714285714285,0.8571428571428571,-1.4002260781262925e-08,1.3512914668079105e-06,-2.010778328048973e-09,-1.8861445168272854e-06,-1.1202636625647607e-06,-2.1101658437395704e-07,-0.0003141759475274043,-2.0227527822042124e-05,0.0002451846495477298,0.7596153846153847,1.4002260781262925e-08,-0.1634615384615385
cycle118_rank2_obj2,118.0,control,0,116.0,,0.5518909744846521,synchronized_persistent_drop_low_frame_count,9129.33806254,7,1.1253342106689579e-06,1.0147776181709299e-07,1.0,0.0,1.1253342106689579e-06,-0.0005038621397852153,0.00013220494995108863,0.0,1.0,-1.160898370065136e-06,3.046002046873083e-07,-1.160898370065136e-06,-3.8987812095182003e-07,1.0299286309736059e-06,2.2551066180585015e-06,-0.0009760095597636793,-0.0005450047753411591,-5.5220137892962365e-05,0.7596153846153846,1.160898370065136e-06,0.9615384615384616
cycle58_rank4_obj2,58.0,control,0,60.0,,1.1091514494562902,single_persistent_drop_needs_roi_qc,9250.204203328,7,1.4356315587278617e-06,1.5641645422174546e-07,1.0,0.0,1.4356315587278617e-06,0.0012434623424348054,0.0004285938811164941,1.0,0.0,2.8649372369697916e-06,9.874803020924022e-07,3.532320969673908e-06,-8.862560097103114e-08,1.399408288690715e-06,3.110516209441989e-06,0.00040155590868934203,0.0015230106996567743,0.002798787337746271,0.7403846153846154,2.8649372369697916e-06,0.9807692307692308
