source_stem,n_pre_rows,n_cycles,min_cycles_to_next_event,max_cycles_to_next_event,transport_mechanism_score_slope_vs_proximity,transport_mechanism_score_spearman_vs_proximity,front_kinetic_score_slope_vs_proximity,front_kinetic_score_spearman_vs_proximity,qc_review_score_slope_vs_proximity,qc_review_score_spearman_vs_proximity
12_c2_x10_070723,10,5,2.0,10.0,-0.030078485285194172,-0.541602560309064,-0.009079566140776698,-0.24618298195866545,-0.0015039062499999992,0.04923659639173309
16_c2_x10_HighHighCOV_130723,10,5,11.0,18.0,-0.0049383956645599495,-0.14770978917519928,0.011155000945656286,0.19694638556693236,0.00636541193181818,0.22156468376279892
17_c2_x10_HighHighCOV_150723,10,5,2.0,10.0,0.07176252005415196,0.8862587350511957,0.044383472735547214,0.5908391567007971,0.0467566287878788,0.9354953314429287
5_c2_x10_260623,10,5,16.0,24.0,-0.035496638918385934,-0.7631672440718629,0.011491959951456313,0.07385489458759964,-0.008134765624999997,-0.29541957835039856
6_c2_x10_270623_2,10,5,6.0,14.0,0.013455117629955504,0.541602560309064,-0.008004399271844658,-0.024618298195866545,0.004195963541666669,0.19694638556693236
4_c2_x10_240623,8,4,26.0,32.0,0.021549828390473293,0.34156502553198664,0.004423922936893206,-0.048795003647426664,0.0161328125,0.5367450401216932
9_c2_x10_010723,8,4,2.0,8.0,0.013239388968952274,0.43915503282683993,-0.015299605582524262,-0.2439750182371333,6.184895833333259e-05,0.048795003647426664
15_c2_x5_HighCOV_120723,4,2,22.0,23.0,-0.1458111157463592,-0.4472135954999579,-0.14133040048543694,-0.8944271909999159,-0.19414062499999996,-0.8944271909999159
7_c2_x10_290623,4,2,2.0,4.0,0.12245419005360035,0.8944271909999159,-0.02548922936893197,0.0,-0.03600260416666666,0.0
11_c2_x10_050723,2,1,12.0,12.0,,,,,,
