feature,pre_event_distance_bin,n_rows,n_sources,median_value,median_source_centered_value
front_evidence_score,pre_3_4,8,4,0.0058157892849015,0.048288516207669004
front_evidence_score,pre_5_8,16,4,0.20879733946629336,0.0
front_evidence_score,pre_9_16,22,6,-0.1474114590112758,0.0
kinetic_evidence_score,pre_17_32,22,4,-0.36343172913037847,-0.03593030955546523
kinetic_evidence_score,pre_1_2,8,4,0.2693522989608797,-0.28701279888388587
kinetic_evidence_score,pre_3_4,8,4,0.563685605744072,-0.16420159158493974
kinetic_evidence_score,pre_5_8,16,4,0.6548398179387029,0.4020843162078562
kinetic_evidence_score,pre_9_16,22,6,-0.31457991783867273,-0.06573903253554658
front_kinetic_concordance_score,pre_17_32,22,4,-0.2069845356846414,-0.04302466981025432
front_kinetic_concordance_score,pre_1_2,8,4,0.31675555354926954,-0.2812516130691967
front_kinetic_concordance_score,pre_3_4,8,4,0.3613458229085256,0.07880274229404688
front_kinetic_concordance_score,pre_5_8,16,4,0.3796485794571297,0.09182469120000525
front_kinetic_concordance_score,pre_9_16,22,6,-0.3764391030870527,0.0
front_consensus_score,pre_17_32,22,4,2.4719558611635315,0.0
front_consensus_score,pre_1_2,8,4,5.032532576023671,1.8314766642221214
front_consensus_score,pre_3_4,8,4,2.006562923523843,0.08254192973176955
front_consensus_score,pre_5_8,16,4,2.616963558219656,-0.0611610387706405
front_consensus_score,pre_9_16,22,6,2.7530224337051674,0.026039947824415766
front_radius2_slope_px2_per_norm_time,pre_17_32,22,4,0.0328608247422996,0.0
front_radius2_slope_px2_per_norm_time,pre_1_2,8,4,6.528350515463921,2.6692976804123716
front_radius2_slope_px2_per_norm_time,pre_3_4,8,4,5.294458762886611,0.0
front_radius2_slope_px2_per_norm_time,pre_5_8,16,4,7.718427835051564,0.0
front_radius2_slope_px2_per_norm_time,pre_9_16,22,6,3.0931056701030823,0.0
