roi_id,cycleNo,source_stem,local_cycle_index,object_candidate_rank,event_relative_bin,cycles_to_next_event,cycles_since_prev_event,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,validation_score,npz_path,n_frames,flow_method,train_fraction,mask_fraction,context_fraction,heldout_flow_pairs,particle_flow_mag_mean,particle_flow_mag_median,particle_flow_mag_q90,particle_flow_mag_slope,context_flow_mag_mean,context_flow_mag_median,context_flow_mag_q90,context_flow_mag_slope,boundary_flow_mag_mean,boundary_flow_mag_median,boundary_flow_mag_q90,boundary_flow_mag_slope,radial_flow_mean,radial_flow_median,radial_flow_q90,radial_flow_slope,abs_radial_flow_mean,abs_radial_flow_median,abs_radial_flow_q90,abs_radial_flow_slope,tangential_flow_mean,tangential_flow_median,tangential_flow_q90,tangential_flow_slope,divergence_mean,divergence_median,divergence_q90,divergence_slope,curl_mean,curl_median,curl_q90,curl_slope,gradient_aligned_flow_mean,gradient_aligned_flow_median,gradient_aligned_flow_q90,gradient_aligned_flow_slope,intensity_delta_abs_mean,intensity_delta_abs_median,intensity_delta_abs_q90,intensity_delta_abs_slope,particle_context_flow_ratio,boundary_particle_flow_ratio,radial_transport_bias,flow_acceleration_mean,apparent_transport_instability_score
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,post_event_1_16,28.0,2.0,0.0,0.0,0.0,24.329266672272,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj1_10_c2_x10_030723.npz,96,farneback,0.6,0.2504340277777778,0.6560329861111112,37,7.803411181372654e-07,5.238380822447652e-07,1.2158067647760614e-06,2.0766017843278425e-08,3.258291332837711e-08,1.793720905141072e-08,3.891880382411726e-08,1.7109310055331709e-09,2.169609204366446e-07,1.3831622425186652e-07,3.61769582468696e-07,5.76040514987641e-09,9.255822327053061e-08,7.88237826735675e-08,1.7346151002097168e-07,6.344618116352215e-09,3.8922490251779604e-07,2.8541970078955794e-07,5.640989778017358e-07,9.811974732081613e-09,5.921018831960252e-07,3.7638845105419003e-07,9.634526756194567e-07,1.5923493752273288e-08,-3.931822034619614e-09,-4.021980970492223e-09,3.951762383991306e-09,1.3823611529999344e-11,8.307538296920742e-08,6.151135067966607e-08,1.1723308688260655e-07,2.139457593121285e-09,4.4079977025847784e-08,3.992156649701428e-08,9.220967882583863e-08,1.3391070630531667e-09,0.008957326802349574,0.008125970140099525,0.009112004935741424,0.00010019973339490871,23.236254416256607,0.27767759228374445,0.2371919953681314,5.193373932380988e-07,1.7390950464422804e-06
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,3,2,post_event_1_16,28.0,2.0,0.0,0.0,0.0,24.56405304864168,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj2_10_c2_x10_030723.npz,96,farneback,0.6,0.0656467013888889,0.9024522569444444,37,1.7381641787385494e-06,1.2241662261658348e-06,2.626536115712951e-06,5.842561198365096e-08,7.036813178997916e-08,4.350621551907352e-08,9.885531682130015e-08,1.7213190337822652e-09,5.280917609273249e-07,3.6946113368685474e-07,8.157118259077831e-07,1.5400484266384395e-08,-3.2524609094610016e-07,-3.7515659376939905e-07,9.743530988340165e-08,1.0623338992112465e-08,8.458495888855051e-07,6.284406885357787e-07,1.2943257380251764e-06,2.093565487081269e-08,1.3701187369225982e-06,8.651125327677688e-07,2.1927270574372905e-06,4.989232464500522e-08,-4.009381129801906e-08,-3.450741203891994e-08,6.437804600523121e-09,-1.018880998326963e-09,2.466798752292303e-07,1.7374944150105875e-07,3.7474483747246254e-07,8.28950304026505e-09,1.8133847601898334e-07,1.2029563833948487e-07,3.3510673347336706e-07,7.9973882972493e-09,0.0073288757781926036,0.00629401346668601,0.008105111960321664,0.00012009071681653798,24.354906526817704,0.3036468709413969,-0.38406594891796514,1.2117787977988175e-06,3.844748534548291e-06
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,90.0,10_c2_x10_030723,5,1,post_event_1_16,26.0,4.0,0.0,0.0,0.0,23.307087736570715,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj1_10_c2_x10_030723.npz,96,farneback,0.6,0.14485677083333334,0.8162977430555556,37,5.99766968582264e-07,5.419716444521328e-07,1.0540685934756764e-06,2.3389761268425114e-09,5.889400972908693e-09,5.504817046642074e-09,8.435160125941366e-09,-1.1596793753410693e-11,2.4330401131649254e-07,2.2831575563486695e-07,3.9241986087290566e-07,5.013092483672555e-10,1.4609658502009726e-08,9.778606917420331e-09,2.2880477515254552e-07,2.9250131512606772e-09,2.975090807440913e-07,2.93318479032303e-07,4.540913375937708e-07,-1.2226436885415262e-09,4.5854215353802204e-07,3.691722201294992e-07,9.2522384550813e-07,3.6574193494671697e-09,-9.297202506737808e-09,-7.49115169895731e-09,-1.1973513291962955e-09,-4.263170871064096e-14,8.61977935995595e-08,7.577705218864139e-08,1.5708960177107656e-07,3.458930030864802e-10,7.14297553958207e-08,6.671587726714279e-08,1.2018737862717897e-07,9.973348962978359e-11,0.006419486831873655,0.006293978542089462,0.007030293066054582,4.808042766309987e-06,87.05647572854849,0.4049889958009177,0.04894209069148698,3.188897845044873e-07,1.3741551229333972e-06
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,post_event_1_16,26.0,4.0,0.0,0.0,0.0,23.842986199481786,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj2_10_c2_x10_030723.npz,96,farneback,0.6,0.2905815972222222,0.5928819444444444,37,4.0584439784805834e-07,3.41063213227244e-07,8.162615813489537e-07,2.902564501589257e-09,7.3125914812944325e-09,6.3198175581646865e-09,1.3048918212632542e-08,4.828461844040436e-11,7.337902811503387e-08,6.47104556605882e-08,1.3891178411995496e-07,4.1223400521610604e-10,4.118799735283601e-08,5.147812904315238e-08,1.5149918227291518e-07,7.816440553365704e-10,2.1496629310212377e-07,1.8821161049122464e-07,3.8332081030655265e-07,1.6288675952084153e-09,2.99210327667636e-07,2.5557069926378565e-07,6.215681530046742e-07,2.12472782597966e-09,2.216977830670118e-10,4.705517642200618e-10,4.7919961332354424e-09,5.99404703470512e-12,4.6541355826325404e-08,4.1739593115153184e-08,7.93150704225809e-08,1.8009228142801992e-10,3.0249924399831664e-08,3.6525726443414896e-08,6.87628727291667e-08,1.0092829484781194e-09,0.008383224441393002,0.008340799249708652,0.00871937796473503,-4.085068511010504e-06,48.822848898724,0.18036140721897878,0.19071493408167858,2.375774397952076e-07,1.0586306559030964e-06
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,7,1,post_event_1_16,24.0,6.0,0.0,0.0,0.0,25.488656580292165,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj1_10_c2_x10_030723.npz,96,farneback,0.6,0.0763888888888889,0.8812934027777778,37,9.378149357146597e-07,9.378204026688763e-07,1.472247322453768e-06,-3.089560617457279e-09,4.6225450422387415e-08,4.264889597038746e-08,6.354149633125416e-08,-2.3246234356348087e-10,2.7596547701668407e-07,2.754130719040404e-07,4.085357375060994e-07,-1.0542678785187894e-09,-3.2580449626564406e-07,-3.009842925216288e-07,1.385602083036065e-07,-9.884217879879466e-11,5.183379090119089e-07,5.67127940550674e-07,7.768802922393726e-07,4.0010340973597593e-10,6.886903955328655e-07,6.730830525989806e-07,1.1931345934199558e-06,-3.265343999302367e-09,-1.770015512687268e-08,-1.9164835052265516e-08,1.1292814683372392e-08,-6.052347884101724e-10,1.3131392357863475e-07,1.3259162301437755e-07,2.0558254902880434e-07,-6.401184160993699e-10,1.2412127794038797e-07,1.17108420738532e-07,2.515737548947072e-07,4.527596852303523e-09,0.006423365702298847,0.0063127088360488415,0.007195043656975031,7.204675336883726e-06,19.858252855754337,0.29395088053920787,-0.6273458775337987,3.8451573579499785e-07,1.8680547151871925e-06
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,7,2,post_event_1_16,24.0,6.0,0.0,0.0,0.0,24.29946436055132,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj2_10_c2_x10_030723.npz,96,farneback,0.6,0.2986111111111111,0.5786675347222222,37,3.971261035813596e-07,3.935299730528641e-07,5.928955147282976e-07,-9.232612499714657e-10,7.24532390840117e-09,6.889138148835627e-09,1.0321867094376102e-08,-4.675483223804851e-11,6.97842226047116e-08,6.88787906710786e-08,1.1146780849458081e-07,-5.106272241876163e-10,3.3279513702962296e-08,2.0090708289595774e-08,1.3884858335279986e-07,-1.648105764415241e-09,2.2268183214231067e-07,2.098380470260873e-07,3.177676055101424e-07,-8.622809481165427e-10,2.818833750443886e-07,2.790646302883923e-07,4.4049591465843016e-07,-3.502502258039746e-10,3.221517686622497e-10,-2.762484407892174e-10,4.359932592734594e-09,-4.233618220134378e-11,4.7938843429441525e-08,4.649752582963629e-08,6.455393872784041e-08,-5.3388091903211654e-11,2.522467189179532e-08,3.3517306263775026e-08,6.712402011999075e-08,7.67010533112405e-10,0.008663673457261678,0.008570239879190922,0.009075025282800197,1.936334888762232e-06,48.16379659466469,0.17528170591419345,0.14878058438733294,1.7997800306880487e-07,7.772332584218174e-07
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,9,1,post_event_1_16,22.0,8.0,0.0,0.0,0.0,25.14983171634987,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj1_10_c2_x10_030723.npz,96,farneback,0.6,0.2670355902777778,0.6407335069444444,37,4.4860175576657736e-07,4.439121426003112e-07,7.445818596352182e-07,3.2081731537192793e-09,8.24059012018865e-09,7.504044496897677e-09,1.3623661665462804e-08,5.610826170675172e-12,1.0468518563722707e-07,9.325165706286498e-08,1.81999166670721e-07,3.2639033754843453e-10,-9.94539184325715e-09,2.8755186005232604e-09,2.728031713360457e-07,-5.1679355360421805e-09,2.394825954944697e-07,2.1018695418846382e-07,4.273290776199188e-07,1.9269880593107896e-09,3.274813778422022e-07,3.298895754789824e-07,5.413761320177391e-07,2.309721224732394e-09,-1.4106885984055107e-09,-1.3465892845232474e-09,3.2252703174862053e-09,-1.525642233621305e-10,5.267344384086804e-08,5.491952492775454e-08,8.024578050935815e-08,3.962391563378231e-10,1.8168081432683508e-08,1.8203511586989407e-08,6.76723558967751e-08,7.798218214683785e-10,0.00829421220397627,0.008216768503189087,0.008863275498151779,1.7915730267028218e-05,48.54687308189133,0.23283980610515487,-0.041355973486596295,2.5457498272392815e-07,1.0023818030662908e-06
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,9,2,post_event_1_16,22.0,8.0,0.0,0.0,0.0,23.93425610271029,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj2_10_c2_x10_030723.npz,96,farneback,0.6,0.1314019097222222,0.8256293402777778,37,7.417017131403456e-07,6.170035931063467e-07,1.2991652738492118e-06,6.3333804132342595e-09,5.5683406654396405e-09,5.020237558994722e-09,8.543380758396779e-09,1.6401823211342222e-11,2.2995733672814822e-07,2.0741518369504774e-07,3.91855047610079e-07,8.538346027258938e-10,-4.4701989773631486e-08,-1.0308000843749322e-07,2.372533836599472e-07,-2.4432630154886176e-10,3.9615378953647974e-07,3.5092064627592086e-07,5.987875978672326e-07,1.2965094325179333e-09,5.556640527082273e-07,4.149195936404698e-07,1.0416885332590357e-06,6.5989436119135336e-09,-9.374377428971392e-09,-8.862128808573289e-09,1.6866012475524854e-09,8.520900459587847e-11,1.0366654187329325e-07,8.492293801509732e-08,1.8778261221541467e-07,6.70508244680382e-10,8.325672368942523e-08,7.353907705009988e-08,1.3859964269613555e-07,1.3507876679059365e-09,0.006671904309375866,0.006480291020125151,0.007591162715107202,3.013031463584333e-05,112.9207133002291,0.30962273636858306,-0.11255586866186877,4.5084820025446487e-07,1.751699129803314e-06
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,1,1,post_event_1_16,20.0,10.0,0.0,0.0,0.0,23.445151520434056,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj1_11_c2_x10_050723.npz,96,farneback,0.6,0.19835069444444445,0.7256944444444444,37,1.0435007411431158e-06,9.679157528807991e-07,1.3044184242971822e-06,-1.8874970070556364e-08,5.080982973699083e-09,4.157483246558513e-09,6.216577030926373e-09,-1.0292069283121138e-10,1.414726345441633e-07,1.1595788151907982e-07,1.7673380057203758e-07,-2.807910007557733e-09,-2.736070277911507e-07,-2.838221290402034e-07,-9.515239425708002e-09,1.013168850886815e-09,6.750707105039221e-07,6.188382464285601e-07,9.111382431946337e-07,-1.0316165895082234e-08,6.493544037241516e-07,5.451820737120063e-07,8.318287122058356e-07,-1.3835840546800214e-08,-7.384648219779574e-09,-6.752255643505123e-09,-3.9155597375550925e-10,5.437808655399457e-12,1.494619768730113e-07,1.2405817528815533e-07,2.131814994754677e-07,-2.9898517859914305e-09,5.484317518516029e-08,2.5402108860816952e-08,1.2320222708694928e-07,-1.0414187049404856e-09,0.005115351387979211,0.00451476639136672,0.005415803100913763,-8.187315706296141e-06,171.60066812493486,0.13544522179020543,-0.40470179160285247,5.80914731232143e-07,1.8857236920191338e-06
source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,96.0,11_c2_x10_050723,1,2,post_event_1_16,20.0,10.0,0.0,0.0,0.0,24.90960755549438,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj2_11_c2_x10_050723.npz,96,farneback,0.6,0.12662760416666666,0.8216145833333334,37,1.1225894348393233e-06,6.981269962125225e-07,1.715307917038444e-06,-1.6138751028685608e-08,1.459628773403665e-08,1.0233011771276779e-08,2.0045137461011108e-08,-2.6087151047430976e-10,4.1784337777182765e-07,2.776174028440437e-07,6.049336434443829e-07,-6.97474999940893e-09,-6.489011573563855e-08,-5.950648372990712e-08,1.4044545159924802e-07,-9.370537073481892e-10,5.03217338181336e-07,3.511659457985257e-07,7.784399497233509e-07,-4.95400670810357e-09,9.22488583419255e-07,5.192513853093978e-07,1.5817468198136346e-06,-1.533663261506438e-08,-2.14188677965026e-08,-1.5622433124917734e-08,2.4351660243837392e-09,-1.229804685462265e-10,1.536776250038902e-07,9.451411386862674e-08,2.4051096829680314e-07,-2.1339605528608642e-09,5.845802959420994e-08,5.3371088881704054e-08,1.0017379565852024e-07,6.693411936084055e-10,0.006119116410814427,0.0051441490650177,0.006641366053372621,-3.2861850406813805e-05,71.9779895051201,0.37188261549609575,-0.1286947330484331,1.1523518376558666e-06,2.870092785619918e-06
