roi_id,cycleNo,source_stem,event_relative_bin,cycles_to_next_event,object_candidate_rank,object_x_full_approx,object_y_full_approx,front_consensus_score,front_residual_outward_z_mean,front_raw_outward_z_mean,front_quantile_positive_fraction,front_q_slope_cv,front_q_slope_range_px_per_norm_time,front_q_slope_mean_px_per_norm_time,front_q_slope_mean_source_echem_residual,front_quality_score,front_radius_slope_px_per_norm_time,front_radius2_slope_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,front_radius_slope_r2,front_radius2_slope_r2,front_gradient_coherence,kymograph_temporal_energy,radial_profile_last_minus_first_l1
source_balanced_cycle64_rank54_obj2_7_c2_x10_290623,64.0,7_c2_x10_290623,post_event_1_16,22.0,2,1328.9929078014184,102.4964539007092,4.681867200813938,1.6424816398868263,1.6589988041664385,0.6666666666666666,0.4088057180881345,0.6423969072164952,1.1111469072164954,0.9170494156830418,0.3372453797382976,,,0.3785685773195877,,,1.0,4.411953512799192e-06,0.0108691664368839
source_balanced_cycle70_rank57_obj1_8_c2_x10_300623,70.0,8_c2_x10_300623,post_event_1_16,16.0,1,558.4347826086956,185.2173913043478,4.538201229410639,0.7625796834071501,1.1757282169467707,1.0,0.2930387431217156,0.438144329896907,0.755154639175258,0.3685660016917079,0.3372453797382976,,,0.3446023917525774,,,1.0,2.642975606711479e-06,0.0121464504569499
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,post_event_1_16,20.0,1,1339.6521739130435,203.96521739130435,4.444872338402955,1.747460195540495,1.666384406151496,0.6666666666666666,1.2008089315950596,2.3711340206185576,1.396262886597939,1.2085065790289653,0.3372453797382976,,,0.1534654020618557,,,1.0,1.1081527102899124e-05,0.0067654223901294
source_balanced_cycle68_rank56_obj1_8_c2_x10_300623,68.0,8_c2_x10_300623,post_event_1_16,18.0,1,549.1636363636363,179.56363636363636,4.1298648933300885,-0.39170259670518087,-0.06409011323895293,1.0,0.21404193610884542,0.733247422680412,1.7719072164948464,1.2820930118334148,3.0,-4.079896907216498,-37.45876288659794,0.9004602061855671,0.6074516726063766,0.5810595260459229,1.0,8.73039175488669e-06,0.0195894716036666
source_balanced_cycle126_rank16_obj1_14_c2_x10_HighCOV_110723,126.0,14_c2_x10_HighCOV_110723,post_event_1_16,30.0,1,1352.3435582822085,180.85889570552143,3.9634222911525105,1.6280540516330988,1.4006982719244998,0.6666666666666666,1.0683099629215387,0.5173969072164952,0.3424613402061857,0.4107793133186908,-0.23681344347288397,1.0914948453608295,23.15077319587633,0.0339661855670103,0.0450882081213063,0.0980719770948683,0.9166666666666666,1.763531957756503e-05,0.0049046105276052
source_balanced_cycle40_rank43_obj2_5_c2_x10_260623,40.0,5_c2_x10_260623,far_pre_event_17_32,20.0,2,1323.9779005524863,102.5414364640884,3.9502692214042248,0.5741494026996276,0.9702020915075917,1.0,0.2194246914033422,0.4523195876288659,1.0317869415807566,0.3953993454558802,-0.32048898902068224,-0.054768041237112,-0.9310567010308948,0.3832003298969073,0.0017514097131121,0.0017514097131122,1.0,5.2202868651565655e-06,0.0175660995469506
source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,78.0,9_c2_x10_010723,near_pre_event_1_8,8.0,2,1187.876923076923,1042.953846153846,3.305702958102207,0.9930106637779069,1.0914763559323066,0.3333333333333333,1.4142135623730951,0.0798969072164948,0.0219072164948454,-0.2375612462572245,2.183683316473763,1.193298969072164,12.21907216494846,,0.2392087339436233,0.2623930630203119,1.0,2.578483359048009e-06,0.011727896264843
source_balanced_cycle146_rank26_obj2_17_c2_x10_HighHighCOV_150723,146.0,17_c2_x10_HighHighCOV_150723,mid_pre_event_9_16,10.0,2,1202.156862745098,1103.0588235294117,3.148488761149723,0.5676903631460531,0.40475741554201883,1.0,0.8528929750401106,0.2416237113402065,0.14948453608247445,0.2630479439548963,-0.7927384220199092,0.6198453608247421,4.354381443298966,0.0026602886597938,0.0875825562467663,0.0687330499699804,0.9583333333333334,0.0002627810960718,0.0045168829931065
source_balanced_cycle44_rank45_obj1_5_c2_x10_260623,44.0,5_c2_x10_260623,mid_pre_event_9_16,16.0,1,564.1818181818181,155.1818181818182,3.108097213859602,1.2952219926333108,1.3102968655002132,0.0,,0.0,-0.0960051546391752,-0.2088518117856787,2.3154535769523696,1.081829896907217,11.900128865979386,,0.2833455259145817,0.2454397866952751,1.0,2.4495881393892587e-06,0.0051256001397386
source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,150.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,6.0,2,846.4516129032259,85.09677419354838,3.0443289698520597,0.36710580979715823,0.6650484677833753,1.0,0.8363623224954262,0.8054123711340211,0.5133161512027492,0.07719478610053947,-0.8746094071767044,0.2551546391752632,3.6340206185567134,0.2068374432989691,0.0152122808526545,0.0122960840573398,1.0,0.0001929795566621,0.0050606531740308
