roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,degradation_mode_hypothesis,timing_elapsed_s,thresholds_finite,phase_slope_median_per_s,phase_slope_iqr_per_s,phase_slope_positive_fraction,phase_slope_negative_fraction,phase_slope_abs_median_per_s,radius2_slope_median_px2_per_s,radius2_slope_iqr_px2_per_s,radius2_slope_positive_fraction,radius2_slope_negative_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_iqr_um2_per_s,default_q70_diffusion_proxy_um2_per_s,q70_phase_slope_bootstrap_p05,q70_phase_slope_bootstrap_p50,q70_phase_slope_bootstrap_p95,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,threshold_robust_diffusion_score,phase_slope_median_per_s_protocol_residual,phase_slope_positive_fraction_protocol_residual,phase_slope_abs_median_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,radius2_slope_median_px2_per_s_protocol_residual,diffusion_proxy_median_um2_per_s_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,threshold_robust_diffusion_score_protocol_residual,qc_priority_score,n_components,largest_component_fraction,edge_touch_fraction,q70_first_fraction,q70_last_fraction,q70_fraction_delta,auto_review_flags,manual_qc_status,review_selected,review_fragmented_q70_mask,review_diffusion_ci_crosses_zero,review_active_control,review_no_auto_flags,q70_phase_ci_excludes_zero,q70_phase_ci_positive,q70_phase_ci_negative,q70_radius_ci_excludes_zero,q70_radius_ci_crosses_zero
cycle156_rank7_obj27,156.0,event,1,156.0,,1.6668088838929638,single_persistent_drop_needs_roi_qc,19462.04443982,7,1.891584956018593e-06,3.6588009984111915e-07,1.0,0.0,1.891584956018593e-06,0.0005678455349126,0.0002072853605208,1.0,0.0,1.3083161124387798e-06,4.775854706401186e-07,1.138772978787448e-06,2.174438887406076e-07,1.8880955991724864e-06,3.356063133745504e-06,4.896711484741448e-05,0.0004398281514008,0.000880753238871,0.701923076923077,1.3083161124387798e-06,0.9807692307692308,-2.30406095250893e-07,0.0296361115027952,-2.417138621918892e-07,0.0366612473823781,0.0007094475527495,1.6345671615349794e-06,-1.5908840057147065e-07,0.4682694358743832,0.4971590909090909,49.0,0.8151881720430108,0.0,0.2777112043139604,0.4457759137207909,0.1680647094068304,none,pending,True,False,False,False,True,True,True,False,True,False
cycle157_rank1_obj1,157.0,control,0,156.0,,0.9462923571539248,single_persistent_drop_needs_roi_qc,19505.143994464,7,-7.900122770612939e-07,9.056658814814837e-08,0.0,1.0,7.900122770612939e-07,0.000494016051517,0.0005017285910055,0.7142857142857143,0.2857142857142857,1.1382129826953457e-06,1.1559826736767094e-06,1.238747464701779e-06,-1.4530501381540216e-06,-8.480387836220166e-07,-2.543789382545034e-07,1.2210777335393806e-05,0.0005655857957923,0.0011123959178685,0.701923076923077,1.1382129826953457e-06,0.0865384615384615,6.943482596233164e-08,-0.0888448999578106,-5.424003259010583e-07,0.1495271325281373,0.0008204032600165,1.8902091110782816e-06,-3.892970487315262e-07,-0.4254422401495509,,,,,,,,,,False,False,False,False,False,True,False,True,True,False
cycle116_rank7_obj37,116.0,event,1,116.0,,1.32518717317117,synchronized_persistent_drop_low_frame_count,9126.745852742,7,4.3037461992517885e-06,1.3455076582567447e-06,1.0,0.0,4.3037461992517885e-06,0.0019916719088218,0.0006429216726149,1.0,0.0,4.588812077925554e-06,1.4812915337048528e-06,4.945665530777921e-06,2.2001902837347318e-06,4.440626095020972e-06,6.608535188680132e-06,0.0011133679740345,0.0021575598659723,0.0032824312357174,0.6826923076923077,4.588812077925554e-06,0.9423076923076924,8.807194100396206e-07,0.0026455239053564,9.92236680433702e-07,0.0403670386490317,0.0021995736506868,5.067817691182701e-06,2.449019551320061e-06,0.4343586234504147,0.2702521008403361,71.0,0.3846153846153846,0.0,0.3103654883163571,0.3057219892150988,-0.0046434991012582,fragmented_q70_mask,pending,True,True,False,False,False,True,True,False,True,False
cycle156_rank5_obj4,156.0,event,1,156.0,,1.3097972948929866,single_persistent_drop_needs_roi_qc,19462.04443982,7,3.2914086999456537e-06,8.746325131199138e-07,1.0,0.0,3.2914086999456537e-06,0.0002270623352,0.0004015435857248,0.7142857142857143,0.2857142857142857,5.231516203009118e-07,9.251564215099512e-07,5.231516203009118e-07,8.423457747309662e-07,3.218886957833528e-06,5.104686215415454e-06,-3.002248547526628e-05,0.0002272666860125,0.000454327301289,0.6826923076923077,5.231516203009118e-07,0.0288461538461538,1.1694176486761676e-06,0.0296361115027952,1.1581098817351714e-06,0.0174304781516089,0.0003686643530369,8.494026693971114e-07,-9.442528927093386e-07,-0.4836536410486938,0.6431286105199148,75.0,0.3426616915422885,0.0,0.2774116237267825,0.481725584182145,0.2043139604553625,fragmented_q70_mask;diffusion_ci_crosses_zero,pending,True,True,True,False,False,True,True,False,False,True
cycle116_rank5_obj43,116.0,event,1,116.0,,1.1308900021649042,synchronized_persistent_drop_low_frame_count,9126.745852742,7,3.392710374103412e-06,1.0941017283227117e-06,1.0,0.0,3.392710374103412e-06,-0.0023474452671773,0.0005032580058043,0.0,1.0,-5.408513895576632e-06,1.159506445373312e-06,-4.686320352656991e-06,1.7335438794601236e-06,3.517782099111052e-06,5.390974415990253e-06,-0.0031601324886963,-0.0020772175576792,-0.0010071406595844,0.6634615384615385,5.408513895576632e-06,1.1923076923076923,-3.0316415108755955e-08,0.0026455239053564,8.120085528532559e-08,0.0211362694182626,-0.0021395435253122,-4.929508282319486e-06,3.268721368971139e-06,0.6843586234504146,0.3187218890554723,55.0,0.3696939782823297,0.0,0.3075194727381665,0.3034751348112642,-0.0040443379269022,fragmented_q70_mask,pending,True,True,False,False,False,True,True,False,True,False
cycle118_rank4_obj1,118.0,control,0,116.0,,1.1051828859084512,synchronized_persistent_drop_low_frame_count,9129.33806254,7,1.7469335843534118e-06,4.016208704936307e-07,1.0,0.0,1.7469335843534118e-06,0.0008245699580654,0.0006352494807086,1.0,0.0,1.899809183382682e-06,1.4636148035527003e-06,1.899809183382682e-06,-8.151480386919766e-07,1.7726224092626288e-06,3.364206887457895e-06,-4.553225062198349e-06,0.0008010762822967,0.0017517381442471,0.6634615384615385,1.899809183382682e-06,0.6346153846153846,-1.023234924882891e-06,-0.0045616643801136,-1.1921274314942544e-06,0.0300238180300495,0.0013117721671487,3.022323073110796e-06,-1.0246332137107062e-06,0.1259972446807977,,,,,,,,,,False,False,False,False,False,False,False,False,False,True
cycle86_rank3_obj5,86.0,event,1,86.0,,1.456577760966197,synchronized_persistent_drop_low_frame_count,9098.537893392,7,3.687204623056872e-06,1.2315455328634658e-06,1.0,0.0,3.687204623056872e-06,0.0004434992317086,0.0004069598282052,1.0,0.0,1.0218222298568356e-06,9.376354441849584e-07,1.933724240255684e-06,1.2346986461047805e-06,3.5808534347945e-06,5.871121906199069e-06,0.000389504083506,0.0008609860690067,0.0012138667197822,0.6634615384615385,1.0218222298568356e-06,0.5769230769230769,6.258193884483392e-07,0.0650642115750638,5.162375061033496e-07,0.2400881492063,0.0011829078842482,2.72541976530813e-06,-1.1766263300920988e-06,0.0703837601608976,,,,,,,,,,False,False,False,False,False,True,True,False,True,False
cycle60_rank6_obj26,60.0,event,1,60.0,,1.320031653911962,single_persistent_drop_needs_roi_qc,9244.36053955,7,1.2396569815839683e-06,2.1653469652156735e-07,1.0,0.0,1.2396569815839683e-06,-0.0008004855703044,0.0008432626199913,0.2857142857142857,0.7142857142857143,-1.8443187539815653e-06,1.942877076460012e-06,-1.8443187539815653e-06,-6.144275126778508e-07,1.2740794518799388e-06,3.221317201048704e-06,-0.0024215796623317,-0.0008918578893709,0.0006032052496146,0.625,1.8443187539815653e-06,0.0480769230769231,-2.9120416730739998e-08,0.1594674278574455,-2.3626066954765587e-07,0.1759623195738991,2.143419787721209e-05,4.93843919089243e-08,-1.4897371927501488e-06,-0.4627642301086816,0.4579365079365079,71.0,0.4544033350703491,0.0,0.2911923307369682,0.2874475733972438,-0.0037447573397244,diffusion_ci_crosses_zero,pending,True,False,True,False,False,False,False,False,False,True
cycle116_rank3_obj9,116.0,event,1,116.0,,1.2773770940661642,synchronized_persistent_drop_low_frame_count,9126.745852742,7,5.850943150305229e-06,2.3848762904707225e-06,1.0,0.0,5.850943150305229e-06,0.000928009623568,0.0015988638159894,0.5714285714285714,0.4285714285714285,2.138134172700789e-06,3.6837822320396447e-06,2.138134172700789e-06,3.4512874805788723e-06,5.933619828633032e-06,8.347402605561352e-06,-0.0002734599652181,0.0009594246116843,0.0021788525779047,0.625,2.138134172700789e-06,-0.2115384615384615,2.427916361093061e-06,0.0026455239053564,2.539433631487143e-06,-0.0173252690432759,0.001135911365433,2.617139785957936e-06,-1.6583539047039635e-09,-0.7194875303957391,,,,,,,,,,False,False,False,False,False,True,True,False,False,True
cycle158_rank2_obj1,158.0,control,0,156.0,,0.7788033639340246,single_persistent_drop_needs_roi_qc,19531.183546792,7,8.828026430016701e-07,1.5502480792444486e-07,1.0,0.0,8.828026430016701e-07,1.441059534302012e-05,0.0001304845475924,0.7142857142857143,0.2857142857142857,3.3202011670318365e-08,3.006363976530444e-07,3.3202011670318365e-08,-5.12147306964616e-07,8.978770997144819e-07,2.080283847779487e-06,-0.0004729346789207,3.133530190303365e-05,0.0004455340370035,0.6057692307692308,3.3202011670318365e-08,0.2403846153846154,6.497388865550407e-07,0.1158999767148418,6.327277709832363e-07,0.1663746020087057,0.0005143567216149,1.185077886600979e-06,-1.524340203826247e-06,-0.2712996147489779,,,,,,,,,,False,False,False,False,False,False,False,False,False,True
cycle86_rank8_obj17,86.0,event,1,86.0,,1.248393377128957,synchronized_persistent_drop_low_frame_count,9098.537893392,7,2.5173819686638037e-06,6.751226010716173e-07,1.0,0.0,2.5173819686638037e-06,-0.0005245335668951,0.0005329288376804,0.1428571428571428,0.8571428571428571,-1.2085253381264768e-06,1.2278680420156934e-06,-1.2085253381264768e-06,1.3822957008132638e-06,2.181060733993195e-06,2.9967827875631314e-06,-0.0011098236861088,-0.0005312457521378,-5.22561941236531e-05,0.6057692307692308,1.2085253381264768e-06,0.2403846153846153,-5.44003265944729e-07,0.0650642115750638,-6.535851482897186e-07,0.1823958415139923,0.0002148750856445,4.950721973248174e-07,-9.899232218224577e-07,-0.2661547013775639,0.2044209660308731,91.0,0.2387320455671124,0.0,0.304973037747154,0.3024266027561414,-0.0025464349910125,fragmented_q70_mask,pending,True,True,False,False,False,True,True,False,True,False
cycle58_rank6_obj29,58.0,control,0,60.0,,1.6155277307729818,single_persistent_drop_needs_roi_qc,9250.204203328,7,1.9836635442909093e-06,5.655940475679968e-07,1.0,0.0,1.9836635442909093e-06,1.4017061977103122e-05,0.0009407987921738,0.5714285714285714,0.4285714285714285,3.22953107952456e-08,2.1676004171685104e-06,3.22953107952456e-08,-1.6608618778010756e-07,1.8334734415386308e-06,4.301331576492611e-06,-0.0010986287265377,3.204604745569074e-05,0.0014367304245888,0.6057692307692308,3.22953107952456e-08,-0.5961538461538463,1.9232411833181338e-07,0.0849698428160106,2.403969230056233e-07,0.1524362236801711,0.0006894223288683,1.5884290457128423e-06,-2.8884899133849952e-06,-1.106676028022619,,,,,,,,,,False,False,False,False,False,False,False,False,False,True
cycle60_rank3_obj9,60.0,event,1,60.0,,2.4945534720369364,single_persistent_drop_needs_roi_qc,9244.36053955,7,3.568669291943789e-06,1.2480025836473546e-06,1.0,0.0,3.568669291943789e-06,-0.0022617440815454,0.0002741426822882,0.0,1.0,-5.211058363880742e-06,6.316247399922204e-07,-6.306719257919786e-06,1.2594570666677824e-06,3.551361799206236e-06,5.862200631924922e-06,-0.0031387359613537,-0.0027680986385232,-0.0024255226661141,0.6057692307692307,5.211058363880742e-06,1.4423076923076923,2.2998918936290807e-06,0.1594674278574455,2.092751640812165e-06,0.1567315503431298,-0.0014398243133637,-3.3173552179902525e-06,1.877002417149028e-06,0.9314665391220875,1.410144927536232,72.0,0.3174603174603174,0.0,0.2874475733972438,0.292540443379269,0.0050928699820251,fragmented_q70_mask,pending,True,True,False,False,False,True,True,False,True,False
cycle88_rank3_obj6,88.0,control,0,86.0,,0.7769960856294926,synchronized_persistent_drop_low_frame_count,9106.526124716,7,2.3679400168437707e-06,6.68189538901009e-07,1.0,0.0,2.3679400168437707e-06,-0.0031233010863157,0.0017645469647035,0.0,1.0,-7.196085702871549e-06,4.065516206676868e-06,-7.196085702871549e-06,2.0903167674361746e-07,2.3170899874244537e-06,4.536875366991669e-06,-0.0034794403593199,-0.0031297611953202,-0.0027364232916502,0.5865384615384617,7.196085702871549e-06,0.75,-1.1514589648276589e-06,-0.0437833588005094,-8.32650550236548e-07,0.1815075701229222,-0.0017202162386301,-3.963378213804071e-06,3.1192672843138827e-06,0.2419689850016132,0.4263157894736842,60.0,0.4234592445328032,0.0,0.2982324745356501,0.3013780707010186,0.0031455961653684,fragmented_q70_mask,pending,True,True,False,False,False,True,True,False,True,False
cycle62_rank1_obj4,62.0,control,0,60.0,,1.9750338827400629,single_persistent_drop_needs_roi_qc,9242.521957436,7,1.5932327634192358e-06,4.127113334682998e-07,1.0,0.0,1.5932327634192358e-06,0.0009469023403594,0.0008690089478677,1.0,0.0,2.18166299218825e-06,2.0021966158873536e-06,2.18166299218825e-06,-4.094114216054284e-07,1.4785481134508204e-06,3.4369302988341226e-06,0.0004698356252449,0.0009183532259173,0.0013961018638097,0.5865384615384616,2.18166299218825e-06,0.5769230769230769,-2.116987795829617e-07,-0.0739292207347166,-5.352901115583828e-08,0.1236965842822019,0.001249317522037,2.878427570773629e-06,3.1989018492053685e-07,0.067171139203526,,,,,,,,,,False,False,False,False,False,False,False,False,True,False
cycle86_rank4_obj9,86.0,event,1,86.0,,1.1156177975150214,synchronized_persistent_drop_low_frame_count,9098.537893392,7,5.385509073626023e-06,2.691471515792406e-06,1.0,0.0,5.385509073626023e-06,0.0001824065282852,0.0016747916170241,0.5714285714285714,0.4285714285714285,4.202646411692796e-07,3.8587198856235535e-06,4.202646411692796e-07,2.6694457668758897e-06,5.3076004942669705e-06,8.940731688852308e-06,-0.0004781591977925,0.000135355446846,0.000903958899515,0.5865384615384616,4.202646411692796e-07,-0.6346153846153846,2.3241238390174905e-06,0.0650642115750638,2.214541956672501e-06,0.163165072283223,0.0009218151808248,2.1238621766205737e-06,-1.778183918779655e-06,-1.1411547013775638,0.2306184012066365,75.0,0.4017382906808305,0.0,0.3081186339125225,0.3102156980227681,0.0020970641102456,fragmented_q70_mask;diffusion_ci_crosses_zero,pending,True,True,True,False,False,True,True,False,False,True
cycle118_rank3_obj9,118.0,control,0,116.0,,0.6340187053993103,synchronized_persistent_drop_low_frame_count,9129.33806254,7,4.272308442180869e-06,1.7423690212767636e-06,1.0,0.0,4.272308442180869e-06,-9.698072506722186e-05,0.0008446829551389,0.4285714285714285,0.5714285714285714,-2.234435905548792e-07,1.9461495286400265e-06,-2.234435905548792e-07,1.7907467603544035e-06,4.289463016824477e-06,6.709820083560693e-06,-0.0010219799210012,-3.322476046023767e-05,0.0009968858972337,0.5673076923076924,2.234435905548792e-07,-0.4807692307692308,1.5021399329445662e-06,-0.0045616643801136,1.333247426333203e-06,-0.0661300281237966,0.0003902214840161,8.990702991732347e-07,-2.700998806538509e-06,-0.9893873707038175,,,,,,,,,,False,False,False,False,False,True,True,False,False,True
cycle58_rank3_obj9,58.0,control,0,60.0,,0.8161872484866202,single_persistent_drop_needs_roi_qc,9250.204203328,7,3.643750798104462e-06,1.5735644540888428e-06,1.0,0.0,3.643750798104462e-06,-0.0013145713466197,0.000156401432204,0.0,1.0,-3.0287723826118747e-06,3.6034889979823305e-07,-3.0287723826118747e-06,1.2467750894808714e-06,3.615015078697628e-06,5.843175672335246e-06,-0.001753199476045,-0.0013171555324526,-0.0009051869492093,0.5480769230769231,3.0287723826118747e-06,1.3076923076923077,1.8524113721453657e-06,0.0849698428160106,1.900484176819176e-06,0.0947439159878634,-0.0006391660797284,-1.4726386476942778e-06,1.0798715843163389e-07,0.7971701258235347,,,,,,,,,,False,False,False,False,False,True,True,False,True,False
cycle90_rank5_obj10,90.0,control,0,86.0,,0.764701860494445,synchronized_persistent_drop_low_frame_count,9100.682447876,7,3.901084779550993e-06,1.7171812752356888e-06,1.0,0.0,3.901084779550993e-06,0.0001561837930372,0.0012404607102246,0.5714285714285714,0.4285714285714285,3.5984745915784e-07,2.858021476357568e-06,3.5984745915784e-07,1.0112826753808691e-06,3.966991111182056e-06,7.575826178034715e-06,-0.0008259367737739,0.0001899251336688,0.0011863217577626,0.5480769230769231,3.5984745915784e-07,-0.5384615384615385,2.221579402026982e-06,-0.0178277307758196,2.0677905334200777e-06,0.1395082448227057,0.0013911524303464,3.20521519951843e-06,-3.2354183198737946e-06,-1.0461293315687712,,,,,,,,,,False,False,False,False,False,True,True,False,False,True
