roi_id,cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,object_x_full_approx,object_y_full_approx,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,npz_path,preview_png
cycle62_rank2_obj2,62.0,7_c2_x10_290623,7,2,2,6.583976584591412,control_multicycle_roi_candidate,1324.629213483146,108.42696629213484,1229,12,1421,204,192,96,96,6444,7363,8705.89453125,8694.2001953125,-11.6943359375,0.07335987687110901,0.07271680235862732,-0.0006430745124816895,0.2121320343560125,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle62_rank2_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank2_obj2.png
cycle62_rank1_obj4,62.0,7_c2_x10_290623,7,1,4,6.282223708699526,control_multicycle_roi_candidate,1176.79012345679,1024.3456790123455,1081,928,1273,1120,192,96,96,6444,7363,8170.89306640625,8212.3837890625,41.49072265625,0.07524719089269638,0.07729101926088333,0.0020438283681869507,0.2121320343560125,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle62_rank1_obj4.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank1_obj4.png
cycle62_rank3_obj9,62.0,7_c2_x10_290623,7,3,9,5.445827812460037,control_multicycle_roi_candidate,798.3291139240506,318.0253164556962,702,222,894,414,192,96,96,6444,7363,8272.140625,8302.2314453125,30.0908203125,0.07800069451332092,0.07992301136255264,0.00192231684923172,0.2121320343560125,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle62_rank3_obj9.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank3_obj9.png
cycle62_rank4_obj1,62.0,7_c2_x10_290623,7,4,1,4.911685287617786,control_multicycle_roi_candidate,566.4,166.8,470,71,662,263,192,96,96,6444,7363,8467.4150390625,8468.712890625,1.2978515625,0.09125293791294098,0.0918019637465477,0.00054902583360672,0.2121320343560125,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle62_rank4_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank4_obj1.png
cycle86_rank2_obj6,86.0,10_c2_x10_030723,1,2,6,6.600365262271105,event_multicycle_roi_candidate,1335.859296482412,171.678391959799,1240,76,1432,268,192,96,96,906,1812,8857.2548828125,8861.24609375,3.9912109375,0.07436051964759827,0.07449217885732651,0.00013165920972824097,0.24999999999993178,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle86_rank2_obj6.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank2_obj6.png
cycle86_rank5_obj8,86.0,10_c2_x10_030723,1,5,8,5.911487633945073,event_multicycle_roi_candidate,1660.7096774193549,191.1290322580645,1565,95,1757,287,192,96,96,906,1812,8213.4951171875,8221.01953125,7.5244140625,0.0834420844912529,0.08377459645271301,0.0003325119614601135,0.24999999999993178,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle86_rank5_obj8.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank5_obj8.png
cycle86_rank3_obj5,86.0,10_c2_x10_030723,1,3,5,5.394256624475365,event_multicycle_roi_candidate,1184.2469135802469,1085.9753086419753,1088,990,1280,1182,192,96,96,906,1812,8329.9814453125,8341.5458984375,11.564453125,0.07550061494112015,0.07611338794231415,0.0006127730011940002,0.24999999999993178,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle86_rank3_obj5.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank3_obj5.png
cycle86_rank4_obj9,86.0,10_c2_x10_030723,1,4,9,4.6612934650376046,event_multicycle_roi_candidate,810.7391304347826,383.69565217391306,715,288,907,480,192,96,96,906,1812,8176.974609375,8167.140625,-9.833984375,0.08359380811452866,0.08293188363313675,-0.0006619244813919067,0.24999999999993178,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle86_rank4_obj9.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank4_obj9.png
cycle86_rank6_obj78,86.0,10_c2_x10_030723,1,6,78,4.564274022953415,event_multicycle_roi_candidate,550.9333333333333,214.4,455,118,647,310,192,96,96,906,1812,8524.732421875,8528.212890625,3.48046875,0.08608007431030273,0.08640339225530624,0.0003233179450035095,0.24999999999993178,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle86_rank6_obj78.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank6_obj78.png
cycle86_rank8_obj17,86.0,10_c2_x10_030723,1,8,17,4.404672825684108,event_multicycle_roi_candidate,116.0,1002.9019607843136,20,907,212,1099,192,96,96,906,1812,8309.9638671875,8314.166015625,4.2021484375,0.11490217596292496,0.11530789732933044,0.00040572136640548706,0.24999999999993178,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle86_rank8_obj17.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank8_obj17.png
cycle88_rank2_obj4,88.0,10_c2_x10_030723,3,2,4,4.505572339544418,control_multicycle_roi_candidate,1335.142857142857,170.57142857142858,1239,75,1431,267,192,96,96,2720,3626,8867.92578125,8869.2841796875,1.3583984375,0.0745336189866066,0.07467475533485413,0.00014113634824752808,0.18027756377319315,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle88_rank2_obj4.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle88_rank2_obj4.png
cycle88_rank5_obj9,88.0,10_c2_x10_030723,3,5,9,4.333685300200534,control_multicycle_roi_candidate,810.4086021505376,383.6559139784946,714,288,906,480,192,96,96,2720,3626,8172.9072265625,8149.90283203125,-23.00439453125,0.08635547012090683,0.08494586497545242,-0.0014096051454544067,0.18027756377319315,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle88_rank5_obj9.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle88_rank5_obj9.png
cycle88_rank3_obj6,88.0,10_c2_x10_030723,3,3,6,4.328278429709984,control_multicycle_roi_candidate,1182.9565217391305,1082.8695652173913,1087,987,1279,1179,192,96,96,2720,3626,8322.5498046875,8318.69140625,-3.8583984375,0.07694742828607559,0.07691822946071625,-2.9198825359344482e-05,0.18027756377319315,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle88_rank3_obj6.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle88_rank3_obj6.png
cycle88_rank4_obj8,88.0,10_c2_x10_030723,3,4,8,4.122451717220647,control_multicycle_roi_candidate,1660.7633587786258,189.7404580152672,1565,94,1757,286,192,96,96,2720,3626,8219.876953125,8219.013671875,-0.86328125,0.08456002920866013,0.08461129665374756,5.126744508743286e-05,0.18027756377319315,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle88_rank4_obj8.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle88_rank4_obj8.png
cycle90_rank6_obj3,90.0,10_c2_x10_030723,5,6,3,4.681975244797292,control_multicycle_roi_candidate,572.7058823529412,232.7843137254902,477,137,669,329,192,96,96,4534,5439,8524.96875,8516.6845703125,-8.2841796875,0.09029142558574677,0.08965382725000381,-0.0006375983357429504,0.2500000000000227,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle90_rank6_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle90_rank6_obj3.png
cycle90_rank3_obj4,90.0,10_c2_x10_030723,5,3,4,4.637619571135867,control_multicycle_roi_candidate,1335.5280898876404,172.67415730337078,1240,77,1432,269,192,96,96,4534,5439,8886.37109375,8883.4267578125,-2.9443359375,0.07689960300922394,0.07677193731069565,-0.0001276656985282898,0.2500000000000227,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle90_rank3_obj4.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle90_rank3_obj4.png
cycle90_rank4_obj6,90.0,10_c2_x10_030723,5,4,6,4.14051848376339,control_multicycle_roi_candidate,1660.504854368932,188.4660194174757,1565,92,1757,284,192,96,96,4534,5439,8212.4716796875,8206.31640625,-6.1552734375,0.08463245630264282,0.08433759212493896,-0.0002948641777038574,0.2500000000000227,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle90_rank4_obj6.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle90_rank4_obj6.png
cycle90_rank5_obj10,90.0,10_c2_x10_030723,5,5,10,4.077663353790309,control_multicycle_roi_candidate,810.7,383.05,715,287,907,479,192,96,96,4534,5439,8088.107421875,8080.40087890625,-7.70654296875,0.08356758207082748,0.08293861895799637,-0.0006289631128311157,0.2500000000000227,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle90_rank5_obj10.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle90_rank5_obj10.png
cycle116_rank2_obj2,116.0,13_c2_x6_100723,1,2,2,5.324312767584873,event_multicycle_roi_candidate,1348.6176470588234,177.44117647058823,1253,81,1445,273,192,96,96,909,1818,8875.732421875,8868.9501953125,-6.7822265625,0.07582628726959229,0.07563389837741852,-0.0001923888921737671,0.22360679774992814,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle116_rank2_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle116_rank2_obj2.png
cycle116_rank3_obj9,116.0,13_c2_x6_100723,1,3,9,5.098809654631046,event_multicycle_roi_candidate,820.927536231884,380.1159420289855,725,284,917,476,192,96,96,909,1818,8144.91845703125,8128.3359375,-16.58251953125,0.07678136229515076,0.07572346180677414,-0.0010579004883766174,0.22360679774992814,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle116_rank3_obj9.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle116_rank3_obj9.png
cycle116_rank1_obj6,116.0,13_c2_x6_100723,1,1,6,5.030580641918212,event_multicycle_roi_candidate,1199.1515151515152,1088.4242424242425,1103,992,1295,1184,192,96,96,909,1818,8380.73828125,8359.5556640625,-21.1826171875,0.07839798927307129,0.07723325490951538,-0.0011647343635559082,0.22360679774992814,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle116_rank1_obj6.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle116_rank1_obj6.png
cycle116_rank5_obj43,116.0,13_c2_x6_100723,1,5,43,4.3043625905483625,event_multicycle_roi_candidate,1247.2,1177.6,1151,1008,1343,1200,192,96,96,909,1818,8631.3662109375,8609.0009765625,-22.365234375,0.0873265340924263,0.08608190715312958,-0.0012446269392967224,0.22360679774992814,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle116_rank5_obj43.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle116_rank5_obj43.png
cycle116_rank7_obj37,116.0,13_c2_x6_100723,1,7,37,4.274566215478122,event_multicycle_roi_candidate,1255.090909090909,900.2727272727273,1159,804,1351,996,192,96,96,909,1818,8141.65380859375,8131.5537109375,-10.10009765625,0.1357230842113495,0.1347198635339737,-0.0010032206773757935,0.22360679774992814,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/cycle116_rank7_obj37.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle116_rank7_obj37.png
