event_relative_bin,n_roi,n_cycles,n_sources,future_any_drop_within_8cycles,future_any_drop_within_16cycles,object_candidate_rank,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,persistence_mse_mean,persistence_mse_p95,persistence_mse_late_mean,velocity_mse_mean,velocity_mse_p95,velocity_minus_persistence_mse,temporal_energy_mean
far_pre_event_17_32,22,11,4,0.0,0.0,1.5,1010.9378624689313,128.5821572580645,54.5,10454.91455078125,24.42144775390625,0.08118496835231775,0.08172807842493054,0.00011166930198664999,9.324402708443813e-05,0.0002911845367634,6.975909491302446e-05,0.0002413960100966,0.0008223192300647,0.0001432989884051,0.008777684997767151
mid_pre_event_9_16,22,11,6,0.0,22.0,1.5,1181.5985347985347,190.52985593641333,65.0,9075.07470703125,21.97834014892578,0.07860088348388669,0.07826551795005796,-0.00048386678099629997,0.00010305708929075,0.00032058389842855,9.406332173963328e-05,0.00029112360789435,0.0009040354852913499,0.00015864454326215,0.00985316745936865
near_pre_event_1_8,32,16,5,32.0,32.0,1.5,1200.3937888198757,177.38888888888889,73.5,9020.50732421875,22.140566825866703,0.07609776034951204,0.07604727894067759,-0.00010624900460242724,8.821699520922266e-05,0.0003175822042976,8.86154011823237e-05,0.00024980193120425,0.0008895571707398,0.0001565629208926,0.0093110920861363
no_near_event_control,12,6,2,0.0,0.0,1.5,1329.2678321678322,127.99919641063417,90.0,7747.01416015625,21.570711135864258,0.08213013783097264,0.0830327086150646,0.0010323785245418,5.2184093874529935e-05,0.0001847823899879,5.7000204833457246e-05,0.00014728081441715,0.00052828624175155,9.50512439885195e-05,0.00702224997803565
post_event_1_16,40,20,6,0.0,12.0,1.5,843.1111111111111,182.65347721822536,47.5,10986.458984375,26.861649513244625,0.08001206815242765,0.0798236988484859,-7.556006312369867e-05,8.139813508023508e-05,0.00030305839027275003,7.766038106638007e-05,0.0002170788502553,0.0008433218303252499,0.00013854999269815,0.00882481457665555
