anchor_feature,mechanism_feature,n,spearman_rho,spearman_p,source_residual_spearman_rho,source_residual_spearman_p,mechanism_source_eta2
exact_low_context_change_score,particle_vs_context_mean_diff_positive_fraction,172,-1.0,0.0,-0.9999893743687338,0.0,0.3165546893158412
exact_low_context_change_score,exact_optical_loss_score,172,0.6666034966873393,1.8473098980673776e-23,0.6930478968675345,6.032687483045138e-26,0.5127858096758277
exact_low_context_change_score,particle_std_diff_positive_fraction,172,-0.5502561586221298,5.323742235274226e-15,-0.44756145279107434,7.480811888053161e-10,0.19009184138361196
exact_low_context_change_score,stage_drift_xy_sampled,72,0.2584982213326347,0.028346880477341255,0.11341051342423498,0.3428530827373494,0.40007092213327305
exact_low_context_change_score,capacity_fraction_of_first,54,-0.27134269336717126,0.047177282428123524,-0.09469407536117172,0.49580366334689474,0.5193993446290935
exact_low_context_change_score,roi_norm_mean_delta_last_minus_first,72,-0.21875202416751544,0.06487556216591987,-0.0488672347593261,0.6835387950414468,0.5665204642804436
exact_low_context_change_score,transferred_masked_residual_signature,72,0.17265347326196828,0.14697780105270222,0.010990101124719756,0.9269961802864263,0.08606454639058475
exact_low_context_change_score,median_radius2_fit_r2,72,0.16897756743724515,0.1559122321918419,0.09799191955360421,0.4128376218025418,0.07128113788648097
exact_low_context_change_score,persistence_particle_to_nonparticle_mse_ratio_mean,72,-0.16109971224464145,0.17640689026159034,0.20813226263150578,0.07935850164858531,0.3177135880068295
exact_low_context_change_score,persistence_particle_mse_fraction_of_full_mean,72,-0.15205716388187865,0.20227530004755045,0.10613377690896113,0.3749048392938013,0.49127687773101847
exact_low_context_change_score,object_mean_abs_z,72,0.12376482562343125,0.3003008299095873,0.0070476947068109416,0.9531466400006561,0.18735935660413516
exact_low_context_change_score,frames_percentile,72,-0.12127441859294462,0.31020628723189836,-0.2649593514092812,0.02449524479037637,0.9931670133396445
exact_low_context_change_score,radius2_slope_median_px2_per_s,72,0.12096632675624347,0.31144620847582744,0.04918904730301609,0.6815663528402405,0.07478734597537161
exact_low_context_change_score,diffusion_proxy_median_um2_per_s,72,0.12096632675624347,0.31144620847582744,0.04918904730301609,0.6815663528402405,0.07478734597537168
exact_low_context_change_score,particle_gradient_diff_q90,172,0.06848518290509172,0.3720317630356133,0.047989832696417,0.5318714738417485,0.6226563294430654
exact_low_context_change_score,state_step_norm,72,-0.09999817199617234,0.4032898728855995,-0.06700572668111075,0.5759973348483872,0.09922795337385493
exact_low_context_change_score,q70_radius2_slope_bootstrap_p50_px2_per_s,72,0.09325633508287559,0.4358870233887539,0.020949996594218825,0.8613353463219993,0.0728263482975305
exact_low_context_change_score,phase_slope_median_per_s,72,0.0845858414828025,0.4799140550624144,0.13358438688571792,0.2632742314916626,0.6706925006650919
exact_low_context_change_score,diffusion_proxy_abs_median_um2_per_s,72,0.07712856993497845,0.5195987993140894,0.09474161286233522,0.42858076240279114,0.29579211278703826
exact_low_context_change_score,negative_D_fraction,72,0.07104839256979603,0.5531377769476309,-0.10951212271062828,0.3598051925645907,0.1523825740069568
exact_low_context_change_score,positive_D_fraction,72,-0.07104839256979603,0.5531377769476309,0.10865957269756202,0.36357997990676605,0.15238257400695676
exact_low_context_change_score,object_mean_residual,72,0.06773014310355595,0.5718691537383246,0.05348524476127756,0.6554425569940368,0.21511721966788822
