roi_id,cycleNo,embedding_row_id,source_stem,cohort_role,selection_subrole,future_any_drop_within_16cycles,future_any_drop_within_8cycles,any_abrupt_drop,particle_vs_context_mean_diff_positive_fraction,particle_std_diff_positive_fraction,particle_mean_last_minus_first,particle_gradient_diff_q90,particle_norm_mean,particle_norm_std,particle_norm_min,particle_norm_max,particle_norm_range,particle_norm_cv,source_stem_temporal,cohort_role_temporal,selection_subrole_temporal,phase_slope_median_per_s_temporal,phase_slope_positive_fraction_temporal,radius2_slope_median_px2_per_s_temporal,radius2_slope_positive_fraction_temporal,diffusion_proxy_median_um2_per_s_temporal,diffusion_proxy_abs_median_um2_per_s_temporal,threshold_robust_phase_score_temporal,threshold_robust_diffusion_score_temporal,q70_radius2_slope_bootstrap_p50_px2_per_s_temporal,transferred_masked_residual_signature_temporal,low_rank_dmd_particle_mse_fraction_of_full_mean_temporal,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_temporal,persistence_particle_mse_fraction_of_full_mean_temporal,persistence_particle_to_nonparticle_mse_ratio_mean_temporal,roi_norm_mean_delta_last_minus_first_temporal,object_mean_residual_temporal,object_mean_abs_z_temporal,stage_drift_xy_sampled_temporal,source_stem_diffusion,cohort_role_diffusion,diffusion_proxy_median_um2_per_s_diffusion,threshold_robust_diffusion_score_diffusion,positive_D_fraction_diffusion,negative_D_fraction_diffusion,median_apparent_D_um2_per_s_diffusion,median_abs_apparent_D_um2_per_s_diffusion,median_radius2_fit_r2_diffusion,threshold_sensitivity_iqr_over_median_abs_diffusion,diffusion_physics_gate_count_diffusion,physics_consistency_score_diffusion,transferred_masked_residual_signature_diffusion,mask_instability_score_diffusion,fallback_frame_fraction_diffusion,accepted_area_cv_diffusion,source_stem_echemfront,cohort_role_echemfront,selection_subrole_echemfront,phase_slope_median_per_s_echemfront,phase_slope_positive_fraction_echemfront,radius2_slope_median_px2_per_s_echemfront,radius2_slope_positive_fraction_echemfront,diffusion_proxy_median_um2_per_s_echemfront,diffusion_proxy_abs_median_um2_per_s_echemfront,threshold_robust_phase_score_echemfront,threshold_robust_diffusion_score_echemfront,q70_radius2_slope_bootstrap_p50_px2_per_s_echemfront,transferred_masked_residual_signature_echemfront,low_rank_dmd_particle_mse_fraction_of_full_mean_echemfront,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean_echemfront,persistence_particle_mse_fraction_of_full_mean_echemfront,persistence_particle_to_nonparticle_mse_ratio_mean_echemfront,roi_norm_mean_delta_last_minus_first_echemfront,object_mean_residual_echemfront,object_mean_abs_z_echemfront,stage_drift_xy_sampled_echemfront,capacity_fraction_of_first_echemfront,state_step_norm_echemfront,axis_step_echemfront,frames_percentile_echemfront,cycle_index_rank_echemfront,phase_slope_median_per_s,phase_slope_positive_fraction,radius2_slope_median_px2_per_s,radius2_slope_positive_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s,threshold_robust_phase_score,threshold_robust_diffusion_score,q70_radius2_slope_bootstrap_p50_px2_per_s,positive_D_fraction,negative_D_fraction,median_apparent_D_um2_per_s,median_abs_apparent_D_um2_per_s,median_radius2_fit_r2,threshold_sensitivity_iqr_over_median_abs,diffusion_physics_gate_count,physics_consistency_score,transferred_masked_residual_signature,low_rank_dmd_particle_mse_fraction_of_full_mean,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,persistence_particle_mse_fraction_of_full_mean,persistence_particle_to_nonparticle_mse_ratio_mean,roi_norm_mean_delta_last_minus_first,object_mean_residual,object_mean_abs_z,stage_drift_xy_sampled,mask_instability_score,fallback_frame_fraction,accepted_area_cv,capacity_fraction_of_first,state_step_norm,axis_step,frames_percentile,cycle_index_rank,exact_optical_loss_score,exact_low_context_change_score,front_contraction_score,diffusion_guardrail_score,rollout_residual_score
cycle62_rank2_obj2,62.0,selected_event_control::cycle62_rank2_obj2,7_c2_x10_290623,control,,,,,0.5263157894736842,0.5052631578947369,0.0014913340564817,0.0001751687377691,0.9559506400882528,0.0260798387149705,0.9262295081967212,0.9859154929577464,0.0596859847610251,0.0272815746141064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29848291245674985,-0.024891308719330752,,,
cycle62_rank1_obj4,62.0,selected_event_control::cycle62_rank1_obj4,7_c2_x10_290623,control,,,,,0.5157894736842106,0.4947368421052631,0.0045890412293374,0.0002590015530586,0.9559506400882528,0.0260798387149705,0.9262295081967212,0.9859154929577464,0.0596859847610251,0.0272815746141064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023319492498793948,0.18917394626692094,,,
cycle62_rank3_obj9,62.0,selected_event_control::cycle62_rank3_obj9,7_c2_x10_290623,control,,,,,0.5052631578947369,0.5052631578947369,0.0076104544568806,0.0003345876932144,0.9559506400882528,0.0260798387149705,0.9262295081967212,0.9859154929577464,0.0596859847610251,0.0272815746141064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18716441187624033,0.4032392012531749,,,
cycle62_rank4_obj1,62.0,selected_event_control::cycle62_rank4_obj1,7_c2_x10_290623,control,,,,,0.5263157894736842,0.5473684210526316,0.0016795890405774,0.0002331689000129,0.9559506400882528,0.0260798387149705,0.9262295081967212,0.9859154929577464,0.0596859847610251,0.0272815746141064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4851196432797849,-0.024891308719330752,,,
cycle86_rank2_obj6,86.0,selected_event_control::cycle86_rank2_obj6,10_c2_x10_030723,event,,,,,0.5052631578947369,0.5368421052631579,0.0040450100786983,0.0003267411142587,0.9041496703353088,0.0425656578112455,0.8442622950819673,0.9444444444444444,0.1001821493624771,0.0470781101932601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16545237738419705,0.4032392012531749,,,
cycle86_rank5_obj8,86.0,selected_event_control::cycle86_rank5_obj8,10_c2_x10_030723,event,,,,,0.5052631578947369,0.5473684210526316,0.0057280792389065,0.00032809227705,0.9041496703353088,0.0425656578112455,0.8442622950819673,0.9444444444444444,0.1001821493624771,0.0470781101932601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13148802054880432,0.4032392012531749,,,
cycle86_rank3_obj5,86.0,selected_event_control::cycle86_rank3_obj5,10_c2_x10_030723,event,,,,,0.5368421052631579,0.5368421052631579,0.0072916203644126,0.0002862453460693,0.9041496703353088,0.0425656578112455,0.8442622950819673,0.9444444444444444,0.1001821493624771,0.0470781101932601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1713263860753711,-0.2389565637055847,,,
cycle86_rank4_obj9,86.0,selected_event_control::cycle86_rank4_obj9,10_c2_x10_030723,event,,,,,0.4947368421052631,0.5368421052631579,0.0125128810759633,0.0006179943680763,0.9041496703353088,0.0425656578112455,0.8442622950819673,0.9444444444444444,0.1001821493624771,0.0470781101932601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4381020704605238,0.61730445623943,,,
cycle86_rank6_obj78,86.0,selected_event_control::cycle86_rank6_obj78,10_c2_x10_030723,event,,,,,0.5473684210526316,0.5157894736842106,0.0045194730628281,0.000473003834486,0.9041496703353088,0.0425656578112455,0.8442622950819673,0.9444444444444444,0.1001821493624771,0.0470781101932601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19174564412402711,-0.45302181869183866,,,
cycle86_rank8_obj17,86.0,selected_event_control::cycle86_rank8_obj17,10_c2_x10_030723,event,,,,,0.5263157894736842,0.5473684210526316,0.0078559298999607,0.0003269180655479,0.9041496703353088,0.0425656578112455,0.8442622950819673,0.9444444444444444,0.1001821493624771,0.0470781101932601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12777466208974156,-0.024891308719330752,,,
