roi_id,roi_class,is_event_roi,cycleNo,event_cycle,source_stem,stage_drift_xy_sampled,roi_norm_mean_delta_last_minus_first,low_threshold,high_threshold,mid_threshold,high_fraction_first,high_fraction_last,high_fraction_delta,high_fraction_slope_per_frame,high_fraction_slope_r2,low_fraction_delta,low_fraction_slope_per_frame,mid_fraction_delta,mid_fraction_slope_per_frame,high_radius2_delta_px2,high_radius2_slope_px2_per_frame,high_radius2_slope_r2,low_radius2_delta_px2,low_radius2_slope_px2_per_frame,interface_density_mean,interface_density_delta,interface_density_slope_per_frame,centroid_path_px,centroid_net_px,temporal_diff_energy,first_last_corr,cumulative_abs_first_last
cycle86_rank5_obj8,event,1,86.0,86.0,10_c2_x10_030723,0.2499999999999317,0.0003325119614601,0.043722737580537796,0.0772898942232132,0.060506315901875496,0.2937387657279808,0.30332534451767523,0.009586578789694433,0.0002593899739496542,0.02306094017689919,0.0058418214499700305,-0.00039527813529858987,-0.0043439185140802805,0.00040341683607138983,16.67665955263442,-0.022078987140308228,0.004123716593030902,-0.4166062078102186,0.16596925264509746,0.2079370131815458,0.0010485320551228416,-2.3892892869135507e-05,15.492939511230466,0.38844676981616477,5.278667595121078e-05,0.976481740106244,0.014939644373953342
cycle86_rank2_obj6,event,1,86.0,86.0,10_c2_x10_030723,0.2499999999999317,0.0001316592097282,0.03701905719935894,0.07482312694191932,0.05592109207063913,0.29673457159976036,0.2982324745356501,0.00149790293588975,0.00019659569657281824,0.034469651799353684,0.0032953864589574944,-0.00028412406570031305,0.0034451767525464083,0.00027480484185948823,6.473404930972833,-0.08131057971096169,0.04955216115578198,6.05951835567862,0.2752781452278216,0.17768873576992208,0.004793289394847217,-4.745662095854685e-05,13.230823180733385,0.024678101460404833,4.831897240364924e-05,0.9814205800323119,0.012960313819348812
cycle86_rank3_obj5,event,1,86.0,86.0,10_c2_x10_030723,0.2499999999999317,0.000612773001194,0.0254464253783226,0.06762839481234549,0.04653741009533405,0.3013780707010186,0.3084182144997004,0.007040143798681842,0.000353265940434343,0.08566334275965992,-0.0059916117435590555,-0.0004400130511803279,0.006590772917914933,0.0004176867388369289,23.19464273127619,0.08039192559217148,0.09325584013894272,7.194468534869884,0.38428459080473953,0.15786804723387257,0.0038945476333133444,-4.241247549144604e-05,20.305278789786904,0.004890640801824833,9.460682485951111e-05,0.9832854610654862,0.01390142273157835
cycle86_rank8_obj17,event,1,86.0,86.0,10_c2_x10_030723,0.2499999999999317,0.0004057213664054,0.06861968487501144,0.1091850996017456,0.08890239223837852,0.304973037747154,0.3024266027561414,-0.0025464349910125916,0.00020403238233700276,0.12225533101475083,-0.001198322348711811,-0.00025513013468609984,0.005542240862792092,0.0002431867360735704,3.892501588543496,-0.0502564747284463,0.015281906696474112,-6.786659070868154,0.2733884509003282,0.2218113391252247,0.003145596165368497,-7.848344926977237e-05,17.2157252804701,0.48732903626372936,0.00010395733988843858,0.9595343557809409,0.018371963873505592
cycle86_rank4_obj9,event,1,86.0,86.0,10_c2_x10_030723,0.2499999999999317,-0.0006619244813919,0.02603551372885704,0.06732673346996307,0.046681123599410054,0.3081186339125225,0.3102156980227681,0.0020970641102456278,0.0005159617284580776,0.0950791952203982,-0.0022468544038345972,-0.0008004119111160799,0.0005991611743559333,0.0007663931375076561,11.124187596991305,0.017505691683341578,0.0016159986196523368,-8.14563836424486,0.2028762186439543,0.19024147443578987,0.008238466147393653,9.409540967117089e-05,23.08782386139515,0.26390212496882853,0.00012165113002993166,0.9761626362204234,0.01879122294485569
cycle116_rank3_obj9,event,1,116.0,116.0,13_c2_x6_100723,0.2236067977499281,-0.0010579004883766,0.02384837530553341,0.060023858770728106,0.04193611703813076,0.317106051527861,0.31171360095865785,-0.005392450569203122,0.0005622540813994461,0.15110261657246282,0.005991611743559,-0.0008299453066304021,-0.0073397243858597805,0.0007778793628150143,0.20525359682960698,0.08921278175851145,0.02559384874691506,-5.528605994550389,-0.00828628108558597,0.19593194527661273,-0.007789095266626717,0.00010843134858078817,20.383372424920296,0.1103916498606366,8.857985812937841e-05,0.9963839696037506,0.008871481753885746
cycle116_rank2_obj2,event,1,116.0,116.0,13_c2_x6_100723,0.2236067977499281,-0.0001923888921737,0.03862312436103821,0.07479493096470832,0.056709027662873265,0.30227681246255245,0.30317555422408626,0.0008987417615338167,0.00020217829059934826,0.07375479904937077,-0.002396644697423622,-0.00023680561267399846,0.001198322348711811,0.0002577553253984883,-4.206643175844306,-0.069372027945607,0.07822534451886298,-9.451907481842,0.2518844490153144,0.1750237167964849,-0.00149790293588975,-7.13393544208965e-06,16.406409544484355,0.29661482440472287,4.295408871257678e-05,0.9979419838015748,0.006270929705351591
cycle116_rank1_obj6,event,1,116.0,116.0,13_c2_x6_100723,0.2236067977499281,-0.0011647343635559,0.02717820182442665,0.0679924376308918,0.047585319727659225,0.3090173756740563,0.3043738765727981,-0.004643499101258219,0.0004100214664201539,0.10859681525936538,0.0019472738166566583,-0.0005062127617103812,-0.005542240862792092,0.000436938814688195,-1.7897236079251115,-0.012889955704189306,0.0033197074109759805,0.9874376621346528,0.3572308756497142,0.15715498302376674,0.005542240862792092,-5.674028687563849e-05,17.381656510646216,0.13829423473388472,7.897186151240021e-05,0.9977167421514357,0.007474997080862522
cycle116_rank8_obj20,event,1,116.0,116.0,13_c2_x6_100723,0.2236067977499281,0.0002583116292953,0.060771768912672997,0.11932353898882865,0.09004765395075082,0.304973037747154,0.3024266027561414,-0.0025464349910125916,0.0001384076942307912,0.04629652455624811,0.007040143798681842,-0.00013417731724689978,-0.004943079688436214,0.00012113060705788081,6.833890418236933,-0.2321455952264551,0.20949617832947798,0.9606750538207507,0.11284475928617459,0.18321849410824845,0.002246854403834625,-2.273472049602538e-05,14.317076352739592,0.062467890723558996,8.303269714815542e-05,0.9932072276720704,0.009104886092245579
cycle116_rank7_obj37,event,1,116.0,116.0,13_c2_x6_100723,0.2236067977499281,-0.0010032206773757,0.07006172835826874,0.14108409881591796,0.10557291358709335,0.3103654883163571,0.30572198921509885,-0.004643499101258219,0.0004237884785500001,0.11885233607857026,0.002696225284601561,-0.00024557622854861526,0.0,0.00040861235669953773,5.653709476957943,0.2063052053072484,0.12185044900378272,-3.748145716072486,0.08044490490460733,0.17445888256440986,-0.004943079688436214,-8.005815732093365e-05,15.238804575009734,0.2740301534751753,0.00023368009715341032,0.9925959356571659,0.013414045795798302
