roi_class,event_cycle,n_roi,high_fraction_slope_per_frame,high_fraction_slope_per_s,high_radius2_slope_px2_per_frame,high_radius2_slope_px2_per_s,interface_density_mean,centroid_path_px,first_last_corr,cumulative_abs_first_last
control,86.0,24,0.00014215279021740875,1.4829468774948194e-06,-0.13053223009080858,-0.001361809730145272,0.17926172889205114,17.570273563803504,0.9957190093346872,0.008348003961145878
control,116.0,8,0.00018911088061900695,1.967890063412464e-06,-0.021977049815936595,-0.0002286934406647545,0.19098515983872577,16.76987410286357,0.995524972828557,0.008065878413617611
event,86.0,5,0.00030584914435037916,3.193443721808127e-06,-0.011149684860840631,-0.00011641651375097754,0.191109321949271,17.8665181247232,0.9753769546410813,0.015792913548648358
event,116.0,6,0.0003618287964402755,3.7662641445744952e-06,-0.0243374911402482,-0.0002533281517452306,0.17647741079155846,16.55707109237557,0.9953423675315213,0.009073155544077357
