cycleNo,cycle_state_pc1,cycle_state_pc2,cycle_state_pc3,cycle_state_pc4,degradation_state_axis,state_step_norm,axis_step,future_any_drop_within_8cycles,cycle_state_cluster,physics_consistency_score,front_direction_score,optical_change_score,rollout_residual_score,kinetic_transition_score,precursor_context_score,mode_taxonomy_score,phase_slope_positive_fraction_protocol_residual_shape_residual,threshold_robust_phase_score_protocol_residual_shape_residual,diffusion_proxy_median_um2_per_s_protocol_residual_shape_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual_shape_residual,q70_transformed_fraction_delta_shape_residual,mode_review_priority_shape_residual,is_future_drop_cycle_state,is_cross_modal_priority
58.0,-3.5474100700235667,0.8812183009687103,1.724142476500518,-0.553194943816347,3.5474100700235667,1.0790902799200783,-0.8387451653773388,1.0,1.0,-0.9296709824008398,0.6064967511146895,-1.7011782822842403,-0.40962137617407623,-0.04226389699177445,-0.5198546276634186,-0.2381410396266807,0.0693168976828356,0.12306407304281045,5.958926155848846e-08,4.868461157361806e-07,-0.00542698384583655,0.0365146790609268,1.0,0.0
60.0,-4.816019715064928,0.663737499131033,-1.3708875064717725,-0.8756370437944915,4.816019715064928,3.3674690546455954,1.268609645041361,0.0,1.0,1.3346146480117638,0.3575880050967439,0.9867438813658093,1.1054943763224354,-0.21726529288569293,-0.27416858677139444,0.5943872247993806,0.1420607813442233,0.09884528593368866,-5.775483778049282e-07,3.060205728631989e-07,-0.00331475748809725,0.04506741662068725,0.0,0.5
62.0,-5.701628449484817,0.6010760226094003,-1.9029623854609323,0.0208418895028384,5.701628449484817,1.369309112588504,0.8856087344198889,0.0,1.0,-1.1955034534215025,-0.4011979052497939,-0.4536954043878306,-0.1174880161865413,-0.10440692792903225,-0.4885064051821094,-0.340619734190699,-0.028771428008791,-0.07713204878661341,-1.3579575809701242e-06,7.002450724475751e-08,-0.0008710530826908499,-0.08279326607386754,0.0,0.0
86.0,-6.813171681880113,-1.1495673212394624,-5.612760464862473,3.651287796694237,6.813171681880113,8.521464254560303,2.389285221900084,0.0,1.0,0.01692697206827934,0.3389509980079777,0.2996538227035853,0.031220593920683447,0.15219543125653184,-0.00495752043191245,-0.4415599290700781,0.0426147571116945,0.08608002581616075,1.5282027487684906e-06,-5.3669827497626375e-08,0.0002759697083441012,-0.1326240683024975,0.0,0.0
88.0,-6.01785605119535,-0.8517443342283604,-4.213577206515748,3.885389287762494,6.01785605119535,1.6534033937795864,-0.7953156306847626,0.0,1.0,-0.34106567122241477,-0.22470387621095994,-0.3534277017344125,-0.11974640911690834,0.3702131069643749,-0.23567430504306897,-0.2929034917985994,-0.0232430817490235,0.018682251384492005,-3.960125080709062e-06,4.4895989595844844e-07,0.0008223950788974999,-0.07299679573986304,0.0,0.0
90.0,-6.899579395248483,-2.0725534497611204,-5.670857747270398,4.345836131765773,6.899579395248483,2.145574240764198,0.8817233440531327,0.0,1.0,-1.2568047518266892,-0.5501197014855692,-0.4306219359754618,-0.3788213286294547,-0.1623249859799925,-0.2629200212060549,-0.7146641748007457,-0.002621845133023,-0.16738393563700424,-7.459626090336081e-07,3.8344137426344986e-07,-0.012349049673354751,-0.011859226639601199,0.0,0.0
116.0,2.1141956086485054,-1.2460533610577464,-11.028105665725104,5.945611025740416,-2.1141956086485054,13.563520693660344,3.647132959927527,0.0,0.0,-1.1915366712468383,-0.3112980048460373,0.02896352136996895,-0.32246866526667617,-0.45207884443417884,-1.603891881030084,-0.676935429850251,-0.0011027185480677,0.03021384811163045,-5.6582553216626e-07,1.6766178448673464e-07,-0.0102824983236636,-0.04931248683620395,0.0,0.0
118.0,3.7940847950572025,-1.452110558755744,-5.553161845150325,1.4598594731006254,-3.7940847950572025,7.277462750010905,-1.679889186408697,0.0,0.0,-2.1651366768078786,-0.39217733664172844,-0.20117668887931345,-0.2469590152732507,-0.6262094789190594,-1.802030948475676,-0.8953016147297261,0.0015784928761686,0.0779887109811517,1.607623938597917e-06,-9.173843858918849e-08,-0.0032480107075755996,-0.04314721571074184,0.0,0.0
156.0,-2.2859718258330584,1.2872442413850915,-1.2179521059108869,0.464169953755173,2.2859718258330584,6.385183479815459,1.7715416460695592,0.0,1.0,4.705194196124997,2.1558351821523765,1.6715894259910953,0.7589251916403922,3.794927875825106,4.116688637500984,0.6676943678172478,0.0279262108175641,0.0653496396233216,4.902962106949306e-07,2.555459587859018e-07,0.1263349294038466,0.295953009394329,0.0,1.0
157.0,-1.3642367785727452,1.171488251522295,2.534265990873754,-2.0762293701042798,1.3642367785727452,4.625555568473997,-0.9217350472603132,0.0,1.0,1.1497131229612756,-2.1441043428135487,0.06686498503773404,-0.4232847803777193,1.7714612179395233,3.9125596141812693,-0.09522904926887935,-0.0905548006430416,0.053215524769080855,1.311623567495701e-06,-2.5059044545810564e-07,-0.10735647684615325,-0.006931605990286652,0.0,0.0
158.0,-1.057906693193582,1.1766362952777996,3.4154338164059235,-2.0419758634004115,1.057906693193582,0.9335387849669222,-0.306330085379163,0.0,1.0,3.4010104400224757,1.2894354818425455,0.659828414727071,0.6397396028534035,3.889070642143423,3.8912632058393366,-0.3368868328203387,0.1141900760296107,0.0700629942496491,-6.730650464920985e-07,3.714198686222172e-07,-0.02197236226282,-0.38673929829797915,0.0,0.5
