cycle_state_cluster,n_roi,n_cycles,event_fraction,cross_modal_priority_fraction,median_physics_consistency_score,median_front_direction_score,median_optical_change_score,median_rollout_residual_score,median_kinetic_transition_score,median_precursor_context_score,median_mode_taxonomy_score,median_phase_slope_positive_fraction_protocol_residual_shape_residual
1,42,9,0.42857142857142855,0.23809523809523808,0.3818421318470264,0.16130905960400255,0.1289572569775963,0.1107536776216325,0.3702131069643749,-0.08444996452197989,-0.09522904926887935,0.0279262108175641
0,10,2,0.6,0.0,-1.6945005774554684,-0.3112980048460373,-0.11621741533712404,-0.2469590152732507,-0.47269192733191834,-1.614260593004336,-0.7411067542373126,-0.0011027185480677
