roi_id,context_role,cycleNo,source_stem,cohort_role,validation_score,threshold_quantile,central_radius_fraction,baseline_fraction,baseline_frames,time_window,n_fit,timing_source,median_dt_s,threshold_value,phase_fraction_first,phase_fraction_last,phase_fraction_delta,phase_fraction_slope_per_s,phase_fraction_slope_r2,radius2_slope_px2_per_s,radius2_slope_r2,apparent_D_um2_per_s,radius2_slope_bootstrap_p05_px2_per_s,radius2_slope_bootstrap_p50_px2_per_s,radius2_slope_bootstrap_p95_px2_per_s,apparent_D_bootstrap_p05_um2_per_s,apparent_D_bootstrap_p50_um2_per_s,apparent_D_bootstrap_p95_um2_per_s,positive_ci,n_bootstrap_slopes,centroid_path_px,centroid_net_px,npz_path
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.1,10,full,96,camera_timing,100.10614497999995,0.06560871452093124,0.3917910447761194,0.3894344069128044,-0.0023566378633150253,2.405438013411118e-06,0.02482791743628121,0.0010789584686832086,0.10145141547780712,2.485920311846113e-06,-0.0015503825204353778,0.0009896571952103972,0.0028822699554456213,-3.5720813270831107e-06,2.2801701777647555e-06,6.640749977346712e-06,False,200,15.649702481101837,0.25575486573214673,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.1,10,early70,67,camera_timing,100.10614497999995,0.06560871452093124,0.3917910447761194,0.4884131971720346,0.09662215239591515,2.0751862140614774e-05,0.7906073297543147,0.004356111912904972,0.7122295623576615,1.0036481847333057e-05,0.0026867871121331413,0.004284820398126823,0.00663912417964994,6.190357506354758e-06,9.8722261972842e-06,1.529654210991346e-05,True,200,10.573663049472756,1.690342496198409,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.1,10,middle70,67,camera_timing,100.10614497999995,0.06560871452093124,0.422623723487824,0.4509033778476041,0.028279654359780082,3.6988584888517315e-06,0.056554182588697155,0.0010590775134373173,0.19898287313566787,2.440114590959579e-06,-0.0005650800807581111,0.0008323200601890402,0.002298451054924925,-1.3019445060666878e-06,1.9176654186755486e-06,5.295631230547027e-06,False,200,11.029794574480265,0.46874416236196903,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.1,10,late70,67,camera_timing,100.10614497999995,0.06560871452093124,0.47682639434406915,0.3894344069128044,-0.08739198743126475,-1.589259771636067e-05,0.6576964991841654,-0.0024298815754786973,0.48592169086933834,-5.598447149902919e-06,-0.003545432400782038,-0.0019427241782314537,-0.0007809799294758747,-8.168676251401816e-06,-4.47603650664527e-06,-1.7993777575124155e-06,False,200,11.572222655995054,0.960140922222987,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.125,12,full,96,camera_timing,100.10614497999995,0.06595966368913647,0.38884524744697563,0.3855066771406127,-0.00333857030636292,2.39532285467664e-06,0.024608304809725312,0.001099837753400593,0.09826157758207077,2.534026183834966e-06,-0.0011642296276502676,0.0011448389171928755,0.003153163400840275,-2.682385062106217e-06,2.637708865212385e-06,7.264888475535994e-06,False,200,14.959181307481568,0.21604253179824426,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.125,12,early70,67,camera_timing,100.10614497999995,0.06595966368913647,0.38884524744697563,0.4838963079340141,0.09505106048703849,2.0751344062099346e-05,0.7913754949245015,0.004524247852288016,0.7189319495251008,1.0423867051671588e-05,0.002182868817328608,0.004600231199719335,0.006202754522385059,5.0293297551251134e-06,1.0598932684153347e-05,1.4291146419575177e-05,True,200,10.15805476672111,1.6396092681933023,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.125,12,middle70,67,camera_timing,100.10614497999995,0.06595966368913647,0.42007069913589945,0.44893951296150825,0.028868813825608797,3.6762503260880748e-06,0.056325330698103304,0.0010913058437546856,0.19653284912819036,2.5143686640107957e-06,-0.0006601332558631595,0.0008219197960645324,0.002161058605859256,-1.5209470215087194e-06,1.8937032101326826e-06,4.979079027899726e-06,False,200,10.547153297252388,0.36834501260047303,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.125,12,late70,67,camera_timing,100.10614497999995,0.06595966368913647,0.47388059701492535,0.3855066771406127,-0.08837391987431265,-1.587971500423343e-05,0.6552125917103915,-0.002535285468623009,0.48389851453106814,-5.8412977197074124e-06,-0.0034141791831685405,-0.001923336843876449,-0.0007477545377373502,-7.866268838020317e-06,-4.431368088291339e-06,-1.7228264549468548e-06,False,200,10.609886441947374,0.972581465756351,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.2,19,full,96,camera_timing,100.10614497999995,0.06705174446105956,0.3805970149253731,0.37549096622152395,-0.005106048703849175,2.4194586314547303e-06,0.025350556776713162,0.001118161243907382,0.09151033803312814,2.5762435059626082e-06,-0.0008041864116069018,0.0014387826306797211,0.0033773728617022955,-1.8528454923423018e-06,3.3149551810860776e-06,7.781467073362089e-06,False,200,15.301127952137188,0.17455843167766052,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.2,19,early70,67,camera_timing,100.10614497999995,0.06705174446105956,0.3805970149253731,0.4746661429693637,0.09406912804399059,2.0712084092508735e-05,0.7958894492525884,0.004793355273182928,0.7319120667978822,1.1043890549413466e-05,0.002607033270924765,0.004729076226652267,0.006662330943438339,6.006604656210659e-06,1.0895791626206823e-05,1.5350010493681933e-05,True,200,10.51740476163245,1.6044102815098245,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
