roi_id,context_role,cycleNo,source_stem,cohort_role,validation_score,n_variants,n_full_window_variants,median_D_um2_per_s,q10_D_um2_per_s,q90_D_um2_per_s,positive_D_fraction,positive_ci_fraction,full_window_positive_ci_fraction,median_radius2_r2,max_radius2_r2,default_q70_D_um2_per_s,default_q70_D_p05_um2_per_s,default_q70_D_p95_um2_per_s,default_q70_positive_ci,default_q70_radius2_r2,roi_norm_mean_delta_last_minus_first,median_D_um2_per_s_context_percentile,positive_ci_fraction_context_percentile,default_q70_D_um2_per_s_context_percentile,default_q70_radius2_r2_context_percentile
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,252,63,5.344048611646146e-07,-7.969654723860776e-06,1.0385128531237738e-05,0.5634920634920635,0.17063492063492064,0.0,0.12038629807883672,0.8014807016777251,6.404800570008565e-07,-2.1411065490715443e-06,3.32889994898855e-06,False,0.016841017482120635,4.298985004425049e-06,0.7,0.5,0.7,0.5
cycle78_rank22_obj1,same_cycle_neighbor_object,78.0,9_c2_x10_010723,future8_positive,24.74683509607009,252,63,-2.9762683794293783e-06,-8.200076861193297e-06,1.2402114373824458e-06,0.17857142857142858,0.05952380952380952,0.0,0.16353518600415978,0.7421348637450627,-2.212140457912842e-06,-5.01515970804222e-06,6.793152792406601e-07,False,0.15902629208651642,6.85378909111023e-05,0.1,0.1,0.1,0.7
cycle78_rank22_obj2,target_nearest_diffusion_candidate,78.0,9_c2_x10_010723,future8_positive,24.49773808606248,252,63,3.2878762231388737e-06,-4.431050127114061e-06,1.3845464421702908e-05,0.7380952380952381,0.3968253968253968,0.3333333333333333,0.28808877496197155,0.8494148487940061,3.456512133062921e-06,1.9531822660687e-06,5.379870113798701e-06,True,0.42366463856220815,0.0011900439858436,0.9,0.9,0.9,0.9
cycle78_rank22_obj3,same_cycle_neighbor_object,78.0,9_c2_x10_010723,future8_positive,24.263112458779265,252,63,-3.987766383363345e-07,-8.38141785748235e-06,5.880576381877093e-06,0.4444444444444444,0.23015873015873015,0.2698412698412698,0.1976316990002019,0.8735130509450281,-4.30707430774156e-07,-2.837410493299766e-06,5.685821202490895e-07,False,0.009107529071932796,0.0002939477562904,0.5,0.7,0.3,0.3
cycle84_rank23_obj2,same_source_later_cycle_same_object_rank,84.0,9_c2_x10_010723,future8_positive,24.753681477229097,252,63,-8.362492221858153e-07,-8.794328319070142e-06,8.407982717730871e-06,0.36507936507936506,0.15476190476190477,0.0,0.04253145936453795,0.6874072240747637,-2.447960211158605e-07,-2.4407696435498634e-06,1.5636068775127323e-06,False,0.0025524524208356825,-9.796023368835448e-05,0.3,0.3,0.5,0.1
