feature,train_auc,orientation,strength,n_train_finite,target,heldout_source
concordance_matched_positive_support_count,1.0,1,0.5,118,near_vs_any_non_near,9_c2_x10_010723
observable_tail_contrast_delta,0.2473404255319149,-1,0.25265957446808507,118,near_vs_any_non_near,9_c2_x10_010723
abs_radial_flow_mean,0.7273936170212766,1,0.22739361702127658,118,near_vs_any_non_near,9_c2_x10_010723
gradient_aligned_flow_q90,0.7211879432624113,1,0.2211879432624113,118,near_vs_any_non_near,9_c2_x10_010723
abs_radial_flow_q90,0.7176418439716312,1,0.21764184397163122,118,near_vs_any_non_near,9_c2_x10_010723
abs_radial_flow_slope,0.30186170212765956,-1,0.19813829787234044,118,near_vs_any_non_near,9_c2_x10_010723
curl_slope,0.30895390070921985,-1,0.19104609929078015,118,near_vs_any_non_near,9_c2_x10_010723
particle_flow_mag_slope,0.31604609929078015,-1,0.18395390070921985,118,near_vs_any_non_near,9_c2_x10_010723
curl_mean,0.6835106382978723,1,0.18351063829787229,118,near_vs_any_non_near,9_c2_x10_010723
particle_flow_mag_mean,0.6826241134751773,1,0.18262411347517726,118,near_vs_any_non_near,9_c2_x10_010723
curl_q90,0.675531914893617,1,0.17553191489361697,118,near_vs_any_non_near,9_c2_x10_010723
tangential_flow_slope,0.3271276595744681,-1,0.1728723404255319,118,near_vs_any_non_near,9_c2_x10_010723
