comparison,treated_index,control_index,treated_roi_id,control_roi_id,source_stem,treated_cycleNo,control_cycleNo,treated_event_bin,control_event_bin,match_distance,cycle_delta_treated_minus_control
near_vs_mid_pre_same_source,20,18,source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,12_c2_x10_070723,108.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,0.3682408242483988,2.0
near_vs_mid_pre_same_source,21,19,source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,12_c2_x10_070723,108.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,0.4114623134375908,2.0
near_vs_mid_pre_same_source,22,18,source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,12_c2_x10_070723,110.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,0.6593784273185065,4.0
near_vs_mid_pre_same_source,23,18,source_balanced_cycle110_rank12_obj2_12_c2_x10_070723,source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,12_c2_x10_070723,110.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,2.606557985550562,4.0
near_vs_mid_pre_same_source,24,18,source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,12_c2_x10_070723,112.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,2.679662527577782,6.0
near_vs_mid_pre_same_source,25,19,source_balanced_cycle112_rank13_obj2_12_c2_x10_070723,source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,12_c2_x10_070723,112.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,3.449444413060394,6.0
near_vs_mid_pre_same_source,26,18,source_balanced_cycle114_rank14_obj1_12_c2_x10_070723,source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,12_c2_x10_070723,114.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,1.2153601156967495,8.0
near_vs_mid_pre_same_source,27,19,source_balanced_cycle114_rank14_obj2_12_c2_x10_070723,source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,12_c2_x10_070723,114.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,1.188009191749879,8.0
near_vs_mid_pre_same_source,52,51,source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj2_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,150.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.1862119233915511,4.0
near_vs_mid_pre_same_source,53,50,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj1_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,150.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.1776678645653824,4.0
