comparison,treated_index,control_index,treated_roi_id,control_roi_id,source_stem,treated_cycleNo,control_cycleNo,treated_event_bin,control_event_bin,match_distance,cycle_delta_treated_minus_control
near_vs_mid_pre_same_source,54,50,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj1_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,151.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.448074847150619,5.0
near_vs_mid_pre_same_source,55,51,source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj2_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,151.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.4763669030158673,5.0
near_vs_mid_pre_same_source,56,50,source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj1_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,152.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.7739367865841618,6.0
near_vs_mid_pre_same_source,57,51,source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj2_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,152.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.7602324915178607,6.0
near_vs_mid_pre_same_source,58,50,source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj1_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,154.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,2.3315420654870387,8.0
near_vs_mid_pre_same_source,59,51,source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj2_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,154.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,2.3600390564399416,8.0
near_vs_mid_pre_same_source,96,94,source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2,source_balanced_cycle50_rank48_obj1_6_c2_x10_270623_2,6_c2_x10_270623_2,52.0,50.0,near_pre_event_1_8,mid_pre_event_9_16,0.36175867329223144,2.0
near_vs_mid_pre_same_source,97,95,source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2,source_balanced_cycle50_rank48_obj2_6_c2_x10_270623_2,6_c2_x10_270623_2,52.0,50.0,near_pre_event_1_8,mid_pre_event_9_16,0.3104630002327463,2.0
near_vs_mid_pre_same_source,98,95,source_balanced_cycle54_rank50_obj1_6_c2_x10_270623_2,source_balanced_cycle50_rank48_obj2_6_c2_x10_270623_2,6_c2_x10_270623_2,54.0,50.0,near_pre_event_1_8,mid_pre_event_9_16,0.7644609852399502,4.0
near_vs_mid_pre_same_source,99,93,source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2,source_balanced_cycle48_rank47_obj2_6_c2_x10_270623_2,6_c2_x10_270623_2,54.0,48.0,near_pre_event_1_8,mid_pre_event_9_16,0.8666675850707255,6.0
near_vs_post_control_same_source,100,107,source_balanced_cycle56_rank51_obj1_7_c2_x10_290623,source_balanced_cycle64_rank54_obj2_7_c2_x10_290623,7_c2_x10_290623,56.0,64.0,near_pre_event_1_8,post_event_1_16,0.864928995169713,-8.0
near_vs_post_control_same_source,101,104,source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,source_balanced_cycle62_rank53_obj1_7_c2_x10_290623,7_c2_x10_290623,56.0,62.0,near_pre_event_1_8,post_event_1_16,0.6454898515819858,-6.0
near_vs_post_control_same_source,102,104,source_balanced_cycle58_rank52_obj1_7_c2_x10_290623,source_balanced_cycle62_rank53_obj1_7_c2_x10_290623,7_c2_x10_290623,58.0,62.0,near_pre_event_1_8,post_event_1_16,0.45583405085718504,-4.0
near_vs_post_control_same_source,103,107,source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,source_balanced_cycle64_rank54_obj2_7_c2_x10_290623,7_c2_x10_290623,58.0,64.0,near_pre_event_1_8,post_event_1_16,0.6210158940489903,-6.0
near_vs_post_control_same_source,120,118,source_balanced_cycle78_rank61_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,9_c2_x10_010723,78.0,76.0,near_pre_event_1_8,post_event_1_16,0.4116652002875269,2.0
near_vs_post_control_same_source,121,119,source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,source_balanced_cycle76_rank60_obj2_9_c2_x10_010723,9_c2_x10_010723,78.0,76.0,near_pre_event_1_8,post_event_1_16,0.3639967154333726,2.0
near_vs_post_control_same_source,122,118,source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,9_c2_x10_010723,80.0,76.0,near_pre_event_1_8,post_event_1_16,0.8033199207594248,4.0
near_vs_post_control_same_source,123,119,source_balanced_cycle80_rank62_obj2_9_c2_x10_010723,source_balanced_cycle76_rank60_obj2_9_c2_x10_010723,9_c2_x10_010723,80.0,76.0,near_pre_event_1_8,post_event_1_16,0.8514758746880441,4.0
near_vs_post_control_same_source,124,118,source_balanced_cycle82_rank63_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,9_c2_x10_010723,82.0,76.0,near_pre_event_1_8,post_event_1_16,0.9828311149855125,6.0
near_vs_post_control_same_source,125,119,source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,source_balanced_cycle76_rank60_obj2_9_c2_x10_010723,9_c2_x10_010723,82.0,76.0,near_pre_event_1_8,post_event_1_16,1.0126629496312423,6.0
near_vs_post_control_same_source,126,118,source_balanced_cycle84_rank64_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,9_c2_x10_010723,84.0,76.0,near_pre_event_1_8,post_event_1_16,1.2037683356820614,8.0
near_vs_post_control_same_source,127,119,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,source_balanced_cycle76_rank60_obj2_9_c2_x10_010723,9_c2_x10_010723,84.0,76.0,near_pre_event_1_8,post_event_1_16,1.2598603176476062,8.0
near_vs_any_non_near_same_source,20,18,source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,12_c2_x10_070723,108.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,0.3682408242483988,2.0
near_vs_any_non_near_same_source,21,19,source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,12_c2_x10_070723,108.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,0.4114623134375908,2.0
near_vs_any_non_near_same_source,22,18,source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,12_c2_x10_070723,110.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,0.6593784273185065,4.0
near_vs_any_non_near_same_source,23,18,source_balanced_cycle110_rank12_obj2_12_c2_x10_070723,source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,12_c2_x10_070723,110.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,2.606557985550562,4.0
near_vs_any_non_near_same_source,24,18,source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,12_c2_x10_070723,112.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,2.679662527577782,6.0
near_vs_any_non_near_same_source,25,19,source_balanced_cycle112_rank13_obj2_12_c2_x10_070723,source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,12_c2_x10_070723,112.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,3.449444413060394,6.0
near_vs_any_non_near_same_source,26,18,source_balanced_cycle114_rank14_obj1_12_c2_x10_070723,source_balanced_cycle106_rank10_obj1_12_c2_x10_070723,12_c2_x10_070723,114.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,1.2153601156967495,8.0
near_vs_any_non_near_same_source,27,19,source_balanced_cycle114_rank14_obj2_12_c2_x10_070723,source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,12_c2_x10_070723,114.0,106.0,near_pre_event_1_8,mid_pre_event_9_16,1.188009191749879,8.0
near_vs_any_non_near_same_source,52,51,source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj2_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,150.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.1862119233915511,4.0
near_vs_any_non_near_same_source,53,50,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj1_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,150.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.1776678645653824,4.0
near_vs_any_non_near_same_source,54,50,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj1_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,151.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.448074847150619,5.0
near_vs_any_non_near_same_source,55,51,source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj2_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,151.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.4763669030158673,5.0
near_vs_any_non_near_same_source,56,50,source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj1_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,152.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.7739367865841618,6.0
near_vs_any_non_near_same_source,57,51,source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj2_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,152.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,1.7602324915178607,6.0
near_vs_any_non_near_same_source,58,50,source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj1_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,154.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,2.3315420654870387,8.0
near_vs_any_non_near_same_source,59,51,source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle146_rank26_obj2_17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,154.0,146.0,near_pre_event_1_8,mid_pre_event_9_16,2.3600390564399416,8.0
near_vs_any_non_near_same_source,96,94,source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2,source_balanced_cycle50_rank48_obj1_6_c2_x10_270623_2,6_c2_x10_270623_2,52.0,50.0,near_pre_event_1_8,mid_pre_event_9_16,0.36175867329223144,2.0
near_vs_any_non_near_same_source,97,95,source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2,source_balanced_cycle50_rank48_obj2_6_c2_x10_270623_2,6_c2_x10_270623_2,52.0,50.0,near_pre_event_1_8,mid_pre_event_9_16,0.3104630002327463,2.0
near_vs_any_non_near_same_source,98,95,source_balanced_cycle54_rank50_obj1_6_c2_x10_270623_2,source_balanced_cycle50_rank48_obj2_6_c2_x10_270623_2,6_c2_x10_270623_2,54.0,50.0,near_pre_event_1_8,mid_pre_event_9_16,0.7644609852399502,4.0
near_vs_any_non_near_same_source,99,93,source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2,source_balanced_cycle48_rank47_obj2_6_c2_x10_270623_2,6_c2_x10_270623_2,54.0,48.0,near_pre_event_1_8,mid_pre_event_9_16,0.8666675850707255,6.0
near_vs_any_non_near_same_source,100,107,source_balanced_cycle56_rank51_obj1_7_c2_x10_290623,source_balanced_cycle64_rank54_obj2_7_c2_x10_290623,7_c2_x10_290623,56.0,64.0,near_pre_event_1_8,post_event_1_16,0.864928995169713,-8.0
near_vs_any_non_near_same_source,101,104,source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,source_balanced_cycle62_rank53_obj1_7_c2_x10_290623,7_c2_x10_290623,56.0,62.0,near_pre_event_1_8,post_event_1_16,0.6454898515819858,-6.0
near_vs_any_non_near_same_source,102,104,source_balanced_cycle58_rank52_obj1_7_c2_x10_290623,source_balanced_cycle62_rank53_obj1_7_c2_x10_290623,7_c2_x10_290623,58.0,62.0,near_pre_event_1_8,post_event_1_16,0.45583405085718504,-4.0
near_vs_any_non_near_same_source,103,107,source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,source_balanced_cycle64_rank54_obj2_7_c2_x10_290623,7_c2_x10_290623,58.0,64.0,near_pre_event_1_8,post_event_1_16,0.6210158940489903,-6.0
near_vs_any_non_near_same_source,120,118,source_balanced_cycle78_rank61_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,9_c2_x10_010723,78.0,76.0,near_pre_event_1_8,post_event_1_16,0.4116652002875269,2.0
near_vs_any_non_near_same_source,121,119,source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,source_balanced_cycle76_rank60_obj2_9_c2_x10_010723,9_c2_x10_010723,78.0,76.0,near_pre_event_1_8,post_event_1_16,0.3639967154333726,2.0
near_vs_any_non_near_same_source,122,118,source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,9_c2_x10_010723,80.0,76.0,near_pre_event_1_8,post_event_1_16,0.8033199207594248,4.0
near_vs_any_non_near_same_source,123,119,source_balanced_cycle80_rank62_obj2_9_c2_x10_010723,source_balanced_cycle76_rank60_obj2_9_c2_x10_010723,9_c2_x10_010723,80.0,76.0,near_pre_event_1_8,post_event_1_16,0.8514758746880441,4.0
near_vs_any_non_near_same_source,124,118,source_balanced_cycle82_rank63_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,9_c2_x10_010723,82.0,76.0,near_pre_event_1_8,post_event_1_16,0.9828311149855125,6.0
near_vs_any_non_near_same_source,125,119,source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,source_balanced_cycle76_rank60_obj2_9_c2_x10_010723,9_c2_x10_010723,82.0,76.0,near_pre_event_1_8,post_event_1_16,1.0126629496312423,6.0
near_vs_any_non_near_same_source,126,118,source_balanced_cycle84_rank64_obj1_9_c2_x10_010723,source_balanced_cycle76_rank60_obj1_9_c2_x10_010723,9_c2_x10_010723,84.0,76.0,near_pre_event_1_8,post_event_1_16,1.2037683356820614,8.0
near_vs_any_non_near_same_source,127,119,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,source_balanced_cycle76_rank60_obj2_9_c2_x10_010723,9_c2_x10_010723,84.0,76.0,near_pre_event_1_8,post_event_1_16,1.2598603176476062,8.0
