feature,timebase_feature,n,spearman_rho,p_value,abs_rho
observable_prefix_particle_minus_background_slope,h5_dt_max_to_median_ratio,72,0.22267055651850456,0.06010362704088468,0.22267055651850456
context_fraction,h5_dt_max_to_median_ratio,72,-0.21345921338918125,0.07180161782534204,0.21345921338918125
front_radius2_slope_px2_per_norm_time_source_echem_context_residual,h5_dt_max_to_median_ratio,53,0.21106086401495852,0.1292530438219187,0.21106086401495852
mask_fraction,h5_dt_max_to_median_ratio,72,0.20807407213954535,0.07944441477058573,0.20807407213954535
observable_tail_score,roi_elapsed_to_h5_max_abs_error,72,0.20709918892979792,0.08089477592587507,0.20709918892979792
tangential_flow_q90,strict_timebase_fraction,72,-0.2061529161918771,0.08232261142777458,0.2061529161918771
observable_prefix_particle_mean_slope,strict_timebase_fraction,72,-0.20347560559198258,0.0864709045340872,0.20347560559198258
qc_evidence_score,h5_dt_max_to_median_ratio,17,-0.2008683680070677,0.4394943340445181,0.2008683680070677
tangential_flow_mean,strict_timebase_fraction,72,-0.1967823290922463,0.09756535270964545,0.1967823290922463
curl_q90_source_residual,strict_timebase_fraction,72,0.1967823290922463,0.09756535270964545,0.1967823290922463
front_consensus_score,roi_elapsed_to_h5_max_abs_error,38,0.19650492864378943,0.2370294189983923,0.19650492864378943
abs_radial_flow_q90_source_residual,strict_timebase_fraction,72,0.1887503972925628,0.11231369281095593,0.1887503972925628
observable_tail_score,h5_dt_max_to_median_ratio,72,0.17965465355470253,0.13102907381683948,0.17965465355470253
kinetic_evidence_score,roi_elapsed_to_h5_max_abs_error,72,0.1728746205837865,0.14645277439614954,0.1728746205837865
tangential_flow_q90,h5_dt_max_to_median_ratio,72,0.17264753813978456,0.14699191102559447,0.17264753813978456
observable_prefix_front_radius2_q70_slope,strict_timebase_fraction,72,-0.1713478783932485,0.1501061516212233,0.1713478783932485
kinetic_evidence_score,strict_timebase_fraction,72,0.17000922309330127,0.15336502948241712,0.17000922309330127
tangential_flow_mean,h5_dt_max_to_median_ratio,72,0.1683329717037471,0.15751963002807842,0.1683329717037471
observable_prefix_front_radius_q70_slope,strict_timebase_fraction,72,-0.1619772912936177,0.17403117678816873,0.1619772912936177
flow_acceleration_mean,strict_timebase_fraction,72,-0.15528401479388146,0.19275068439677695,0.15528401479388146
apparent_transport_instability_score,strict_timebase_fraction,72,-0.15528401479388146,0.19275068439677695,0.15528401479388146
apparent_transport_instability_score_source_residual,strict_timebase_fraction,72,0.15260670419398695,0.2006299658339802,0.15260670419398695
particle_flow_mag_q90,strict_timebase_fraction,72,-0.1512680488940397,0.20465471730481508,0.1512680488940397
strict_qc_priority_score,h5_dt_max_to_median_ratio,17,-0.14966662714252105,0.566419317373876,0.14966662714252105
observable_prefix_particle_minus_background_slope,roi_elapsed_to_h5_max_abs_error,72,0.14805775348928535,0.2145399211220624,0.14805775348928535
qc_review_score,h5_dt_max_to_median_ratio,72,0.14744138685556574,0.21647574539932934,0.14744138685556574
qc_evidence_score,roi_elapsed_to_h5_max_abs_error,17,0.14572803169140205,0.5767905237126981,0.14572803169140205
apparent_transport_instability_score,h5_dt_max_to_median_ratio,72,0.1428997379755263,0.23111943381427305,0.1428997379755263
flow_acceleration_mean,h5_dt_max_to_median_ratio,72,0.1397205837594987,0.24177102066806,0.1397205837594987
observable_tail_front_radius2_slope,strict_timebase_fraction,72,0.13788149589456714,0.24808477647241683,0.13788149589456714
curl_q90_source_residual,h5_dt_max_to_median_ratio,72,-0.1363792277977554,0.25332525983749865,0.1363792277977554
abs_radial_flow_q90_source_residual,h5_dt_max_to_median_ratio,72,-0.13527625592688866,0.2572205321274632,0.13527625592688866
observable_prefix_particle_minus_background_slope,strict_timebase_fraction,72,-0.13520418529467265,0.2574764655272673,0.13520418529467265
particle_flow_mag_q90,h5_dt_max_to_median_ratio,72,0.1346274489440259,0.25953076705250505,0.1346274489440259
front_evidence_score,h5_dt_max_to_median_ratio,61,0.13435165130841273,0.3019310935451286,0.13435165130841273
strict_qc_priority_score,roi_elapsed_to_h5_max_abs_error,17,0.13391224533804516,0.6083736880538014,0.13391224533804516
context_fraction,strict_timebase_fraction,72,0.13252794010471455,0.2671027222489358,0.13252794010471455
particle_flow_mag_mean,strict_timebase_fraction,72,-0.12984956409488363,0.27697616167650796,0.12984956409488363
observable_tail_front_radius2_slope,h5_dt_max_to_median_ratio,72,-0.12904770889140604,0.2799788084313824,0.12904770889140604
front_radius2_slope_px2_per_norm_time_source_echem_context_residual,strict_timebase_fraction,53,-0.1288518905808447,0.3578190367157145,0.1288518905808447
observable_tail_contrast_delta,strict_timebase_fraction,72,-0.12717225349498912,0.28708590622427554,0.12717225349498912
transport_source_residual_score,strict_timebase_fraction,72,0.1258335981950419,0.2922310259284177,0.1258335981950419
mask_fraction,strict_timebase_fraction,72,-0.12382661070389994,0.3000577354830804,0.12382661070389994
observable_tail_particle_minus_background_delta,h5_dt_max_to_median_ratio,72,-0.12372749163193127,0.3004477833567185,0.12372749163193127
front_kinetic_concordance_score,strict_timebase_fraction,61,0.11839262012016313,0.36348312818997963,0.11839262012016313
particle_flow_mag_mean,h5_dt_max_to_median_ratio,72,0.11659061482044075,0.3294009127295698,0.11659061482044075
transport_raw_score,strict_timebase_fraction,72,-0.1164630110954111,0.32993415855712505,0.1164630110954111
