feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p
transport_scores,future_any_drop_within_16cycles,cycleNo,128,66,64,0.6977028347996089,0.7449229974873195,0.34227455657238653,7.668421648340602e-05
acquisition_context,future_any_drop_within_16cycles,cycleNo,128,66,64,0.6874389051808407,0.7042602292390219,0.3245050493090488,0.00018623513369996747
transport_plus_physics_plus_timebase,future_any_drop_within_16cycles,cycleNo,128,66,64,0.6867057673509286,0.7521529045886475,0.32323579879023895,0.000198014999319972
transport_plus_physics,future_any_drop_within_16cycles,cycleNo,128,66,64,0.6847507331378299,0.7408788829403954,0.3198511307400793,0.00023289449072097718
transport_plus_timebase,future_any_drop_within_16cycles,cycleNo,128,66,64,0.6737536656891495,0.7360535492401867,0.30081237295793173,0.000560198395906862
physics_family,future_any_drop_within_16cycles,cycleNo,128,66,64,0.604594330400782,0.6332647451299666,0.18107974068353697,0.040802757761241336
physics_plus_timebase,future_any_drop_within_16cycles,cycleNo,128,66,64,0.5982404692082112,0.6291574959831808,0.1700795695205184,0.0549384253075399
timebase_context,future_any_drop_within_16cycles,cycleNo,128,66,64,0.43010752688172044,0.6325655797945442,-0.1210711843434235,0.17340612919848827
physics_residual,future_any_drop_within_16cycles,cycleNo,128,66,64,0.34799608993157377,0.43139837098492373,-0.2631579408999065,0.002689442009712876
transport_scores,future_any_drop_within_16cycles,source_stem,128,66,14,0.6292766373411535,0.7002529537476441,0.22381117481680154,0.011098043550268276
acquisition_context,future_any_drop_within_16cycles,source_stem,128,66,14,0.6089931573802542,0.5524115822455613,0.18869524379639602,0.032916359337974044
transport_plus_physics,future_any_drop_within_16cycles,source_stem,128,66,14,0.5691593352883675,0.6602472974598784,0.11973263227439478,0.17824457071207636
physics_family,future_any_drop_within_16cycles,source_stem,128,66,14,0.49560117302052786,0.5341152803969205,-0.007615503112859032,0.9320104838173937
transport_plus_timebase,future_any_drop_within_16cycles,source_stem,128,66,14,0.4499022482893451,0.4916950921161695,-0.08673211878533897,0.3303188427947466
physics_residual,future_any_drop_within_16cycles,source_stem,128,66,14,0.43695014662756604,0.5000117294829409,-0.10915554461764614,0.22000758580526772
transport_plus_physics_plus_timebase,future_any_drop_within_16cycles,source_stem,128,66,14,0.4310850439882698,0.5067798250936806,-0.11930954876812484,0.17979433896770441
timebase_context,future_any_drop_within_16cycles,source_stem,128,66,14,0.3734115347018573,0.504279014577155,-0.21975918899572544,0.012686542741871816
physics_plus_timebase,future_any_drop_within_16cycles,source_stem,128,66,14,0.3670576735092864,0.4307170371824829,-0.23015742741085074,0.00896002878947236
transport_plus_timebase,future_any_drop_within_8cycles,cycleNo,128,32,64,0.9225260416666666,0.756326758311939,0.6338084050926678,9.757017938125657e-16
transport_plus_physics_plus_timebase,future_any_drop_within_8cycles,cycleNo,128,32,64,0.9205729166666667,0.7544675722934859,0.6308786281816076,1.44603544394812e-15
transport_plus_physics,future_any_drop_within_8cycles,cycleNo,128,32,64,0.8551432291666667,0.6527659616383584,0.5327311016610945,9.622141985039658e-11
physics_plus_timebase,future_any_drop_within_8cycles,cycleNo,128,32,64,0.8333333333333334,0.6471998962806356,0.50001525948759,1.8645044598385016e-09
transport_scores,future_any_drop_within_8cycles,cycleNo,128,32,64,0.8313802083333333,0.6946191620690337,0.49708548257652985,2.3951728148448424e-09
physics_family,future_any_drop_within_8cycles,cycleNo,128,32,64,0.7796223958333333,0.5520566776052183,0.4194463944334373,8.30067639488811e-07
timebase_context,future_any_drop_within_8cycles,cycleNo,128,32,64,0.6354166666666666,0.5090770914805994,0.2040015849415476,0.020903751067295813
acquisition_context,future_any_drop_within_8cycles,cycleNo,128,32,64,0.61328125,0.32347954380638577,0.16992706084148565,0.0551596798777898
physics_residual,future_any_drop_within_8cycles,cycleNo,128,32,64,0.5201822916666666,0.29839406254844725,0.030274361414287673,0.7344341522264164
transport_scores,future_any_drop_within_8cycles,source_stem,128,32,14,0.7981770833333334,0.7487228395374177,0.44727927508850823,1.2031468613684193e-07
transport_plus_physics,future_any_drop_within_8cycles,source_stem,128,32,14,0.7395833333333333,0.5930748086444744,0.3593859677567053,3.097615894816149e-05
transport_plus_timebase,future_any_drop_within_8cycles,source_stem,128,32,14,0.6569010416666666,0.3950320444221677,0.23535874518849448,0.007487742159649605
transport_plus_physics_plus_timebase,future_any_drop_within_8cycles,source_stem,128,32,14,0.6432291666666667,0.35349415780639737,0.2148503068110738,0.01487449330960414
physics_residual,future_any_drop_within_8cycles,source_stem,128,32,14,0.583984375,0.3526849996995255,0.1259804071755842,0.15649000500619456
physics_family,future_any_drop_within_8cycles,source_stem,128,32,14,0.5764973958333334,0.3338435529372987,0.11474959568318716,0.19712951540356674
acquisition_context,future_any_drop_within_8cycles,source_stem,128,32,14,0.5530598958333333,0.2580909554770473,0.07959227275046597,0.37182070224369357
physics_plus_timebase,future_any_drop_within_8cycles,source_stem,128,32,14,0.3662109375,0.19673730054220467,-0.20068971840761668,0.023120809058735255
timebase_context,future_any_drop_within_8cycles,source_stem,128,32,14,0.31640625,0.23212264532298488,-0.27615543486900956,0.0016034079092636325
