x,y,n,spearman_rho,p_value
accepted_centroid_path_px,high_fraction_slope_per_s,52,-0.3699308460684709,0.006949548428305984
mask_instability_score,high_fraction_slope_per_s,52,-0.3529411764705882,0.010275993988481433
accepted_area_fraction_iqr,high_fraction_slope_per_s,52,-0.34133014599163325,0.013271379150720604
accepted_area_fraction_iqr,evidence_score,52,-0.2686319989069571,0.0541541355591435
accepted_area_fraction_iqr,mean_drop_frac,52,-0.2500873835977983,0.07375990368041863
accepted_area_cv,high_fraction_slope_per_s,52,-0.24596602066080422,0.07880137612156171
accepted_area_fraction_iqr,first_last_corr,52,-0.2290617262870315,0.10237786650447293
accepted_area_fraction_iqr,cumulative_abs_first_last,52,0.216255442670537,0.12360516226697268
mask_instability_score,mean_drop_frac,52,-0.2117618452922035,0.13179394347443077
fallback_frame_fraction,first_last_corr,52,0.2099254197489205,0.13525538988335312
accepted_centroid_path_px,mean_drop_frac,52,-0.20946584530154574,0.13613219221463219
fallback_frame_fraction,mean_drop_frac,52,0.2026602080374172,0.1496190557450266
fallback_frame_fraction,evidence_score,52,0.2026602080374172,0.1496190557450266
mask_instability_score,evidence_score,52,-0.18703569154665847,0.18427781029781617
accepted_centroid_path_px,evidence_score,52,-0.17608553774505994,0.21177926950522108
fallback_frame_fraction,cumulative_abs_first_last,52,-0.17260534512689021,0.22109300280028407
accepted_area_cv,evidence_score,52,-0.17149353776374446,0.22412753524238438
accepted_area_fraction_iqr,front_quality_score,52,0.16050542132673096,0.2556748189316941
accepted_area_cv,mean_drop_frac,52,-0.15171261476730843,0.28297935103799693
fallback_frame_fraction,front_radius_slope_r2,52,-0.14461528916036745,0.30636707977446914
fallback_frame_fraction,high_fraction_slope_per_s,52,0.14461528916036745,0.30636707977446914
accepted_area_cv,front_quality_score,52,0.13984461709211984,0.32276611878344247
accepted_area_fraction_iqr,q90_undercoverage_rate_low_rank_dmd,52,0.1396793215454969,0.32334408452028146
accepted_area_cv,cumulative_abs_first_last,52,0.13916161529924015,0.32515850450657147
fallback_frame_fraction,q90_undercoverage_rate_persistence,52,-0.13116016018382837,0.35401478427826105
accepted_area_fraction_iqr,q90_undercoverage_rate_persistence,52,0.12929777273083282,0.36094961886856897
accepted_area_cv,first_last_corr,52,-0.12541620421753608,0.37566635868683246
accepted_area_fraction_iqr,front_radius_slope_r2,52,0.12353794928711687,0.3829147642258215
mask_instability_score,front_quality_score,52,0.1169640570306497,0.40893090409476884
mask_instability_score,first_last_corr,52,-0.11551267822078032,0.41480909884881534
accepted_centroid_path_px,q90_undercoverage_rate_velocity,52,0.11286955543219958,0.4256374420276521
accepted_centroid_path_px,q90_undercoverage_rate_persistence,52,0.10921761166767242,0.4408586939740836
mask_instability_score,q90_undercoverage_rate_persistence,52,0.10861751490026762,0.4433884950905542
accepted_centroid_path_px,first_last_corr,52,-0.10808503372321353,0.4456399700401348
accepted_centroid_path_px,front_quality_score,52,0.10748740715444378,0.4481744025417135
mask_instability_score,q90_undercoverage_rate_velocity,52,0.10723111198509595,0.449263733959365
accepted_area_fraction_iqr,q90_undercoverage_rate_velocity,52,0.10521738218255892,0.4578731768564396
accepted_area_cv,q90_undercoverage_rate_low_rank_dmd,52,0.10255906349094018,0.46937462514916606
mask_instability_score,cumulative_abs_first_last,52,0.1009135148979766,0.4765710938313033
fallback_frame_fraction,q90_undercoverage_rate_velocity,52,-0.09902944992894262,0.48488208178342246
accepted_centroid_path_px,front_radius_slope_r2,52,0.09587637667548876,0.49895944349233634
fallback_frame_fraction,q90_undercoverage_rate_low_rank_dmd,52,-0.08364113230542795,0.5555142253569689
accepted_centroid_path_px,cumulative_abs_first_last,52,0.08341159395543413,0.556603496454851
mask_instability_score,front_radius_slope_r2,52,0.07692307692307693,0.5878046148022048
accepted_area_cv,q90_undercoverage_rate_velocity,52,0.07299770534196671,0.6070528775144874
accepted_area_cv,q90_undercoverage_rate_persistence,52,0.06891880567195051,0.6273377429583136
mask_instability_score,q90_undercoverage_rate_low_rank_dmd,52,0.03876032836624552,0.7849971809991596
accepted_centroid_path_px,q90_undercoverage_rate_low_rank_dmd,52,0.019571505719486456,0.8904660820645988
accepted_area_cv,front_radius_slope_r2,52,0.017501920942542475,0.9019887013141896
fallback_frame_fraction,front_quality_score,52,-0.004665009327753788,0.9738163222615019
