roi_id,cycleNo,frame_index,frame_local_index,candidate_area_px,accepted_area_px,candidate_area_fraction_of_prior,accepted_area_fraction_of_prior,candidate_components,candidate_largest_component_fraction,accepted_components,accepted_largest_component_fraction,candidate_centroid_x,candidate_centroid_y,accepted_centroid_x,accepted_centroid_y,candidate_centroid_jump_from_history_px,fallback_used,fallback_reason,low_area_flag,high_area_flag,fragmented_flag,centroid_jump_flag
cycle58_rank6_obj29,58.0,2761,0,1911.0,1911.0,0.407202216066482,0.407202216066482,1,1.0,1,1.0,52.46520146520147,51.15279958137101,52.46520146520147,51.15279958137101,6.164103371270071,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2770,1,1557.0,1557.0,0.3317707223524398,0.3317707223524398,1,1.0,1,1.0,48.54399486191394,56.549775208734744,48.54399486191394,56.549775208734744,6.671072413639643,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2780,2,1584.0,1584.0,0.33752397187300237,0.33752397187300237,1,1.0,1,1.0,48.635732323232325,56.75189393939394,48.635732323232325,56.75189393939394,3.4505329811797565,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2790,3,1561.0,1561.0,0.33262305561474537,0.33262305561474537,1,1.0,1,1.0,48.52338244714927,56.625240230621394,48.52338244714927,56.625240230621394,0.13534202667402023,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2799,4,1557.0,1557.0,0.3317707223524398,0.3317707223524398,1,1.0,1,1.0,48.65960179833012,56.52215799614643,48.65960179833012,56.52215799614643,0.09557198181405534,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2809,5,1591.0,1591.0,0.33901555508203707,0.33901555508203707,1,1.0,1,1.0,48.50534255185418,57.160276555625394,48.50534255185418,57.160276555625394,0.624270283639502,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2819,6,1892.0,1892.0,0.4031536330705306,0.4031536330705306,1,1.0,1,1.0,52.24630021141649,51.424418604651166,52.24630021141649,51.424418604651166,6.326690916848078,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2828,7,1556.0,1556.0,0.3315576390368634,0.3315576390368634,1,1.0,1,1.0,48.47814910025707,56.67737789203085,48.47814910025707,56.67737789203085,0.20276813592779971,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2838,8,1592.0,1592.0,0.33922863839761347,0.33922863839761347,1,1.0,1,1.0,48.26256281407035,57.165201005025125,48.26256281407035,57.165201005025125,0.663969375456126,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2848,9,1570.0,1570.0,0.33454080545493287,0.33454080545493287,1,1.0,1,1.0,48.607643312101914,56.66815286624204,48.607643312101914,56.66815286624204,0.07584856716107226,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2857,10,1883.0,1883.0,0.40123588323034304,0.40123588323034304,1,1.0,1,1.0,52.319702602230485,51.38077535847052,52.319702602230485,51.38077535847052,6.488381836185347,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2867,11,1581.0,1581.0,0.33688472192627317,0.33688472192627317,1,1.0,1,1.0,48.568627450980394,56.95003162555345,48.568627450980394,56.95003162555345,0.30335106653376065,0,,0,0,0,0
cycle58_rank6_obj29,58.0,2877,12,1576.0,1576.0,0.3358193053483912,0.3358193053483912,1,1.0,1,1.0,48.611040609137056,56.880076142131976,48.611040609137056,56.880076142131976,0.2085722941931894,0,,0,0,0,0
