embedding_row_id,roi_id,cycleNo,source_stem,future_any_drop_within_8cycles,future_any_drop_within_16cycles,signed_optical_loss_axis,front_contraction_axis,rollout_difficulty_axis,echem_degraded_state_axis,combined_loss_mechanism_axis
selected_event_control::cycle156_rank1_obj1,cycle156_rank1_obj1,156.0,18_c2_xN_HighHighCOV_170723,,,-4.503904203489143,,,-0.610469647741969,-2.557186925615556
selected_event_control::cycle156_rank6_obj3,cycle156_rank6_obj3,156.0,18_c2_xN_HighHighCOV_170723,,,-4.1553650249875185,,,-0.610469647741969,-2.3829173363647436
selected_event_control::cycle156_rank8_obj10,cycle156_rank8_obj10,156.0,18_c2_xN_HighHighCOV_170723,,,-4.30293732882835,,,-0.610469647741969,-2.4567034882851595
selected_event_control::cycle156_rank2_obj2,cycle156_rank2_obj2,156.0,18_c2_xN_HighHighCOV_170723,,,-4.631335899535374,,,-0.610469647741969,-2.6209027736386714
selected_event_control::cycle156_rank5_obj4,cycle156_rank5_obj4,156.0,18_c2_xN_HighHighCOV_170723,,,-4.485332178856114,,,-0.610469647741969,-2.547900913299041
selected_event_control::cycle156_rank7_obj27,cycle156_rank7_obj27,156.0,18_c2_xN_HighHighCOV_170723,,,-3.602031628910858,,,-0.610469647741969,-2.1062506383264132
selected_event_control::cycle157_rank1_obj1,cycle157_rank1_obj1,157.0,18_c2_xN_HighHighCOV_170723,,,2.6936964917068984,,,0.5130296391423969,1.6033630654246476
selected_event_control::cycle157_rank4_obj8,cycle157_rank4_obj8,157.0,18_c2_xN_HighHighCOV_170723,,,2.646576253533229,,,0.5130296391423969,1.579802946337813
selected_event_control::cycle157_rank2_obj2,cycle157_rank2_obj2,157.0,18_c2_xN_HighHighCOV_170723,,,2.9232115799083287,,,0.5130296391423969,1.7181206095253627
selected_event_control::cycle157_rank6_obj3,cycle157_rank6_obj3,157.0,18_c2_xN_HighHighCOV_170723,,,2.9463638673731527,,,0.5130296391423969,1.7296967532577747
selected_event_control::cycle158_rank6_obj3,cycle158_rank6_obj3,158.0,18_c2_xN_HighHighCOV_170723,,,-2.5006823717768936,-0.2387480052832846,-0.24336621791271335,0.622555390612052,-0.5900603010902099
selected_event_control::cycle158_rank1_obj2,cycle158_rank1_obj2,158.0,18_c2_xN_HighHighCOV_170723,,,-3.11216837426362,-0.2387480052832846,-0.24336621791271335,0.622555390612052,-0.7429318017118915
selected_event_control::cycle158_rank4_obj8,cycle158_rank4_obj8,158.0,18_c2_xN_HighHighCOV_170723,,,-2.875469175182183,-0.2387480052832846,-0.24336621791271335,0.622555390612052,-0.6837570019415322
selected_event_control::cycle158_rank2_obj1,cycle158_rank2_obj1,158.0,18_c2_xN_HighHighCOV_170723,,,-3.0282491751194374,-0.2387480052832846,-0.24336621791271335,0.622555390612052,-0.7219520019258459
transfer_ranked::cycle40_rank8_obj3,cycle40_rank8_obj3,40.0,5_c2_x10_260623,,,0.25944365492425264,-0.8431770159507443,-0.19188174292322527,-0.5976580465788877,-0.3433182876321511
