event_reference_cycle,cohort_role,n_roi,roi_norm_mean_delta,high_fraction_slope,high_radius2_slope_px2_per_frame,first_last_corr,cumulative_abs_norm_change,temporal_diff_energy,evidence_score
60.0,control,8,0.00047226250171661377,0.0002346830337253131,-0.0758377269857072,0.9201811512544891,0.02507769619114697,0.0001215279307871242,5.37722440775176
60.0,event,6,0.00016263499855995178,0.00018905023351922722,-0.1257015736083105,0.8723452743064062,0.03457163367420435,0.0001294965610820024,5.37722440775176
86.0,control,8,-0.00036693643778562546,0.0003769752394724308,-0.28812880431121535,0.9954632025351366,0.008956961275544018,0.00010327467362003517,12.399287527913966
86.0,event,6,0.00019059330224990845,0.0004367477564376906,-0.005399760501128079,0.9750192889213882,0.016100429619352024,0.00010927393608047471,12.399287527913964
116.0,control,4,-0.001081930473446846,0.0003574648651228949,0.02182485357599478,0.9957381545449139,0.008490985026583076,8.426417116425e-05,12.929917335181958
116.0,event,6,-0.0007337269683678945,0.0005110456395844347,-0.045750308644618674,0.9958732171950221,0.00890040552864472,0.0001027694161166437,12.92991733518196
156.0,control,8,-0.005936353467404842,-0.00013500887562357781,-0.10350522870224449,0.9406894366133377,0.024832792580127716,0.00015897625098659773,4.816527810967591
156.0,event,6,0.030045326178272564,0.0007012258159090095,-0.06231329950400255,0.905977902732351,0.04383582714945078,0.0001456397452178256,4.816527810967591
