cycleNo,source_stem,is_event_cycle,particle_event_count,candidate_rank,preview_png,trace_csv,label,area_ds_px,centroid_y_ds,centroid_x_ds,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,eccentricity,solidity,candidate_score,downsample,high_threshold_from_first_frame,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_mean_slope_per_frame,roi_mean_slope_r2,high_fraction_first,high_fraction_last,high_fraction_slope_per_frame,front_radius_slope_ds_px_per_frame,front_radius_slope_r2,front_radius_monotonic_fraction,apparent_diffusion_proxy_ds_px2_per_frame,front_radius2_slope_r2,front_quality_score
60.0,7_c2_x10_290623,True,1,3,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_60_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_60_7_c2_x10_290623_cand3.csv,6,116,80.87068965517241,200.27586206896552,74,194,88,206,0.7249222576064093,0.8345323741007195,17.698283670993852,4,13624.070556640625,13334.620689655172,13212.137931034482,-122.48275862069022,1.1985755027117686,0.23843438984598841,0.3706896551724138,0.35344827586206895,1.0848163828218763e-05,0.0002752594467809119,0.6768568396840542,0.6451612903225806,0.0004867846454059653,0.6725353420303015,2.4945534720369364
86.0,10_c2_x10_030723,True,3,2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_86_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_86_10_c2_x10_030723_cand2.csv,4,191,42.58638743455497,331.5811518324607,34,323,55,341,0.5592164016001411,0.7701612903225806,20.97714446182087,4,13745.401611328125,14140.649214659687,14132.942408376963,-7.706806282723846,0.8617468096024824,0.08503939055011867,0.33507853403141363,0.3298429319371728,2.5046704237176855e-05,-0.00016040370232596533,0.5428245893496153,0.6129032258064516,-0.000382821207576678,0.5426694936918888,2.1983973088479556
62.0,7_c2_x10_290623,False,0,2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_62_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_62_7_c2_x10_290623_cand2.csv,2,104,28.278846153846153,330.9326923076923,20,327,38,336,0.9308325107422052,0.8888888888888888,18.536789827287276,4,19150.46826171875,17424.615384615383,17412.923076923078,-11.692307692304894,0.6866739674325341,0.0164902810976304,0.41346153846153844,0.4230769230769231,5.3472525644299116e-05,0.00019929578154883012,0.6851130808604106,0.7096774193548387,0.00042300402511996307,0.6845526770989445,2.079343177314194
60.0,7_c2_x10_290623,True,1,1,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_60_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_60_7_c2_x10_290623_cand1.csv,2,104,29.740384615384617,331.24038461538464,22,327,39,337,0.9190238128940872,0.8524590163934426,18.697132277597575,4,18501.1474609375,17419.076923076922,17422.76923076923,3.692307692308532,0.8749251505689644,0.0264152056337289,0.4230769230769231,0.375,-2.6839643071810966e-05,9.68436082862983e-05,0.4067763558179186,0.6774193548387096,0.00020433842244090803,0.40677612426886667,1.990971834925495
62.0,7_c2_x10_290623,False,0,1,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_62_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_62_7_c2_x10_290623_cand1.csv,11,126,254.4920634920635,293.26984126984127,247,287,263,300,0.8542403421910771,0.8456375838926175,18.775129643967396,4,13798.03173828125,13350.095238095239,13529.396825396825,179.30158730158655,0.5555999334277509,0.028301911211590647,0.3412698412698413,0.3492063492063492,2.1226416744828144e-05,-0.0004927792849369983,0.7803581370594694,0.41935483870967744,-0.0010294590858875988,0.7753209069709159,1.9750338827400629
86.0,10_c2_x10_030723,True,3,5,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_86_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_86_10_c2_x10_030723_cand5.csv,6,168,47.92857142857143,416.80357142857144,40,407,55,429,0.9056782175594738,0.7088607594936709,19.39260182287597,4,12441.076416015625,12547.809523809523,12570.666666666666,22.857142857143117,0.7183954083994171,0.09245268762534109,0.3273809523809524,0.31547619047619047,1.0929867658993913e-05,0.0003388017272377182,0.45857681755603075,0.5483870967741935,0.000766356757609095,0.4537030822140212,1.9606669965442456
86.0,10_c2_x10_030723,True,3,6,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_86_10_c2_x10_030723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_86_10_c2_x10_030723_cand6.csv,7,150,56.02,139.38666666666666,51,127,62,149,0.8739756944761317,0.7853403141361257,18.209440500787828,4,13016.732421875,12847.36,12823.466666666667,-23.89333333333343,0.6545071336147326,0.09076891577867796,0.26,0.26666666666666666,2.784039844967342e-05,-0.00021604781499874335,0.42287465094260623,0.5161290322580645,-0.0005389950635360297,0.4191335432944091,1.8581372264950797
156.0,18_c2_xN_HighHighCOV_170723,True,1,7,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_156_18_c2_xN_HighHighCOV_170723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_156_18_c2_xN_HighHighCOV_170723_cand7.csv,12,114,214.8684210526316,313.7631578947368,209,303,220,325,0.9249771586702928,0.6627906976744186,16.269611088744362,4,13226.602294921875,12496.280701754386,13471.438596491229,975.1578947368434,-0.19993151696613476,0.03766802218760268,0.32456140350877194,0.37719298245614036,-2.1857055737898395e-05,0.0002016659275431033,0.28293578444645473,0.6129032258064516,0.0003611010573530089,0.2709698736400573,1.6668088838929638
58.0,7_c2_x10_290623,False,0,6,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_58_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_58_7_c2_x10_290623_cand6.csv,10,131,211.19847328244273,309.60305343511453,206,301,217,321,0.8728495669374912,0.7660818713450293,15.739031047161436,4,11964.46044921875,11614.778625954199,11630.900763358779,16.122137404579917,0.11477444034820995,0.16993197625116319,0.32061068702290074,0.3282442748091603,2.891154488789386e-05,0.00020200101574386795,0.5355133694368999,0.5483870967741935,0.00034928054025853907,0.5316272645618885,1.6155277307729818
156.0,18_c2_xN_HighHighCOV_170723,True,1,8,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_156_18_c2_xN_HighHighCOV_170723_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_156_18_c2_xN_HighHighCOV_170723_cand8.csv,17,97,283.6185567010309,312.11340206185565,277,307,291,319,0.8218744059871418,0.9238095238095239,16.006604711786597,4,13429.163696289062,12712.247422680412,17297.81443298969,4585.567010309278,0.8391157126567363,0.1004399138706853,0.31958762886597936,0.4742268041237113,2.9264177494592415e-05,0.00010036054205139602,0.2168786212239604,0.6451612903225806,0.00013453645462283044,0.2176075102704954,1.5796474218170364
