cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,pre_event_sampling_rank,object_candidate_rank,validation_score,validation_label,cohort_role,event_relative_bin,selection_reason,cycles_to_next_event,cycles_since_prev_event,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,future_event_within_32cycles,past_event_within_16cycles,any_abrupt_drop,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
100,11_c2_x10_050723,5,7,7,2,24.28248417017058,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,post_event_1_16,16.0,14.0,True,0,1,1,1,0,834.3111111111111,94.22222222222223,208.57777777777778,23.555555555555557,45,12717.9267578125,27.739179611206055,4510,5412,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_100_pre7_11_c2_x10_050723_local5.png
100,11_c2_x10_050723,5,7,7,1,23.335890706615764,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,post_event_1_16,16.0,14.0,True,0,1,1,1,0,1342.2222222222222,204.22222222222223,335.55555555555554,51.05555555555556,108,8197.46484375,20.41080665588379,4510,5412,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_100_pre7_11_c2_x10_050723_local5.png
102,11_c2_x10_050723,7,8,8,1,24.327869033330572,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,14.0,16.0,True,0,1,1,1,0,834.3111111111111,93.77777777777777,208.57777777777778,23.444444444444443,45,12752.44140625,27.896915435791016,6314,7216,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_102_pre8_11_c2_x10_050723_local7.png
102,11_c2_x10_050723,7,8,8,2,22.599671263050322,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,14.0,16.0,True,0,1,1,1,0,1337.7518248175184,199.94160583941607,334.4379562043796,49.98540145985402,137,6112.04638671875,17.030691146850586,6314,7216,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_102_pre8_11_c2_x10_050723_local7.png
104,11_c2_x10_050723,9,9,9,2,24.37434705398142,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,mid_pre_event_9_16,mid_pre_event_9_16,12.0,18.0,True,0,1,1,0,0,834.3111111111111,93.77777777777777,208.57777777777778,23.444444444444443,45,12765.328125,27.745155334472656,8118,9020,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_104_pre9_11_c2_x10_050723_local9.png
104,11_c2_x10_050723,9,9,9,1,23.914457040802272,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,mid_pre_event_9_16,mid_pre_event_9_16,12.0,18.0,True,0,1,1,0,0,1342.125,203.375,335.53125,50.84375,96,9298.2919921875,22.527719497680664,8118,9020,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_104_pre9_11_c2_x10_050723_local9.png
106,12_c2_x10_070723,1,10,10,2,23.87471907906338,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,mid_pre_event_9_16,mid_pre_event_9_16,10.0,20.0,False,0,1,1,0,0,1664.225352112676,223.2112676056338,416.056338028169,55.80281690140845,71,10313.61328125,22.96823501586914,904,1808,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_106_pre10_12_c2_x10_070723_local1.png
106,12_c2_x10_070723,1,10,10,1,23.629607198020047,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,mid_pre_event_9_16,mid_pre_event_9_16,10.0,20.0,False,0,1,1,0,0,1341.0181818181818,198.21818181818182,335.25454545454545,49.554545454545455,110,8347.205078125,19.803709030151367,904,1808,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_106_pre10_12_c2_x10_070723_local1.png
108,12_c2_x10_070723,3,11,11,2,23.55256855416359,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,near_pre_event_1_8,source_fill,8.0,22.0,True,1,1,1,0,0,1665.6533333333334,226.02666666666667,416.41333333333336,56.50666666666667,75,9762.6484375,21.804306030273438,2712,3616,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_108_pre11_12_c2_x10_070723_local3.png
108,12_c2_x10_070723,3,11,11,1,23.272265275644223,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,near_pre_event_1_8,source_fill,8.0,22.0,True,1,1,1,0,0,1344.7118644067796,206.23728813559322,336.1779661016949,51.559322033898304,118,7579.54248046875,18.480348587036133,2712,3616,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_108_pre11_12_c2_x10_070723_local3.png
110,12_c2_x10_070723,5,12,12,2,23.988204537386228,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,near_pre_event_1_8,near_pre_event_1_8,6.0,24.0,True,1,1,1,0,0,839.8367346938776,97.38775510204081,209.9591836734694,24.346938775510203,49,11246.7548828125,25.28079605102539,4521,5425,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_110_pre12_12_c2_x10_070723_local5.png
