source_stem,n_candidates,median_visual_sanity_score,n_reviewable,n_near_pre
17_c2_x10_HighHighCOV_150723,8,0.541347460387692,1,8
9_c2_x10_010723,5,0.6976462087112713,4,5
6_c2_x10_270623_2,4,0.631703387221993,3,3
7_c2_x10_290623,2,0.595953623511229,1,2
14_c2_x10_HighCOV_110723,2,0.5250218891013549,0,0
12_c2_x10_070723,1,0.590322939806,0,1
2_c2_x14_200623,1,0.5864394254675425,0,0
15_c2_x5_HighCOV_120723,1,0.5720210634461006,0,0
