k,silhouette,min_cluster_size,max_cluster_size,inertia
2,0.11007885741509328,60,68,3684.322503125584
3,,1,77,3392.535919552873
4,,1,65,3121.0715481140905
5,,1,69,2945.9856181607943
6,,1,36,2770.232632920346
