mode,n_roi,n_cycles,n_sources,near_pre_fraction,mid_pre_fraction,far_pre_fraction,post_event_fraction,control_fraction,median_cycles_to_next_event,median_pre_event_clock_closer,top_loading_features,top_loading_z,mode_label
0,60,54,14,0.26666666666666666,0.15,0.18333333333333332,0.3,0.1,17.0,-10.0,temporal_energy_mean;frame_diff_abs_mean;mask_base_area_fraction;front_radius_q60_median_px;mask_area_fraction_median;temporal_energy_p95,0.766;0.732;0.514;0.469;0.447;0.436,front_geometry_mask_contrast_video_heterogeneity
1,68,58,14,0.23529411764705882,0.19117647058823528,0.16176470588235295,0.3235294117647059,0.08823529411764706,16.0,-12.0,temporal_energy_mean;frame_diff_abs_mean;front_radius_q70_slope_px_per_norm_time;mask_base_area_fraction;front_radius_q60_median_px;mask_area_fraction_median,0.676;0.646;0.564;0.454;0.414;0.395,front_geometry_mask_contrast_video_heterogeneity
