feature,raw_source_eta2,residual_source_eta2
temporal_energy_p95,0.8374275676480234,1.3883815376244911e-32
mask_centroid_path_px,0.7648575103265738,5.166141469816707e-32
mask_centroid_max_step_px,0.7553858029701687,3.5021997566846926e-32
frame_diff_mse_mean,0.7541983734421749,3.288304896354527e-33
temporal_energy_mean,0.7281690036904103,1.566178043106527e-31
frame_diff_mse_p95,0.6648823276962966,1.1700609501302524e-32
frame_diff_abs_mean,0.6168376064037338,1.4794432606440277e-31
masked_minus_background_mean_slope,0.5781004525786195,4.984064462459731e-33
spatial_std_slope,0.5721075421394747,1.3520889785073497e-32
masked_minus_background_mean_median,0.43670484472087534,3.0822746380990503e-30
frame_diff_mse_slope,0.40709605393744575,1.927854270040395e-33
mask_area_fraction_iqr,0.3839107963796472,1.986386695296688e-32
mask_area_fraction_slope,0.3709568317727134,1.544281629907837e-33
front_radius_q70_positive_step_fraction,0.36398625429553283,9.9401611149228e-33
front_radius_q70_slope_px_per_norm_time,0.3379626708409469,2.8872900991430222e-33
mask_area_fraction_median,0.29077556614059247,4.675779742438587e-31
temporal_energy_late_minus_early,0.28233130688118036,2.381729238620391e-33
front_radius_q60_slope_px_per_norm_time,0.2812613722951844,1.8383473298731184e-33
spatial_std_mean,0.27212879085565306,1.6500116744428836e-30
front_gradient_peak_radius_median_px,0.25372647451269464,9.771833214225567e-33
mask_base_area_fraction,0.21608411441791764,5.605480752452472e-31
apparent_diffusion_q70_px2_per_norm_time,0.20786015276907482,1.662251873572738e-33
apparent_diffusion_q70_um2_per_norm_time,0.20786015276907463,3.277621428091369e-33
front_radius_q60_delta_px,0.19692374664441703,1.6097856765574955e-33
front_gradient_peak_radius_slope_px_per_norm_time,0.1932607245506234,2.4913504964176567e-33
front_radius_q60_median_px,0.18916582859938572,5.013778355353885e-33
front_radius_q70_median_px,0.18852166145600718,4.493758802926673e-33
front_radius_q80_median_px,0.18760524310145266,4.3206642759263126e-33
mask_centroid_drift_px,0.1618456126623724,9.127648809003947e-33
front_radius_q80_slope_px_per_norm_time,0.15336694105565868,1.6856684996277742e-33
front_radius_q70_delta_px,0.11678601772059717,5.203567976391899e-34
front_radius_q80_delta_px,0.08729908603844944,2.9055650284383496e-34
