mode,mode_rank,roi_id,cycleNo,source_stem,event_relative_bin,cycles_to_next_event,cycles_since_prev_event,distance_to_mode_center
0,1,source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,post_event_1_16,24.0,6.0,2.356255546188438
0,2,source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,58.0,7_c2_x10_290623,near_pre_event_1_8,2.0,,2.87253683645136
0,3,source_balanced_cycle56_rank51_obj1_7_c2_x10_290623,56.0,7_c2_x10_290623,near_pre_event_1_8,4.0,,2.8806999959146045
0,4,source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,post_event_1_16,28.0,2.0,2.966617590598913
1,1,source_balanced_cycle48_rank47_obj1_6_c2_x10_270623_2,48.0,6_c2_x10_270623_2,mid_pre_event_9_16,12.0,,1.9540382812786259
1,2,source_balanced_cycle50_rank48_obj1_6_c2_x10_270623_2,50.0,6_c2_x10_270623_2,mid_pre_event_9_16,10.0,,1.9819734102948716
1,3,source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,post_event_1_16,22.0,8.0,2.0870845068937447
1,4,source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2,52.0,6_c2_x10_270623_2,near_pre_event_1_8,8.0,,2.137778969102701
