source_stem,n_rows,median_fallback_fraction,median_iou,median_centroid_jitter_q90_px,median_blur_ratio_q10,near_pre_fraction
10_c2_x10_030723,8,0.6197916666666666,0.9318181818181818,0.2186689410763577,0.0,0.0
17_c2_x10_HighHighCOV_150723,10,0.40625,0.7908584169453734,1.5517127016413625,0.4495577244054253,0.8
12_c2_x10_070723,10,0.39583333333333337,0.7492283950617284,1.266467775747588,0.5301506528870987,0.8
6_c2_x10_270623_2,10,0.3802083333333333,0.8700612310667096,0.6727246678768704,0.5115980070089927,0.4
9_c2_x10_010723,10,0.36979166666666663,0.6576101468624833,1.9066964266378237,0.559276262536101,0.8
11_c2_x10_050723,10,0.3489583333333333,0.8691312492682355,0.5211188078537059,0.5654383947519968,0.0
7_c2_x10_290623,8,0.30729166666666663,0.9002267573696145,0.6049016266973913,0.5548852864875253,0.5
4_c2_x10_240623,10,0.296875,0.8857142857142857,1.0383046081322986,0.584313976898841,0.0
16_c2_x10_HighHighCOV_130723,10,0.25,0.8253325332533253,1.917097730378523,0.5339103045726932,0.0
14_c2_x10_HighCOV_110723,8,0.15104166666666669,0.7739285714285715,1.0528902936458722,0.6876521497777492,0.0
5_c2_x10_260623,10,0.14583333333333331,0.9429700328407224,0.6637709834910221,0.600975985673726,0.0
2_c2_x14_200623,10,0.11458333333333333,0.8711435278336687,0.9420573385162787,0.6449450454945821,0.0
8_c2_x10_300623,10,0.07291666666666667,0.889308176100629,0.34361811989839625,0.756713152931826,0.0
15_c2_x5_HighCOV_120723,4,0.005208333333333333,0.8844506318269436,0.9355574730776299,0.7862891343111645,0.0
