roi_id,cycleNo,source_stem,event_relative_bin,near_pre_flag,future_any_drop_within_8cycles,future_any_drop_within_16cycles,n_frames,history_mask_area_px,manifest_object_area_px,median_history_iou,q10_history_iou,min_history_iou,centroid_jitter_median_px,centroid_jitter_q90_px,blur_ratio_median,blur_ratio_q10,fallback_frame_fraction,fallback_frame_count,history_area_to_manifest_area,transport_mechanism_score,qc_review_score,front_kinetic_score,fallback_frame_fraction_source_residual,centroid_jitter_q90_px_source_residual,blur_ratio_q10_source_residual,median_history_iou_source_residual
source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,152.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,1,1.0,1.0,96,58,58.0,0.7846153846153846,0.6811594202898551,0.5466666666666666,0.36958487166048715,0.9874359353983694,1.1091650454145563,0.7033004302880621,0.03125,3,1.0,0.8915449914037217,0.7591145833333333,0.8769872572815534,-0.375,-0.5642767662429932,0.2537427058826368,-0.006243032329988796
source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,154.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,1,1.0,1.0,96,57,57.0,0.78125,0.6403726708074534,0.5833333333333334,0.4212454881564771,1.028726032340579,0.8495482628455004,0.6627309600865151,0.09375,9,1.0,0.8788794498381878,0.7665364583333334,0.7068719660194174,-0.3125,-0.5229866693007836,0.2131732356810898,-0.0096084169453734
source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,152.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,1,1.0,1.0,96,93,93.0,0.8787878787878788,0.576271186440678,0.32857142857142857,0.4094477326403566,1.8135102747729666,0.7679585547365373,0.3665192051390404,0.4583333333333333,44,1.0,0.8503176198422331,0.717578125,0.7524423543689319,0.052083333333333315,0.261797573131604,-0.08303851926638489,0.08792946184250539
source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,154.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,1,1.0,1.0,96,87,86.0,0.5378081542351454,0.43570936639118457,0.4065040650406504,0.9731334673456444,3.0108482964478718,0.5792212393469437,0.38810030107576793,0.625,60,1.0116279069767442,0.8151354545914239,0.6869791666666667,0.8239532766990292,0.21875,1.4591355948065092,-0.06145742332965737,-0.253050262710228
source_balanced_cycle38_rank42_obj2_5_c2_x10_260623,38.0,5_c2_x10_260623,far_pre_event_17_32,0,0.0,0.0,96,170,170.0,0.9484400656814449,0.7,0.642512077294686,0.23211773040642486,0.87328043976276,0.8567405479103736,0.6326794020453526,0.125,12,1.0,0.8068169751213592,0.4734375,0.6874241504854368,-0.020833333333333315,0.2095094562717379,0.03170341637162655,0.00547003284072245
source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,84.0,9_c2_x10_010723,near_pre_event_1_8,1,1.0,1.0,96,62,60.0,0.6052631578947368,0.4878048780487805,0.4523809523809524,1.6342982317998824,2.0160109642848,0.7158332607894309,0.4558767559942449,0.3958333333333333,38,1.0333333333333334,0.8000324256674758,0.70546875,0.7628640776699029,0.026041666666666685,0.1093145376469764,-0.10339950654185609,-0.05234698896774648
source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,151.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,1,1.0,1.0,96,69,68.0,0.8026315789473685,0.691358024691358,0.5930232558139535,0.7128406470304077,1.0728238123590184,0.718886088329367,0.502866794107959,0.4375,42,1.0147058823529411,0.7853588314118123,0.6826822916666667,0.9134405339805826,0.03125,-0.4788888892823442,0.053309069702533685,0.011773162001995074
source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723,124.0,14_c2_x10_HighCOV_110723,post_event_1_16,0,0.0,0.0,96,138,139.0,0.9103448275862069,0.73125,0.6993865030674846,0.2098711488703539,1.6187559662134947,0.7108308597589066,0.36918803026082797,0.4270833333333333,41,0.9928057553956835,0.7478631295509709,0.48828125,0.5479368932038835,0.27604166666666663,0.5658656725676225,-0.3184641195169213,0.13641625615763542
source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,58.0,7_c2_x10_290623,near_pre_event_1_8,1,1.0,1.0,96,159,159.0,0.9156626506024096,0.8596491228070176,0.838150289017341,0.1937474440345862,0.4753110176040347,0.827953753483508,0.5874898153625183,0.20833333333333334,20,1.0,0.743074433656958,0.5697916666666667,0.5753185679611652,-0.09895833333333329,-0.12959060909335662,0.03260452887499299,0.01543589323279504
source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,80.0,9_c2_x10_010723,near_pre_event_1_8,1,1.0,1.0,96,150,151.0,0.8466257668711656,0.6358695652173914,0.601063829787234,0.5937977191709941,1.5464098127449828,0.8180433583362364,0.5606363546363726,0.22916666666666666,22,0.9933774834437086,0.7212847011529125,0.454296875,0.4938106796116505,-0.14062499999999997,-0.3602866138928409,0.0013600921002716593,0.18901562000868233
source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,110.0,12_c2_x10_070723,near_pre_event_1_8,1,1.0,1.0,96,121,121.0,0.890625,0.7794117647058824,0.7163120567375887,0.3424520554562118,1.6770272868984821,0.7009067445354108,0.5122445596867156,0.40625,39,1.0,0.7138599185881878,0.6641927083333333,0.5553094660194174,0.01041666666666663,0.4105595111508942,-0.017906093200383166,0.14139660493827155
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,post_event_1_16,0,0.0,0.0,96,115,115.0,0.893036173960168,0.7692307692307693,0.7424242424242424,0.23694621367557786,0.7778777908315457,0.6336255538369979,0.5007480950134573,0.5104166666666666,49,1.0,0.7099226334951457,0.470703125,0.8009405339805825,0.16145833333333331,0.25675898297783983,-0.06469029973853946,0.023904924691932505
source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,108.0,12_c2_x10_070723,near_pre_event_1_8,1,1.0,1.0,96,76,75.0,0.9113924050632911,0.6413043478260869,0.5894736842105263,0.26338700048692193,0.790647724848804,0.627656017431746,0.5090695085121446,0.5520833333333334,53,1.0133333333333334,0.7074342005461164,0.4953125,0.534814927184466,0.15625,-0.475820050898784,-0.02108114437495412,0.16216401000156266
source_balanced_cycle58_rank52_obj1_7_c2_x10_290623,58.0,7_c2_x10_290623,near_pre_event_1_8,1,1.0,1.0,96,32,36.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.14163943093312997,0.2559875679236715,0.7289927106738041,0.0,0.4479166666666667,43,0.8888888888888888,0.7065039062499999,0.3203125,0.5859375,0.14062500000000006,-0.34891405877371984,-0.5548852864875253,-0.01133786848072571
