roi_id,cycleNo,source_stem,event_relative_bin,near_pre_flag,future_any_drop_within_8cycles,future_any_drop_within_16cycles,n_frames,history_mask_area_px,manifest_object_area_px,median_history_iou,q10_history_iou,min_history_iou,centroid_jitter_median_px,centroid_jitter_q90_px,blur_ratio_median,blur_ratio_q10,fallback_frame_fraction,fallback_frame_count,history_area_to_manifest_area,transport_mechanism_score,qc_review_score,front_kinetic_score,fallback_frame_fraction_source_residual,centroid_jitter_q90_px_source_residual,blur_ratio_q10_source_residual,median_history_iou_source_residual
source_balanced_cycle72_rank58_obj1_8_c2_x10_300623,72.0,8_c2_x10_300623,post_event_1_16,0,0.0,1.0,96,32,33.0,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.10713739108887388,0.10713739108887388,0.0,0.0,0.78125,75,0.9696969696969697,0.4823534208131068,0.42421875,0.6408980582524272,0.7083333333333334,-0.23648072880952237,-0.756713152931826,0.08038879359634077
source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2,52.0,6_c2_x10_270623_2,near_pre_event_1_8,1,1.0,1.0,96,32,33.0,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.10713739108887388,0.10713739108887388,0.106143209974739,0.0,0.75,72,0.9696969696969697,0.4745677209749191,0.6889322916666666,0.6684010922330097,0.3697916666666667,-0.5655872767879965,-0.5115980070089927,0.0996357386302601
source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2,46.0,6_c2_x10_270623_2,mid_pre_event_9_16,0,0.0,1.0,96,69,65.0,0.6144578313253012,0.4486909770920991,0.44086021505376344,0.38307746748025345,0.7447063514020082,0.42905415914165723,0.32848648758931376,0.7395833333333334,71,1.0615384615384615,0.4905363824838187,0.8106770833333333,0.8739684466019417,0.35937500000000006,0.0719816835251379,-0.18311151941967896,-0.25560339974140844
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,post_event_1_16,0,0.0,0.0,96,32,34.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.1470588235294102,0.19730011566174785,0.24858961807105256,0.0,0.7395833333333334,71,0.9411764705882353,0.67037109375,0.2191406249999999,0.4671875,0.11979166666666674,-0.021368825414609854,0.0,0.009358288770053513
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,post_event_1_16,0,0.0,0.0,96,34,37.0,0.868421052631579,0.8205128205128205,0.8205128205128205,0.15726085746508423,0.2735473592674781,0.15329851961652108,0.0,0.7291666666666666,70,0.918918918918919,0.28109375,0.221875,0.4703125,0.109375,0.05487841819112038,0.0,-0.06339712918660279
source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,36.0,5_c2_x10_260623,far_pre_event_17_32,0,0.0,0.0,96,56,55.0,0.5416666666666666,0.44155844155844154,0.4230769230769231,0.6360934496054658,0.8740619005118396,0.4775926776693058,0.333849349215064,0.71875,69,1.018181818181818,0.6340200242718448,0.492578125,0.7848300970873787,0.5729166666666667,0.21029091702081748,-0.267126636458662,-0.4013033661740558
source_balanced_cycle48_rank47_obj2_6_c2_x10_270623_2,48.0,6_c2_x10_270623_2,mid_pre_event_9_16,0,0.0,1.0,96,66,63.0,0.6329113924050633,0.4827586206896552,0.4659090909090909,0.6260107724170192,0.8801804924922264,0.5628967535142739,0.45924059116286553,0.6875,66,1.0476190476190477,0.4097779505461165,0.440625,0.6129399271844661,0.3072916666666667,0.20745582461535605,-0.05235741584612719,-0.2371498386616463
source_balanced_cycle130_rank18_obj2_14_c2_x10_HighCOV_110723,130.0,14_c2_x10_HighCOV_110723,post_event_1_16,0,0.0,0.0,96,68,67.0,0.6981803797468354,0.5340909090909091,0.5168539325842697,0.8141310561046478,1.2573042964625682,0.3786695262754669,0.28022489115445454,0.6770833333333334,65,1.0149253731343284,0.4152209117111651,0.416015625,0.5887742718446601,0.5260416666666667,0.20441400281669608,-0.4074272586232947,-0.07574819168173608
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,post_event_1_16,0,0.0,0.0,96,44,45.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.08461970117626301,0.08461970117626301,0.36225314120956004,0.0,0.6770833333333334,65,0.9777777777777777,0.289375,0.224609375,0.4984375,0.05729166666666674,-0.1340492399000947,0.0,0.04595959595959598
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,post_event_1_16,0,0.0,0.0,96,44,41.0,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.11043152607484655,0.2076754434869108,0.4060163323241903,0.0,0.6354166666666666,61,1.0731707317073171,0.414858161407767,0.33125,0.3069326456310679,0.015625,-0.010993497589446899,0.0,0.0
source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,154.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,1,1.0,1.0,96,87,86.0,0.5378081542351454,0.43570936639118457,0.4065040650406504,0.9731334673456444,3.0108482964478718,0.5792212393469437,0.38810030107576793,0.625,60,1.0116279069767442,0.8151354545914239,0.6869791666666667,0.8239532766990292,0.21875,1.4591355948065092,-0.06145742332965737,-0.253050262710228
source_balanced_cycle66_rank55_obj1_8_c2_x10_300623,66.0,8_c2_x10_300623,post_event_1_16,0,0.0,0.0,96,33,36.0,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.184947812359601,0.2895405675567206,0.24018434972472075,0.0,0.6145833333333334,59,0.9166666666666666,0.5614043537621358,0.4214843749999999,0.5460861650485436,0.5416666666666667,-0.05407755234167566,-0.756713152931826,-0.024443311235764043
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,post_event_1_16,0,0.0,0.0,96,32,30.0,0.9375,0.9375,0.9375,0.13743685418725443,0.188561808316412,0.13996287491305437,0.0,0.6041666666666666,58,1.0666666666666667,0.6130859375,0.230078125,0.5375000000000001,-0.015625,-0.0301071327599457,0.0,0.005681818181818232
source_balanced_cycle114_rank14_obj2_12_c2_x10_070723,114.0,12_c2_x10_070723,near_pre_event_1_8,1,1.0,1.0,96,73,72.0,0.7261904761904762,0.550846488217799,0.5104166666666666,0.45832843665187395,0.855908264596694,0.6145536689213427,0.4938851636263684,0.5625,54,1.0138888888888888,0.3178415124393204,0.33671875,0.2367566747572815,0.16666666666666663,-0.41055951115089395,-0.03626548926073031,-0.023037918871252283
source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,150.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,1,1.0,1.0,96,94,92.0,0.8979591836734694,0.5630252100840336,0.3880597014925373,0.4033806392117303,1.4991788436170486,0.5243242143703539,0.2957023344565098,0.5520833333333334,53,1.0217391304347827,0.5769375758495146,0.619140625,0.7025940533980584,0.14583333333333337,-0.052533858024313984,-0.1538553899489155,0.10710076672809599
source_balanced_cycle98_rank6_obj1_11_c2_x10_050723,98.0,11_c2_x10_050723,post_event_1_16,0,0.0,0.0,96,102,103.0,0.8468468468468469,0.7372881355932204,0.6942148760330579,0.46689614656409145,0.8082992527766348,0.6247015356741135,0.5502639346429814,0.5520833333333334,53,0.9902912621359223,0.5606496510922331,0.40234375,0.5133798543689321,0.20312500000000006,0.28718044492292893,-0.015174460109015353,-0.022284402421388627
source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,108.0,12_c2_x10_070723,near_pre_event_1_8,1,1.0,1.0,96,76,75.0,0.9113924050632911,0.6413043478260869,0.5894736842105263,0.26338700048692193,0.790647724848804,0.627656017431746,0.5090695085121446,0.5520833333333334,53,1.0133333333333334,0.7074342005461164,0.4953125,0.534814927184466,0.15625,-0.475820050898784,-0.02108114437495412,0.16216401000156266
source_balanced_cycle106_rank10_obj2_12_c2_x10_070723,106.0,12_c2_x10_070723,mid_pre_event_9_16,0,0.0,1.0,96,71,71.0,0.7317073170731707,0.6136363636363636,0.5604395604395604,0.9654291890191531,1.7773844315667557,0.6407877709482187,0.5562953802669242,0.5416666666666666,52,1.0,0.4266849969660194,0.3421875,0.3284587378640776,0.14583333333333326,0.5109166558191678,0.026144727379825428,-0.01752107798855773
source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,56.0,7_c2_x10_290623,near_pre_event_1_8,1,1.0,1.0,96,33,36.0,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.18446897093193262,0.2790502641137558,0.2868099772304076,0.0,0.5416666666666666,52,0.9166666666666666,0.3986482984425565,0.7247395833333333,0.7304004854368931,0.234375,-0.32585136258363556,-0.5548852864875253,-0.03536189250474964
source_balanced_cycle143_rank23_obj1_16_c2_x10_HighHighCOV_130723,143.0,16_c2_x10_HighHighCOV_130723,mid_pre_event_9_16,0,0.0,1.0,96,91,90.0,0.8953399122807018,0.5470085470085471,0.49586776859504134,0.41651733770496546,2.8738451908510925,0.6037592768120175,0.35234467782683054,0.53125,51,1.011111111111111,0.2643181128640777,0.361328125,0.4013349514563107,0.28125,0.9567474604725694,-0.18156562674586263,0.07000737902737642
source_balanced_cycle100_rank7_obj1_11_c2_x10_050723,100.0,11_c2_x10_050723,post_event_1_16,0,0.0,1.0,96,109,108.0,0.8547008547008547,0.7642276422764228,0.736,0.37137515931963905,0.4898695279894918,0.63970850221107,0.5321003699696765,0.5208333333333334,50,1.0092592592592593,0.5182797330097088,0.35859375,0.516868932038835,0.17187500000000006,-0.031249279864214108,-0.033338024782320286,-0.014430394567380822
source_balanced_cycle32_rank39_obj2_4_c2_x10_240623,32.0,4_c2_x10_240623,far_pre_event_17_32,0,0.0,0.0,96,40,38.0,0.8571428571428571,0.813953488372093,0.813953488372093,0.2120413497377881,0.35048858810485506,0.6397387370634775,0.0,0.5208333333333334,50,1.0526315789473684,0.3730197587985436,0.36953125,0.4640321601941747,0.22395833333333337,-0.6878160200274436,-0.584313976898841,-0.02857142857142858
source_balanced_cycle144_rank24_obj2_16_c2_x10_HighHighCOV_130723,144.0,16_c2_x10_HighHighCOV_130723,mid_pre_event_9_16,0,0.0,1.0,96,93,91.0,0.8585858585858586,0.5462184873949579,0.472,0.5837359138249192,2.8451076350388114,0.6477250953258491,0.4243724238092007,0.5104166666666666,49,1.021978021978022,0.2223947587985436,0.3531249999999999,0.3265321601941747,0.26041666666666663,0.9280099046602883,-0.10953788076349247,0.03325332533253322
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,post_event_1_16,0,0.0,0.0,96,115,115.0,0.893036173960168,0.7692307692307693,0.7424242424242424,0.23694621367557786,0.7778777908315457,0.6336255538369979,0.5007480950134573,0.5104166666666666,49,1.0,0.7099226334951457,0.470703125,0.8009405339805825,0.16145833333333331,0.25675898297783983,-0.06469029973853946,0.023904924691932505
source_balanced_cycle26_rank36_obj1_4_c2_x10_240623,26.0,4_c2_x10_240623,no_near_event_control,0,0.0,0.0,96,32,35.0,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.14708043058552564,0.2432769480846618,0.6022790996478784,0.0,0.5104166666666666,49,0.9142857142857143,0.4930859375,0.24375,0.5750000000000001,0.21354166666666663,-0.7950276600476368,-0.584313976898841,0.02857142857142858
source_balanced_cycle56_rank51_obj1_7_c2_x10_290623,56.0,7_c2_x10_290623,near_pre_event_1_8,1,1.0,1.0,96,106,104.0,0.8421052631578947,0.6935483870967742,0.6666666666666666,0.3570236730351303,1.1084626100152144,0.6497285325601054,0.5548852864875253,0.5,48,1.0192307692307692,0.56111328125,0.309375,0.5328125,0.19270833333333337,0.5035609833178231,0.0,-0.05812149421171986
source_balanced_cycle145_rank25_obj1_16_c2_x10_HighHighCOV_130723,145.0,16_c2_x10_HighHighCOV_130723,mid_pre_event_9_16,0,0.0,1.0,96,92,89.0,0.7920792079207921,0.5210084033613446,0.448,1.1226852423106024,2.9987299298508905,0.6583435246220284,0.4478041114267614,0.4895833333333333,47,1.0337078651685394,0.2605629930218446,0.350390625,0.3598300970873787,0.23958333333333331,1.0816321994723674,-0.08610619314593176,-0.03325332533253322
source_balanced_cycle146_rank26_obj2_17_c2_x10_HighHighCOV_150723,146.0,17_c2_x10_HighHighCOV_150723,mid_pre_event_9_16,0,0.0,1.0,96,104,102.0,0.7835832083958021,0.6094732344503448,0.5488721804511278,0.5917449660214835,2.06426544049427,0.6757455901557636,0.3962486547028916,0.4895833333333333,47,1.0196078431372548,0.2990935983009709,0.4351562499999999,0.5557493932038835,0.08333333333333331,0.5125527388529076,-0.053309069702533685,-0.00727520854957131
source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,108.0,12_c2_x10_070723,near_pre_event_1_8,1,1.0,1.0,96,118,118.0,0.9344262295081968,0.8015267175572519,0.7744360902255639,0.16714477053657198,0.4487526201652111,0.6577863240828377,0.48003866594673705,0.4895833333333333,47,1.0,0.70240234375,0.328515625,0.5578125,0.09374999999999994,-0.8177151555823768,-0.050111986940361675,0.1851978344464683
source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,96.0,11_c2_x10_050723,post_event_1_16,0,0.0,0.0,96,41,42.0,0.9302325581395349,0.8863636363636364,0.8444444444444444,0.19515243918365666,0.34122179614678105,0.6676118937428321,0.24525211452700935,0.4791666666666667,46,0.9761904761904762,0.5552343750000001,0.241015625,0.5515625000000001,0.13020833333333337,-0.17989701170692485,-0.3201862802249874,0.06110130887129939
