feature,timebase_feature,n,spearman_rho,p_value,abs_rho
front_raw_outward_z_mean,strict_timebase_fraction,38,-0.05550360474305853,0.7406648682006015,0.05550360474305853
kinetic_evidence_score,h5_dt_max_to_median_ratio,72,-0.04629237822725903,0.6993956995752822,0.04629237822725903
front_kinetic_product,h5_dt_max_to_median_ratio,61,0.04377261604714827,0.7376529839731645,0.04377261604714827
front_kinetic_product,h5_dt_max_to_median_ratio,61,0.04377261604714827,0.7376529839731645,0.04377261604714827
q55_phase_fraction_slope,roi_elapsed_to_h5_max_abs_error,72,0.037663245355184116,0.7534439284313363,0.037663245355184116
q75_avrami_n,strict_timebase_fraction,72,-0.03748234839852311,0.7545907851854577,0.03748234839852311
front_kinetic_product,roi_elapsed_to_h5_max_abs_error,61,-0.03416399301240841,0.7937952552242676,0.03416399301240841
front_kinetic_product,roi_elapsed_to_h5_max_abs_error,61,-0.03416399301240841,0.7937952552242676,0.03416399301240841
q55_phase_fraction_delta,h5_dt_max_to_median_ratio,72,0.03117517552655636,0.794891815908036,0.03117517552655636
q65_phase_fraction_slope,h5_dt_max_to_median_ratio,72,-0.030688570289409276,0.7980249572600182,0.030688570289409276
q75_phase_fraction_slope,h5_dt_max_to_median_ratio,72,0.029877561560830813,0.8032539165102202,0.029877561560830813
front_kinetic_concordance_score,h5_dt_max_to_median_ratio,61,0.01577436469535275,0.903960017765705,0.01577436469535275
q75_avrami_n,h5_dt_max_to_median_ratio,72,-0.010932397661237768,0.9273784463387612,0.010932397661237768
masked_minus_bg_slope,h5_dt_max_to_median_ratio,72,-0.002854750724596212,0.9810125709791532,0.002854750724596212
