feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p
front_plus_kinetic_plus_timebase,near_vs_any_non_near,cycleNo,128,32,64,0.7981770833333334,0.6613032260170015,0.44727927508850823,1.2031468613684193e-07
kinetic_family,near_vs_any_non_near,cycleNo,128,32,64,0.7783203125,0.6055529986097764,0.41749320982606386,9.445113703698554e-07
front_plus_kinetic_plus_qc,near_vs_any_non_near,cycleNo,128,32,64,0.7516276041666666,0.6292136751067756,0.3774529253749092,1.1226470398503287e-05
front_plus_kinetic,near_vs_any_non_near,cycleNo,128,32,64,0.7327473958333333,0.5678090264565024,0.34913174856799495,5.3660994811834436e-05
concordance_score,near_vs_any_non_near,cycleNo,128,32,64,0.708984375,0.47541414079296607,0.3134865779572708,0.00031436215806497576
timebase_context,near_vs_any_non_near,cycleNo,128,32,64,0.6354166666666667,0.5019845461291255,0.20512461416817743,0.020194736090604362
acquisition_context,near_vs_any_non_near,cycleNo,128,32,64,0.6064453125,0.30663607192666775,0.1596728416527753,0.07180699120677919
qc_family,near_vs_any_non_near,cycleNo,128,32,64,0.5804036458333333,0.5898877362206855,0.1424000390811358,0.10883516703620749
front_family,near_vs_any_non_near,cycleNo,128,32,64,0.4124348958333333,0.21267222513891226,-0.13135185275779723,0.1394319439486555
kinetic_family,near_vs_any_non_near,source_stem,128,32,14,0.7591145833333333,0.6005256011616615,0.38868373686730623,5.79049063143784e-06
front_plus_kinetic_plus_qc,near_vs_any_non_near,source_stem,128,32,14,0.71875,0.6466405424222543,0.32813501403873085,0.00015604009265825342
front_plus_kinetic,near_vs_any_non_near,source_stem,128,32,14,0.7047526041666666,0.5618956753419557,0.3071382795094669,0.0004212210806863186
concordance_score,near_vs_any_non_near,source_stem,128,32,14,0.6897786458333333,0.43773786621699234,0.28469742896017197,0.0011257214445987312
qc_family,near_vs_any_non_near,source_stem,128,32,14,0.61474609375,0.6255026432174365,0.17369169025363754,0.04990814878803797
front_plus_kinetic_plus_timebase,near_vs_any_non_near,source_stem,128,32,14,0.5065104166666666,0.2796461597598163,0.009765923036866991,0.9128792550451597
acquisition_context,near_vs_any_non_near,source_stem,128,32,14,0.43294270833333337,0.21422460276208083,-0.10058900727973001,0.2585862801986068
timebase_context,near_vs_any_non_near,source_stem,128,32,14,0.31640625,0.23212264532298488,-0.27615543486900956,0.0016034079092636325
front_family,near_vs_any_non_near,source_stem,128,32,14,0.2522786458333333,0.17139878647526902,-0.37162048617271165,1.568300351836945e-05
front_plus_kinetic_plus_timebase,near_vs_far_pre,cycleNo,54,32,27,0.9289772727272727,0.9426757667535683,0.7302842878767151,3.682917473120541e-10
timebase_context,near_vs_far_pre,cycleNo,54,32,27,0.8863636363636364,0.9365079365079365,0.6601976319862622,5.602067326455528e-08
acquisition_context,near_vs_far_pre,cycleNo,54,32,27,0.75,0.8370613297436802,0.4255961412791452,0.0013349818831946796
concordance_score,near_vs_far_pre,cycleNo,54,32,27,0.7357954545454545,0.7744686740830449,0.40141454234283,0.002626286057095807
kinetic_family,near_vs_far_pre,cycleNo,54,32,27,0.7102272727272727,0.7797876206508898,0.35788766425746293,0.007883310751081604
front_plus_kinetic_plus_qc,near_vs_far_pre,cycleNo,54,32,27,0.6690340909090908,0.7152790401398129,0.28776102734214926,0.03486015614732399
front_plus_kinetic,near_vs_far_pre,cycleNo,54,32,27,0.6505681818181819,0.6954884143990159,0.2563249487249397,0.061357151346645974
qc_family,near_vs_far_pre,cycleNo,54,32,27,0.44886363636363635,0.7233586116616868,-0.08941083614614678,0.5202574215710996
