center_cycle,feature,window_cycles,n_pre,n_post,n_current,median_pre,median_current,median_post,post_minus_pre,post_minus_pre_iqr_scaled,current_minus_pre,abs_scaled_shift,feature_scale_iqr_or_std,rank_abs_shift_desc,percentile_abs_shift
116.0,n_frames_rolling5_slope,8,4,3,1,0.3499999999999892,-0.9999999999999534,25.960674157303334,25.610674157303343,19.70051858254045,-1.3499999999999426,19.70051858254045,1.3000000000000385,8.0,0.9113924050632911
116.0,n_frames_rolling5_slope,12,6,7,1,0.3499999999999892,-0.9999999999999534,25.960674157303334,25.610674157303343,19.70051858254045,-1.3499999999999426,19.70051858254045,1.3000000000000385,5.0,0.9493670886075949
116.0,all_dq_abs_highV_frac_rolling5_slope,8,4,3,1,0.004956864809406735,0.014362352985860158,-0.00012359894490694695,-0.005080463754313682,-14.281933690936551,0.009405488176453421,14.281933690936551,0.00035572660287155596,14.0,0.821917808219178
116.0,charge_capacity_mAh_rolling5_slope,8,4,3,1,0.01006994919102911,0.030852320345367886,-0.0006824571351504813,-0.010752406326179593,-11.786502792448,0.020782371154338775,11.786502792448,0.0009122643514808323,8.0,0.9041095890410958
116.0,capacity_mAh_rolling5_slope,8,4,3,1,0.010293767278429395,0.03011489164958118,-0.0006274957642913184,-0.010921263042720713,-11.182916681113399,0.019821124371151785,11.182916681113399,0.0009766023796962927,13.0,0.8356164383561644
116.0,discharge_capacity_mAh_rolling5_slope,8,4,3,1,0.010293767278429395,0.03011489164958118,-0.0006274957642913184,-0.010921263042720713,-11.182916681113399,0.019821124371151785,11.182916681113399,0.0009766023796962927,13.0,0.8356164383561644
116.0,all_dq_abs_highV_frac_rolling5_slope,12,6,7,1,0.00014023663657163326,0.014362352985860158,0.0038933888077832554,0.003753152171211622,10.550664867105237,0.014222116349288525,10.550664867105237,0.00035572660287155596,20.0,0.7397260273972602
116.0,all_dq_abs_total_mAh_rolling5_slope,8,4,3,1,0.012222013055119128,0.03650318816717964,-0.0011604595441633112,-0.013382472599282439,-9.709956272309899,0.02428117511206051,9.709956272309899,0.0013782217163475325,13.0,0.8356164383561644
116.0,shape_V_std_rolling5_slope,12,6,7,1,0.0003328873977456263,0.007366423379684189,0.0037246832847803186,0.003391795887034692,6.708464695209622,0.007033535981938563,6.708464695209622,0.0005055994241807227,15.0,0.8082191780821918
116.0,all_dq_abs_midV_frac_rolling5_slope,8,4,3,1,-0.004578285364740492,-0.013159758100505596,-0.00034701790595914345,0.004231267458781348,5.464454287308,-0.008581472735765105,5.464454287308,0.0007743257123788354,14.0,0.821917808219178
