n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95,task,target,feature_set,observed_roc_auc
1000,0.000999000999000999,0.4994837962962963,0.6057484567901235,classification,future_any_drop_within_8cycles,learned_latent,0.8287037037037037
1000,0.000999000999000999,0.4989027777777778,0.6081018518518518,classification,future_any_drop_within_8cycles,learned_all,0.8487654320987654
1000,0.000999000999000999,0.4970007716049383,0.6089120370370369,classification,future_any_drop_within_8cycles,handcrafted_scalar,0.8279320987654321
1000,0.16983016983016982,0.5010655864197531,0.6196373456790123,classification,future_any_drop_within_8cycles,pca_video,0.5694444444444444
1000,0.000999000999000999,0.4975038580246913,0.606520061728395,classification,future_any_drop_within_8cycles,learned_plus_handcrafted,0.8425925925925926
1000,0.14385614385614387,0.5001076023391813,0.6340350877192982,classification,future_any_drop_within_16cycles,learned_latent,0.5929824561403509
1000,0.32967032967032966,0.4981719298245614,0.6409356725146199,classification,future_any_drop_within_16cycles,learned_all,0.5380116959064327
1000,0.01898101898101898,0.4987029239766082,0.6445029239766081,classification,future_any_drop_within_16cycles,handcrafted_scalar,0.67953216374269
1000,0.4355644355644356,0.49788304093567254,0.6339181286549707,classification,future_any_drop_within_16cycles,pca_video,0.512280701754386
1000,0.12387612387612387,0.5001461988304093,0.6492397660818713,classification,future_any_drop_within_16cycles,learned_plus_handcrafted,0.6011695906432749
