epoch,train_loss,val_loss
1,0.0011602030488652513,0.0005712457932531834
2,0.00048284922253360297,0.0004845057555940002
3,0.00042616014685878097,0.00045188725925982
4,0.00040523470949104174,0.00044173700734972954
5,0.00039943122457306674,0.0004397928132675588
6,0.00039872447489463586,0.00043956737499684095
7,0.0004031530632810826,0.00043870805529877543
8,0.0003964293706651896,0.0004380680911708623
9,0.0003997050205609722,0.0004378693120088428
10,0.0003970844452541837,0.00043774922960437834
11,0.00040129370067238886,0.00043784177978523076
12,0.0003980051093249324,0.00043746348819695413
13,0.00039953105071153334,0.0004373242554720491
14,0.0003976869063100163,0.00043771814671345055
