embedding_row_id,roi_id,embedding_cohort,cycleNo,source_stem,cohort_role,selection_subrole,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,transferred_masked_residual_signature,learned_residual_mse_mean,learned_residual_mse_first,learned_residual_mse_last,learned_residual_mse_last_minus_first,learned_residual_mse_slope,zero_residual_mse_mean,learned_vs_zero_residual_mse_delta,learned_vs_zero_residual_mse_relative,true_residual_energy_mean,true_residual_energy_slope,pred_residual_energy_mean,pred_residual_energy_slope,learned_latent_ch01_mean,learned_latent_ch01_std,learned_latent_ch01_slope,learned_latent_ch01_last_minus_first,learned_latent_ch02_mean,learned_latent_ch02_std,learned_latent_ch02_slope,learned_latent_ch02_last_minus_first,learned_latent_ch03_mean,learned_latent_ch03_std,learned_latent_ch03_slope,learned_latent_ch03_last_minus_first,learned_latent_ch04_mean,learned_latent_ch04_std,learned_latent_ch04_slope,learned_latent_ch04_last_minus_first,learned_latent_ch05_mean,learned_latent_ch05_std,learned_latent_ch05_slope,learned_latent_ch05_last_minus_first,learned_latent_ch06_mean,learned_latent_ch06_std,learned_latent_ch06_slope,learned_latent_ch06_last_minus_first,learned_latent_ch07_mean,learned_latent_ch07_std,learned_latent_ch07_slope,learned_latent_ch07_last_minus_first,learned_latent_ch08_mean,learned_latent_ch08_std,learned_latent_ch08_slope,learned_latent_ch08_last_minus_first,learned_latent_ch09_mean,learned_latent_ch09_std,learned_latent_ch09_slope,learned_latent_ch09_last_minus_first,learned_latent_ch10_mean,learned_latent_ch10_std,learned_latent_ch10_slope,learned_latent_ch10_last_minus_first,learned_latent_ch11_mean,learned_latent_ch11_std,learned_latent_ch11_slope,learned_latent_ch11_last_minus_first,learned_latent_ch12_mean,learned_latent_ch12_std,learned_latent_ch12_slope,learned_latent_ch12_last_minus_first,learned_latent_ch13_mean,learned_latent_ch13_std,learned_latent_ch13_slope,learned_latent_ch13_last_minus_first,learned_latent_ch14_mean,learned_latent_ch14_std,learned_latent_ch14_slope,learned_latent_ch14_last_minus_first,learned_latent_ch15_mean,learned_latent_ch15_std,learned_latent_ch15_slope,learned_latent_ch15_last_minus_first,learned_latent_ch16_mean,learned_latent_ch16_std,learned_latent_ch16_slope,learned_latent_ch16_last_minus_first,learned_latent_ch17_mean,learned_latent_ch17_std,learned_latent_ch17_slope,learned_latent_ch17_last_minus_first,learned_latent_ch18_mean,learned_latent_ch18_std,learned_latent_ch18_slope,learned_latent_ch18_last_minus_first,learned_latent_ch19_mean,learned_latent_ch19_std,learned_latent_ch19_slope,learned_latent_ch19_last_minus_first,learned_latent_ch20_mean,learned_latent_ch20_std,learned_latent_ch20_slope,learned_latent_ch20_last_minus_first,learned_latent_ch21_mean,learned_latent_ch21_std,learned_latent_ch21_slope,learned_latent_ch21_last_minus_first,learned_latent_ch22_mean,learned_latent_ch22_std,learned_latent_ch22_slope,learned_latent_ch22_last_minus_first,learned_latent_ch23_mean,learned_latent_ch23_std,learned_latent_ch23_slope,learned_latent_ch23_last_minus_first,learned_latent_ch24_mean,learned_latent_ch24_std,learned_latent_ch24_slope,learned_latent_ch24_last_minus_first,particle_prior_area_fraction,mask_prior_area_px,mask_prior_area_fraction,mask_fallback_frame_fraction,mask_low_area_fraction,mask_high_area_fraction,mask_fragmented_fraction,mask_centroid_jump_fraction,mask_candidate_area_cv,mask_accepted_area_cv,mask_accepted_area_fraction_median,mask_accepted_area_fraction_iqr,mask_accepted_centroid_path_px,mask_accepted_centroid_max_step_px,mask_candidate_centroid_max_jump_px,mask_mask_instability_score,particle_mean_mean,particle_mean_std,particle_mean_slope,particle_mean_first_mean,particle_mean_last_mean,particle_mean_last_minus_first,particle_mean_diff_abs_mean,particle_mean_diff_q10,particle_mean_diff_q90,particle_mean_diff_positive_fraction,particle_std_mean,particle_std_std,particle_std_slope,particle_std_first_mean,particle_std_last_mean,particle_std_last_minus_first,particle_std_diff_abs_mean,particle_std_diff_q10,particle_std_diff_q90,particle_std_diff_positive_fraction,particle_vs_context_mean_mean,particle_vs_context_mean_std,particle_vs_context_mean_slope,particle_vs_context_mean_first_mean,particle_vs_context_mean_last_mean,particle_vs_context_mean_last_minus_first,particle_vs_context_mean_diff_abs_mean,particle_vs_context_mean_diff_q10,particle_vs_context_mean_diff_q90,particle_vs_context_mean_diff_positive_fraction,particle_gradient_mean,particle_gradient_std,particle_gradient_slope,particle_gradient_first_mean,particle_gradient_last_mean,particle_gradient_last_minus_first,particle_gradient_diff_abs_mean,particle_gradient_diff_q10,particle_gradient_diff_q90,particle_gradient_diff_positive_fraction,video_embed_pc01,video_embed_pc02,video_embed_pc03,video_embed_pc04,video_embed_pc05,video_embed_pc06,video_embed_pc07,video_embed_pc08,video_embed_pc09,video_embed_pc10,video_embed_pc11,video_embed_pc12,video_embed_pc13,video_embed_pc14,video_embed_pc15,video_embed_pc16
selected_event_control::cycle58_rank6_obj29,cycle58_rank6_obj29,selected_event_control,58.0,7_c2_x10_290623,,,,,,,0.00029266084311529994,0.00021577974257525057,0.00033925421303138137,0.0001234744704561308,0.00014548753133567524,0.00029186310712248087,-7.977359928190708e-07,-0.002733253873884678,0.00029186310712248087,0.00014608818662389643,8.49211176046083e-07,-1.5294313913584523e-08,-0.07068897038698196,4.5726425014436245e-05,-6.168014993989122e-05,-4.587322473526001e-05,0.04043671116232872,6.031397060723975e-05,0.00010010981020163988,6.233900785446167e-05,0.040777359157800674,2.6526999135967344e-05,1.1134585461663298e-05,3.1478703022003174e-06,0.01286811102181673,3.5401637433096766e-05,4.489847264473428e-05,2.658553421497345e-05,-0.05406991019845009,1.4902033399266656e-05,-1.3733025851488438e-05,-1.1507421731948853e-05,0.04161068797111511,2.166360354749486e-05,5.2586140245483617e-05,3.714859485626221e-05,-0.0441424734890461,8.072933997027576e-05,-2.790852353822159e-05,-1.031532883644104e-05,-0.05921117588877678,3.1279720133170485e-05,-2.1059963775275356e-06,1.7434358596801758e-06,-0.042609140276908875,4.984211773262359e-05,-1.9438166324915113e-05,-6.515532732009888e-06,0.07670895010232925,4.481125870370306e-05,6.28356716221057e-05,4.525482654571533e-05,0.01008146908134222,2.891459735110402e-05,-1.4088296609900601e-05,-4.90434467792511e-06,-0.0815700814127922,3.66447820852045e-05,-6.287316935735563e-05,-4.3004751205444336e-05,-0.039090488106012344,4.024694499094039e-05,8.946229444493843e-06,1.821666955947876e-06,-0.1009238138794899,2.4075050532701425e-05,-2.33025405287353e-05,-1.5690922737121582e-05,-0.10136669874191284,2.9234524845378473e-05,-4.0482230407684146e-05,-2.4974346160888672e-05,-0.08647748082876205,4.16409493482206e-05,-7.491855949321523e-05,-4.7534704208374023e-05,-0.12728063762187958,6.679093348793685e-05,-6.15692553446737e-05,-3.428757190704346e-05,-0.025001073256134987,2.6408344638184644e-05,-4.0277227826588684e-05,-2.9297545552253723e-05,0.00875821802765131,5.9549740399234e-05,-4.994214365988614e-05,-3.8771890103816986e-05,0.36640724539756775,0.00024861644487828016,0.00036996109507158887,0.00026938319206237793,0.05465100333094597,5.735263766837306e-05,-3.489506066077888e-05,-2.880394458770752e-05,0.12331515550613403,8.011452882783487e-05,0.00016604109484817805,0.00010602176189422607,-0.01802077889442444,4.203633579891175e-05,-4.3982411878794715e-05,-3.453157842159271e-05,0.012021403759717941,2.2682574126520194e-05,2.153202970560253e-05,1.1116266250610352e-05,0.5092230902777778,4693.0,0.5092230902777778,0.0,0.0,0.0,0.0,0.0,0.0726599109053404,0.0726599109053404,0.3370978052418495,0.0058065203494566,169.15271723631625,6.925180156881033,6.79926630591663,1.834667382116968,0.1766250397389134,0.0093016257697006,0.007020253323249,0.1688215984031558,0.1737525649368763,0.0049309665337204,0.0009192374191786,-0.001417252421379,0.0011133015155792,0.5578947368421052,0.1698743480568131,0.0032631675223809,0.0032158935845821,0.1669132970273494,0.1692694202065467,0.0023561231791973,0.0003878033474871,-0.0004739314317703,0.00056614279747,0.5578947368421052,0.0931774409643064,0.004588194810553,0.0040739228440083,0.0891343057155609,0.0920101213268935,0.0028758156113326,0.0005229625262712,-0.0009426727890968,0.000728316605091,0.5157894736842106,0.056887600920163,0.0025613155042848,0.0016969371918281,0.0547906592255458,0.0560161086032167,0.0012254493776708,0.00032493162312,-0.0004593066871166,0.0004243992269039,0.5368421052631579,5.4135776,-0.10936719,102.018814,15.0258875,-31.307234,20.069632,0.9992621,-7.4019504,-10.9951,-8.228929,8.50712,0.40654907,0.86690044,-1.8623734,-0.74258816,0.8588549
selected_event_control::cycle58_rank4_obj2,cycle58_rank4_obj2,selected_event_control,58.0,7_c2_x10_290623,,,,,,,0.00013015918375458568,9.627559484215453e-05,0.00014639632718171924,5.012073233956471e-05,5.9247212802323435e-05,0.00012941836030222476,-7.408234523609281e-07,-0.005724253132939339,0.00012941836030222476,5.968105665248775e-05,7.719874020040152e-07,8.780766037082154e-09,-0.07057755440473557,3.263154940214008e-05,-5.195358979339153e-06,-5.37186861038208e-06,0.040843866765499115,2.6466965209692717e-05,6.640666001234185e-06,2.1085143089294434e-06,0.040964677929878235,1.15308384920354e-05,-2.8213625293665054e-06,-3.0100345611572266e-06,0.013004835695028305,1.7378810298396274e-05,2.1884774731607998e-05,1.3083219528198242e-05,-0.05400024726986885,1.8323786207474768e-05,3.4555233534945265e-05,2.3908913135528564e-05,0.04160178452730179,1.1936976079596207e-05,1.1905701350918635e-05,8.847564458847046e-06,-0.044621944427490234,3.9142021705629304e-05,2.3154217807429928e-05,2.026185393333435e-05,-0.05936068296432495,1.51815838762559e-05,3.285414164829086e-05,2.4888664484024048e-05,-0.0430113784968853,1.8178085156250745e-05,2.616439638754726e-05,1.953914761543274e-05,0.07673103362321854,3.137049498036504e-05,-3.0486450828229517e-05,-1.9244849681854248e-05,0.009864418767392635,9.099777344090398e-06,-1.3539807621349278e-05,-8.87364149093628e-06,-0.08171936124563217,1.8063647075905465e-05,8.364822523504229e-06,6.295740604400635e-06,-0.0389280691742897,2.204647898906842e-05,2.4070574412321028e-05,1.4569610357284546e-05,-0.10107147693634033,1.8545801140135154e-05,2.710589390128738e-05,1.8551945686340332e-05,-0.10160276293754578,1.7639076759223826e-05,1.7154712191503432e-05,1.2949109077453613e-05,-0.08676701039075851,1.7523503629490733e-05,1.2538021372748016e-05,1.0341405868530273e-05,-0.12776504456996918,2.9031110898358747e-05,1.7920652999714114e-05,1.6167759895324707e-05,-0.024952435865998268,3.02205571642844e-05,-5.05465606093761e-06,-4.3567270040512085e-06,0.009069215506315231,5.504388172994368e-05,-4.547967253848026e-05,-3.4465454518795013e-05,0.3659825325012207,0.00022608887229580432,-7.794970243259344e-05,-4.5686960220336914e-05,0.055004943162202835,4.4294694816926494e-05,-4.1576522431290147e-05,-3.1694769859313965e-05,0.12377249449491501,4.058826743857935e-05,-2.30645300032441e-05,-1.9915401935577393e-05,-0.01783619076013565,1.9099425117019564e-05,-7.02252985967908e-06,-5.908310413360596e-06,0.012195012532174587,1.637347122596111e-05,3.926726250150963e-05,2.5911256670951843e-05,0.5109592013888888,4709.0,0.5109592013888888,0.0,0.0,0.0,0.0,0.0,0.0403794698029524,0.0403794698029524,0.2824378849012529,0.0166702059885325,133.74763299816334,5.047315658056761,9.912879460183722,1.4335839802004873,0.1279016394012918,0.0067238468617059,0.0050848901473446,0.1222278871573507,0.1257695590611547,0.0035416719038039,0.0005547321156451,-0.0007580280303955,0.0007277905941009,0.5052631578947369,0.1595215513370931,0.0050757880080139,0.0048490984403749,0.1549638723954558,0.158240751363337,0.0032768789678812,0.0006080613324516,-0.0010169982910156,0.000734007358551,0.5789473684210527,0.0657239414285868,0.0035027578249665,0.0031952438491982,0.0626151817850768,0.0648151442874223,0.0021999625023454,0.0003179017650453,-0.0004843637347221,0.0004676043987274,0.5368421052631579,0.0407044617847229,0.0012319615901422,0.0010337436922163,0.0397019224474206,0.0403360766358673,0.0006341541884467,0.0003375558476699,-0.0005645878612995,0.0003871977329254,0.5368421052631579,6.467686,1.7951782,30.62766,-6.786314,7.4991326,1.7273414,16.204645,10.237222,54.16423,25.985945,-4.242988,3.6881819,1.2039443,2.9445791,0.3476204,-0.0075653144
selected_event_control::cycle58_rank1_obj1,cycle58_rank1_obj1,selected_event_control,58.0,7_c2_x10_290623,,,,,,,5.322507058735937e-05,3.982084308518097e-05,5.899579991819337e-05,1.9174956833012402e-05,2.318936951365016e-05,5.242011684458703e-05,-8.049537427723408e-07,-0.015355817042291164,5.242011684458703e-05,2.3987017113157868e-05,8.094382337731076e-07,7.348762515472441e-09,-0.07030821591615677,1.4325958545668982e-05,-3.3079017645050026e-05,-2.3715198040008545e-05,0.0405157171189785,0.00010064279922517017,9.245352013074887e-06,1.2852251529693604e-06,0.04098783805966377,2.2988269847701304e-05,3.6527599525043535e-06,1.4565885066986084e-06,0.013021383434534073,1.6936524843913503e-05,-2.3719173563243226e-05,-1.791398972272873e-05,-0.0537881962954998,1.0925911738013383e-05,-2.946466994812767e-05,-2.0548701286315918e-05,0.04145894944667816,1.3341174962988589e-05,1.6152661908460548e-06,9.462237358093262e-07,-0.04452239349484444,5.354721361072734e-05,-1.0127960176182027e-05,-2.9727816581726074e-06,-0.05914260074496269,2.5554125386406668e-05,-1.093732509954855e-05,-5.297362804412842e-06,-0.04280737414956093,5.8346402511233464e-05,-1.2969398947895604e-05,-5.420297384262085e-06,0.0763344019651413,3.892101449309848e-05,8.197471057781325e-05,5.6803226470947266e-05,0.009938270784914494,4.0519851609133184e-05,3.934739224765968e-05,2.9875896871089935e-05,-0.08142920583486557,5.007176150684245e-05,-4.32944261305853e-05,-2.833455801010132e-05,-0.03882391378283501,1.3801771274302155e-05,-3.829465689348674e-05,-2.7820467948913574e-05,-0.10082510113716125,3.706207644427195e-05,-4.871148788898925e-05,-3.266334533691406e-05,-0.10128853470087051,3.7848200008738786e-05,-4.089475830189462e-05,-2.6702880859375e-05,-0.086418516933918,5.1826995331794024e-05,-4.458457193120301e-05,-2.8401613235473633e-05,-0.12753476202487946,7.673175423406065e-05,-3.287031977762396e-05,-1.8417835235595703e-05,-0.024692663922905922,1.106652052840218e-05,-2.8793859660393564e-05,-2.057291567325592e-05,0.009368251077830791,3.556924275471829e-05,5.046055128931564e-06,1.385807991027832e-06,0.3637070953845978,0.00011456120410002768,0.00025777336325233705,0.00018015503883361816,0.05510575696825981,2.7381307518226095e-05,4.0428535340705284e-05,2.572685480117798e-05,0.1230173110961914,9.331116598332301e-05,8.079793169784783e-05,5.1565468311309814e-05,-0.01779545657336712,8.057682862272486e-06,-1.5367632587795704e-05,-1.1650845408439636e-05,0.01213910523802042,8.863703442330007e-06,8.426552648017168e-06,5.811452865600586e-06,0.55859375,5148.0,0.55859375,0.0,0.0,0.0,0.0,0.0,0.0608381380260278,0.0608381380260278,0.364024864024864,0.0273892773892773,178.582282561893,4.427113920765838,5.410217577409259,1.9210702480457469,0.1023392491042614,0.0054460076096039,0.003028213478548,0.0982314448338002,0.1003456192556768,0.0021141744218766,0.0004441297367999,-0.0008788168430328,0.0005228668451309,0.5789473684210527,0.1705197750901182,0.0093421328040771,0.0078639675738271,0.1629495113156736,0.1683157063089311,0.0053661949932575,0.0007280790492107,-0.001058754324913,0.0008339881896972,0.5473684210526316,0.0511239484961455,0.0037921826101232,0.0027546164958939,0.0480900924885645,0.0499982465989887,0.0019081541104242,0.0002883160584851,-0.0004177287220954,0.0004433944821357,0.4947368421052631,0.0309732792084105,0.0006910937546054,0.0004384103843212,0.0305462097167037,0.0307706088642589,0.0002243991475552,0.0002502868638226,-0.0004331290721893,0.0002926722168922,0.4631578947368421,-3.3226225,4.894129,-0.9411301,0.0668288,3.1862624,0.8693864,2.2989504,0.36001638,0.43097144,-1.240404,0.24774572,0.35457712,-2.0333998,-0.19881664,0.9054482,2.7233284
selected_event_control::cycle58_rank3_obj9,cycle58_rank3_obj9,selected_event_control,58.0,7_c2_x10_290623,,,,,,,0.00013503215450327843,8.311371493618935e-05,0.00015933690883684903,7.622319390065968e-05,8.915879662756772e-05,0.0001342281320830807,-8.040224201977253e-07,-0.0059899697080254555,0.0001342281320830807,8.98651290251445e-05,8.418121524300659e-07,2.732221313288784e-08,-0.07041015475988388,5.044308636570349e-05,-3.299898151115163e-05,-2.6538968086242676e-05,0.040548112243413925,5.215507553657517e-05,-0.00014373265475649052,-9.877979755401611e-05,0.04095620661973953,1.3926272004027851e-05,-3.317840032509265e-05,-2.3670494556427002e-05,0.012915459461510181,2.419041993562132e-05,-4.073880077579922e-05,-2.9249116778373718e-05,-0.05390773341059685,2.613389733596705e-05,-2.2308308074311755e-05,-1.689419150352478e-05,0.04150530695915222,1.625431286811363e-05,-1.3450871116108038e-05,-7.111579179763794e-06,-0.044496193528175354,4.8036377847893164e-05,0.00010252856054179885,7.353723049163818e-05,-0.05919922515749931,1.4594580534321722e-05,1.8473601775215065e-05,1.4677643775939941e-05,-0.042846616357564926,3.269154694862664e-05,8.437387434016788e-05,5.9388577938079834e-05,0.07654372602701187,5.718548709410243e-05,-3.006592508134329e-06,1.5720725059509277e-06,0.01000282634049654,3.401687354198657e-05,8.989063021967435e-05,6.233714520931244e-05,-0.0815487802028656,2.6175261155003682e-05,2.0806644035025563e-05,1.4141201972961426e-05,-0.03892447054386139,3.116911830147728e-05,-4.853525189396488e-05,-3.445148468017578e-05,-0.10093674808740616,2.7203794161323458e-05,1.6429355924869945e-05,1.0147690773010254e-05,-0.10142830014228821,3.267612191848457e-05,2.3401841598000672e-05,1.3917684555053711e-05,-0.08651223033666611,2.6875919502344914e-05,4.2608843098554264e-05,2.8640031814575195e-05,-0.1275705248117447,3.4012027754215524e-05,7.285840194859428e-05,5.301833152770996e-05,-0.024812987074255943,5.0410824769642204e-05,-4.5933902321250604e-05,-3.589317202568054e-05,0.009218480437994003,7.122287206584588e-05,-5.976340227001569e-05,-4.904530942440033e-05,0.36485862731933594,0.0003513368428684771,0.00019351761672905025,0.00015974044799804688,0.05501736328005791,5.74866498936899e-05,-2.594767426396721e-05,-2.501159906387329e-05,0.12324389070272446,8.788027480477467e-05,-8.39716438011801e-05,-5.342066287994385e-05,-0.017840057611465454,3.4372096706647426e-05,-1.8591657712979818e-05,-1.5171244740486145e-05,0.012059810571372509,1.1486065886856522e-05,-3.012638183828384e-05,-1.9712373614311218e-05,0.4932725694444444,4546.0,0.4932725694444444,0.0,0.0,0.0,0.0,0.0,0.0628484830454229,0.0628484830454229,0.2936647602287725,0.0115486141663,107.14925074879636,11.193603343812764,11.21053367588778,1.1789865116787182,0.122978255773584,0.0101900270983865,0.0132162500096043,0.1127608187962323,0.1220704722218215,0.0093096534255892,0.0008243285511669,-0.0011099770665168,0.0010640770196914,0.5578947368421052,0.1869093946491678,0.0096202356113119,0.0185663460840269,0.1758281672373414,0.1886929487809538,0.0128647815436124,0.0012932162535818,-0.0019760429859161,0.0018603503704071,0.5368421052631579,0.0636405218004559,0.0067055979957679,0.0112818416817708,0.0562563530402258,0.0642175751272589,0.007961222087033,0.000497480481863,-0.0006917208433151,0.0006650380790233,0.5684210526315789,0.0423773075453937,0.0017472394776619,0.0019953807182225,0.0408722365973517,0.0421329860109835,0.0012607494136318,0.0006130937682954,-0.0011097282171249,0.0007476538419723,0.5052631578947369,5.0679107,-1.0476799,-0.5830304,1.369312,1.9719757,0.9133804,0.32588106,-1.9400666,-1.5755225,0.80767536,-0.7962512,-0.06547953,0.08029462,0.1374047,-0.0772066,-1.0226381
selected_event_control::cycle60_rank3_obj9,cycle60_rank3_obj9,selected_event_control,60.0,7_c2_x10_290623,,,,,,,0.0001114405386033468,8.863290713634342e-05,0.0001176202276838012,2.8987320547457784e-05,3.88952194139404e-05,0.00011061945406254381,-8.210845408029854e-07,-0.007422605063766241,0.00011061945406254381,3.967027154622453e-05,8.48475281145511e-07,4.186574717311473e-09,-0.07048595696687698,6.190882413648069e-05,3.988596313085408e-05,2.14502215385437e-05,0.04079363867640495,9.662564843893051e-05,-0.0003012884216210085,-0.00020598620176315308,0.04101378098130226,2.1220132111920975e-05,-6.72030176237524e-05,-4.6115368604660034e-05,0.012948937714099884,2.986899016832467e-05,-5.7884170337742274e-05,-4.0436163544654846e-05,-0.05391236022114754,2.8511823984445073e-05,-5.269691962587414e-06,-5.107372999191284e-06,0.04157954826951027,3.346867742948234e-05,-8.053130460613482e-05,-5.2578747272491455e-05,-0.04461215063929558,6.057578502804972e-05,0.00017964141923434962,0.00012671202421188354,-0.05922457203269005,1.6006311852834187e-05,3.618480320828077e-05,2.7060508728027344e-05,-0.04295786842703819,4.640130646293983e-05,0.00014771782485862933,0.00010380521416664124,0.07669433951377869,9.120188042288646e-05,-0.00014222526116315412,-9.34302806854248e-05,0.009942196309566498,3.322393968119286e-05,8.673867698009637e-05,6.042513996362686e-05,-0.08167027682065964,5.6420463806716725e-05,0.00012299358441504162,8.31112265586853e-05,-0.03893356770277023,4.070952854817733e-05,-1.542034232509397e-05,-1.2021511793136597e-05,-0.10103001445531845,5.0266105972696096e-05,9.488283666141063e-05,6.360560655593872e-05,-0.10153180360794067,4.921000072499737e-05,9.016089679041636e-05,5.904585123062134e-05,-0.08666469901800156,6.415967072825879e-05,0.00016818603155070632,0.00011406093835830688,-0.1277155876159668,5.872705514775589e-05,0.00018180927895397405,0.00012683868408203125,-0.024846335873007774,5.415448686107993e-05,-2.5157473462917394e-05,-2.2573396563529968e-05,0.009211518801748753,6.65403640596196e-05,-8.515425724907922e-05,-6.653089076280594e-05,0.36531639099121094,0.0004134790797252208,-0.0001877758498350413,-9.262561798095703e-05,0.05501839518547058,5.141917790751904e-05,-7.287202614173089e-05,-5.8945268392562866e-05,0.12351822853088379,0.00013156064960639924,-0.00027291569378723956,-0.00018011778593063354,-0.017861591652035713,3.997339081251994e-05,3.8762533672416276e-06,-8.288770914077759e-07,0.012121045030653477,1.8178499885834754e-05,-5.631139993994119e-05,-3.739725798368454e-05,0.4694010416666667,4326.0,0.4694010416666667,0.0,0.0,0.0,0.0,0.0,0.012297600845853,0.012297600845853,0.3055940822931114,0.0037563569116967,26.756533319684603,0.8253039266444803,9.796559816463766,0.2910114895925676,0.125657585915178,0.0101097479911637,0.0131667775975674,0.1155649952124804,0.1250930347014218,0.0095280394889414,0.0007768739995203,-0.0012660801410675,0.0011406958103179,0.5578947368421052,0.1908054786423842,0.0094259359850838,0.0161005039267318,0.1806246289052069,0.1922912052832543,0.0116665763780474,0.0009838468150088,-0.0014814883470535,0.0011827886104583,0.5263157894736842,0.0660407001075024,0.0063381080948174,0.0105796902771732,0.0591767993755638,0.0668141568312421,0.0076373574556782,0.000526574803026,-0.0009134277701377,0.0007593631744384,0.5684210526315789,0.0436924843816086,0.0017432412711099,0.0021867905095334,0.0421254714019596,0.043746362440288,0.0016208910383284,0.0005231674172376,-0.0007607154548168,0.000916676223278,0.4842105263157895,4.924278,-1.0742229,-0.56430894,1.3730435,1.9083164,0.9023824,0.32571992,-1.9246273,-1.6409587,0.80040354,-0.8614811,-0.03411022,0.090142116,0.14240594,-0.049380038,-0.90256745
selected_event_control::cycle60_rank1_obj1,cycle60_rank1_obj1,selected_event_control,60.0,7_c2_x10_290623,,,,,,,4.750641528517008e-05,4.108471694053151e-05,4.908249684376642e-05,7.997779903234914e-06,1.089721451870377e-05,4.6727232984267175e-05,-7.791823009029031e-07,-0.01667512208223343,4.6727232984267175e-05,1.1673910993474589e-05,7.914041475487466e-07,-5.605483011094954e-09,-0.07036034017801285,1.7257356375921518e-05,-1.225656992997495e-05,-1.0624527931213379e-05,0.04054250940680504,4.570053351926617e-05,2.7381620590697064e-05,1.8835067749023438e-05,0.04096878692507744,8.740158591535874e-06,1.1118131296078389e-05,8.493661880493164e-06,0.012998919002711773,1.6567310012760572e-05,6.5992131454814035e-06,2.995133399963379e-06,-0.05383983254432678,1.225221512868302e-05,3.106626153909129e-05,2.2388994693756104e-05,0.04145677760243416,7.912489309092052e-06,1.807312826750614e-05,1.2546777725219727e-05,-0.04457592964172363,4.059659841004759e-05,1.352501207407388e-05,1.2386590242385864e-05,-0.05921778082847595,2.6115494620171376e-05,4.242124400799338e-05,3.3017247915267944e-05,-0.04283111169934273,3.887790080625564e-05,8.317869943910181e-06,7.681548595428467e-06,0.07642963528633118,1.6812260582810268e-05,2.652412933332401e-05,2.072751522064209e-05,0.009996432811021805,3.1775965908309445e-05,-6.468724171377129e-06,-2.0172446966171265e-06,-0.08151285350322723,1.758139842422679e-05,-2.7781150774292317e-05,-2.1323561668395996e-05,-0.03886008262634277,1.7135545931523666e-05,-9.389675808122189e-07,-3.2261013984680176e-06,-0.10088014602661133,1.3736930668528657e-05,-1.826986536075742e-05,-1.3865530490875244e-05,-0.1013660803437233,1.560336022521369e-05,1.4124428565332494e-05,1.0192394256591797e-05,-0.08650746196508408,1.7811487850849517e-05,3.882607003476565e-06,2.2426247596740723e-06,-0.1275947391986847,3.636478504631668e-05,-5.337534491648507e-07,-4.917383193969727e-07,-0.024767106398940086,1.6433323253295384e-05,1.7342986971062218e-05,1.1671334505081177e-05,0.009357417933642864,2.716438211791683e-05,1.0648981749674198e-05,8.444301784038544e-06,0.3641416132450104,9.220739593729377e-05,-8.784703065428609e-05,-5.3256750106811523e-05,0.055168669670820236,2.5564291718183085e-05,6.623179699809238e-06,4.798173904418945e-06,0.12315875291824341,4.072486262884922e-05,-1.6610690191002165e-05,-1.1049211025238037e-05,-0.01778241991996765,1.7275906429858878e-05,-2.1775293922436683e-06,-4.200264811515808e-06,0.012173914350569248,1.6211050024139695e-05,4.401919672015963e-05,2.9702670872211456e-05,0.5748697916666666,5298.0,0.5748697916666666,0.0,0.0,0.0,0.0,0.0,0.0641976145438083,0.0641976145438083,0.3615515288788222,0.0430351075877689,154.54181221949383,5.852341468649243,10.57128520356133,1.6740081584968691,0.0998013009472439,0.005182863401493,0.0025722803595985,0.0959696765057742,0.097744754049927,0.0017750775441527,0.0003927542975074,-0.0006528139114379,0.0005478844046592,0.5052631578947369,0.1687025201196471,0.0093657921691813,0.0066363954935799,0.1614682823419571,0.1660543954931199,0.0045861131511628,0.0006918557380375,-0.0011498987674713,0.0008720219135284,0.5157894736842106,0.0468543798585111,0.0035069091467931,0.0027357083241234,0.043997581815347,0.045895459013991,0.0018978771986439,0.0002625726163387,-0.0004010133445262,0.0003647372126579,0.5684210526315789,0.0311862060140507,0.0006311472988692,0.0005127194748,0.0307481382624246,0.0311257654102519,0.0003776271478272,0.0002181721753195,-0.0003688301891088,0.0003934908658266,0.5368421052631579,-2.3619068,-1.685229,-1.9807007,-0.4315031,2.0503745,0.9823604,1.9576876,0.79689395,-0.52907246,-0.98242044,0.92737424,-1.5635086,0.77314925,0.74388874,0.3071581,0.72936106
