feature_set,model,mean_balanced_accuracy,mean_roc_auc,mean_average_precision,folds,null_mean_balanced_accuracy_mean,null_mean_balanced_accuracy_std,p_ge_observed_mean_balanced_accuracy,null_mean_roc_auc_mean,null_mean_roc_auc_std,p_ge_observed_mean_roc_auc,null_mean_average_precision_mean,null_mean_average_precision_std,p_ge_observed_mean_average_precision
all_physics_plus_qc,logistic_l2,0.609375,0.703125,0.7402199652199652,4,0.4946875,0.07500661554202932,0.06965174129353234,0.48385416666666664,0.1119306152293828,0.01990049751243781,0.5568388486513486,0.08117394431547079,0.014925373134328358
all_physics_plus_qc,random_forest,0.6875,0.796875,0.809319153069153,4,0.4977083333333333,0.08752143392260109,0.009950248756218905,0.4896614583333333,0.1258287512156664,0.004975124378109453,0.5612359151265401,0.08989301217598955,0.009950248756218905
physics_no_selection_qc,logistic_l2,0.5625,0.625,0.6722305472305472,4,0.5003645833333333,0.07368935460781802,0.2537313432835821,0.48661458333333335,0.10861586730078472,0.08955223880597014,0.5567164085914086,0.0800629562229606,0.07960199004975124
physics_no_selection_qc,random_forest,0.5729166666666666,0.6510416666666666,0.7053622303622303,4,0.4985677083333333,0.0856468304238619,0.18407960199004975,0.49265625,0.11899667243161717,0.1044776119402985,0.5664177564333814,0.08636885738813549,0.05472636815920398
