feature_set,model,mean_balanced_accuracy,mean_roc_auc,mean_average_precision,folds,permutation_index
all_physics_plus_qc,logistic_l2,0.5208333333333333,0.5052083333333334,0.617270461020461,4,29
all_physics_plus_qc,random_forest,0.484375,0.5416666666666667,0.5709172771672771,4,29
physics_no_selection_qc,logistic_l2,0.515625,0.4739583333333333,0.5686999343249343,4,29
physics_no_selection_qc,random_forest,0.5104166666666666,0.5208333333333333,0.6022802429052428,4,29
all_physics_plus_qc,logistic_l2,0.4791666666666667,0.5,0.49974828412328415,4,30
all_physics_plus_qc,random_forest,0.43229166666666663,0.38541666666666663,0.4928058053058053,4,30
physics_no_selection_qc,logistic_l2,0.5572916666666666,0.5260416666666666,0.5256742100492101,4,30
physics_no_selection_qc,random_forest,0.5208333333333333,0.46354166666666663,0.5204072547822548,4,30
all_physics_plus_qc,logistic_l2,0.41666666666666663,0.4427083333333333,0.541500629000629,4,31
all_physics_plus_qc,random_forest,0.5104166666666666,0.53125,0.5984583703333703,4,31
physics_no_selection_qc,logistic_l2,0.3802083333333333,0.390625,0.5109536297036297,4,31
physics_no_selection_qc,random_forest,0.5104166666666667,0.453125,0.540809768934769,4,31
all_physics_plus_qc,logistic_l2,0.390625,0.18229166666666669,0.3716277935027935,4,32
all_physics_plus_qc,random_forest,0.36979166666666663,0.34375,0.4426554926554927,4,32
physics_no_selection_qc,logistic_l2,0.3802083333333333,0.19791666666666669,0.4062508093758094,4,32
physics_no_selection_qc,random_forest,0.390625,0.3125,0.42345131720131723,4,32
all_physics_plus_qc,logistic_l2,0.42708333333333337,0.296875,0.4027925777925778,4,33
all_physics_plus_qc,random_forest,0.46875,0.2916666666666667,0.44334103396603397,4,33
physics_no_selection_qc,logistic_l2,0.40625,0.27083333333333337,0.40162245162245164,4,33
physics_no_selection_qc,random_forest,0.4270833333333333,0.3177083333333333,0.44550565175565177,4,33
all_physics_plus_qc,logistic_l2,0.5572916666666667,0.5364583333333333,0.611407227032227,4,34
all_physics_plus_qc,random_forest,0.3333333333333333,0.2708333333333333,0.42438533688533686,4,34
physics_no_selection_qc,logistic_l2,0.6302083333333334,0.53125,0.6094486531986532,4,34
physics_no_selection_qc,random_forest,0.38541666666666663,0.2604166666666667,0.4272552678802679,4,34
all_physics_plus_qc,logistic_l2,0.53125,0.44791666666666663,0.5082186332186331,4,35
all_physics_plus_qc,random_forest,0.453125,0.41145833333333337,0.5129367160617161,4,35
physics_no_selection_qc,logistic_l2,0.5260416666666666,0.43229166666666663,0.5058056526806527,4,35
physics_no_selection_qc,random_forest,0.44270833333333337,0.39583333333333326,0.5219547813297813,4,35
all_physics_plus_qc,logistic_l2,0.5052083333333333,0.46354166666666663,0.5326184232434232,4,36
all_physics_plus_qc,random_forest,0.4166666666666667,0.390625,0.48056538369038365,4,36
physics_no_selection_qc,logistic_l2,0.484375,0.5052083333333334,0.5533793752543752,4,36
physics_no_selection_qc,random_forest,0.390625,0.421875,0.5101902726902727,4,36
all_physics_plus_qc,logistic_l2,0.59375,0.5677083333333333,0.5843253968253967,4,37
all_physics_plus_qc,random_forest,0.5052083333333334,0.5,0.5371615652865652,4,37
physics_no_selection_qc,logistic_l2,0.5625,0.5677083333333334,0.5740650553150553,4,37
physics_no_selection_qc,random_forest,0.5,0.47916666666666663,0.5443578412328413,4,37
all_physics_plus_qc,logistic_l2,0.3958333333333333,0.3333333333333333,0.4417709605209605,4,38
all_physics_plus_qc,random_forest,0.4427083333333333,0.39583333333333337,0.486759768009768,4,38
