target,feature_family,method,n_features,n_eval,n_cycles,n_sources,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,mean_raw_source_eta2,max_raw_source_eta2
clean_pre16_vs_post_control,consensus_visual_qc,source_confound_filter_0.25,5,106,53,13,54,0.8262108262108262,0.878683942587725,0.5649382841954133,2.821839220688004e-10,0.5492070276382893,0.8178661411009865
clean_pre16_vs_post_control,consensus_visual_qc,raw_standard,5,106,53,13,54,0.8222934472934472,0.8747619528968302,0.5581540908262544,5.091163440964278e-10,0.5492070276382893,0.8178661411009865
clean_pre16_vs_post_control,no_kinetics_signal,raw_standard,31,106,53,13,54,0.7353988603988605,0.7770821458318521,0.40766834700127524,1.4417168812195858e-05,0.2593265120947612,1.0
clean_pre16_vs_post_control,no_kinetics_signal,source_mean_resid_2,31,106,53,13,54,0.6948005698005698,0.7735780695933505,0.33735943390271944,0.0004056058599926094,0.2593265120947612,1.0
clean_pre16_vs_post_control,no_kinetics_signal,source_confound_filter_0.25,31,106,53,13,54,0.6534900284900285,0.6755858801499329,0.2658170311006803,0.005886539487172548,0.2593265120947612,1.0
clean_pre16_vs_post_control,all_signal,raw_standard,93,106,53,13,54,0.6474358974358974,0.701041959403182,0.25533236862107106,0.00825213749320859,0.2689049188707663,1.0
clean_pre16_vs_post_control,all_signal,source_mean_resid_2,93,106,53,13,54,0.6132478632478632,0.6634178013261758,0.1961248628538662,0.043915082128017466,0.2689049188707663,1.0
clean_pre16_vs_post_control,object_context_guardrail,raw_standard,6,106,53,13,54,0.5900997150997151,0.6209821381447036,0.15603644749065454,0.1102110411839714,0.22894839467100794,0.40127128174606674
clean_pre16_vs_post_control,phase_kinetics,raw_standard,64,106,53,13,54,0.5480769230769231,0.6200365171422412,0.08326076472609366,0.3961413880924344,0.26514119248961204,0.7928851946242187
clean_pre16_vs_post_control,phase_kinetics,source_mean_resid_2,64,106,53,13,54,0.5423789173789174,0.589186072875756,0.07339263735726438,0.4546572922412403,0.26514119248961204,0.7928851946242187
clean_pre16_vs_post_control,phase_kinetics,source_confound_filter_0.25,64,106,53,13,54,0.5178062678062678,0.5252054466744365,0.030837320268923576,0.7536730696392806,0.26514119248961204,0.7928851946242187
clean_pre16_vs_post_control,object_context_guardrail,source_confound_filter_0.25,6,106,53,13,54,0.5149572649572649,0.5318986111223992,0.02590328377315214,0.7921091801112976,0.22894839467100794,0.40127128174606674
clean_pre16_vs_post_control,front_echem_residual,source_mean_resid_2,19,106,53,13,54,0.5117521367521367,0.5211500073766724,0.020352580107476675,0.8359477375143489,0.06762209292980063,0.20451472302614684
clean_pre16_vs_post_control,consensus_visual_qc,source_mean_resid_2,5,106,53,13,54,0.49750712250712253,0.6462943465024226,-0.0043172139621920225,0.9649668851580454,0.5492070276382893,0.8178661411009865
clean_pre16_vs_post_control,all_signal,source_confound_filter_0.25,93,106,53,13,54,0.49537037037037035,0.5087992362017246,-0.008017703269920129,0.9349887761704745,0.2689049188707663,1.0
clean_pre16_vs_post_control,echem_context,source_mean_resid_2,7,106,53,13,54,0.4943019943019943,0.633469342687571,-0.009869235370762834,0.9200206972502419,0.5726095672971339,1.0
clean_pre16_vs_post_control,kinetics_plus_front_echem,source_confound_filter_0.25,88,106,53,13,54,0.4633190883190883,0.48372218284215196,-0.06352487975398256,0.5176786946442103,0.25297866269079344,1.0
clean_pre16_vs_post_control,front_echem_residual,raw_standard,19,106,53,13,54,0.45014245014245013,0.4896710823846191,-0.08634427924384044,0.37881953149075215,0.06762209292980063,0.20451472302614684
clean_pre16_vs_post_control,kinetics_plus_front_echem,source_mean_resid_2,88,106,53,13,54,0.43198005698005704,0.49009205264440125,-0.11779826668266806,0.2291236116060268,0.25297866269079344,1.0
clean_pre16_vs_post_control,kinetics_plus_front_echem,raw_standard,88,106,53,13,54,0.4277065527065528,0.5158114459232401,-0.12519920490356867,0.20098188168218944,0.25297866269079344,1.0
clean_pre16_vs_post_control,front_echem_residual,source_confound_filter_0.25,19,106,53,13,54,0.4045584045584045,0.47706445125657426,-0.16528762026678032,0.0904116494374949,0.06762209292980063,0.20451472302614684
