target,feature,direction,n,n_positive,oriented_auc,average_precision,median_positive_minus_negative,raw_source_eta2
near_vs_post_control,matched_positive_support_count,higher_in_positive,84,32,1.0,1.0,29.5,0.6730055718751995
near_vs_post_control,visual_review_score,higher_in_positive,22,19,1.0,0.9999999999999998,0.20880050541377682,0.8178661411009865
near_vs_post_control,consensus_review_score,higher_in_positive,84,32,0.893028846153846,0.8627557194787494,0.390848457638775,0.5253635239615871
near_vs_post_control,visual_front_plausibility_score,higher_in_positive,22,19,0.8157894736842105,0.9497607655502389,0.036137061333752385,0.17503464754367354
near_vs_post_control,masked_minus_bg_slope,higher_in_positive,84,32,0.7986778846153846,0.7118959695860193,0.0038615802029534504,0.5040597379796073
near_vs_post_control,visual_sanity_score,higher_in_positive,22,19,0.7543859649122807,0.9571794971725716,0.05405012237055895,0.5547652537100004
near_vs_post_control,q75_avrami_n,higher_in_positive,84,32,0.7295673076923077,0.6286413713817413,0.6099833303911669,0.1995371883485409
near_vs_post_control,q75_logistic_amp,higher_in_positive,84,32,0.7241586538461537,0.6826886751130348,0.0742984090005565,0.09298515868314851
near_vs_post_control,q75_phase_fraction_slope,higher_in_positive,84,32,0.7181490384615384,0.6603115266944005,0.00801554487168475,0.5034370686479696
near_vs_post_control,q75_logistic_k,higher_in_positive,84,32,0.6844951923076923,0.5032607145280125,43.82479096595043,0.1972943409379769
near_vs_post_control,q65_phase_fraction_slope,higher_in_positive,84,32,0.6820913461538463,0.613243579573638,0.010438913331220549,0.45242303058575556
near_vs_post_control,q55_max_abs_rate,higher_in_positive,84,32,0.6763822115384616,0.6001737388187216,0.334990958408687,0.7402488078946495
near_vs_post_control,q55_logistic_k,higher_in_positive,81,31,0.6677419354838711,0.5618879426223897,37.73904954066461,0.12300273022592333
near_vs_post_control,q75_phase_fraction_delta,higher_in_positive,84,32,0.6634615384615385,0.6059601744256181,0.0045207956600360494,0.14059596541102856
near_vs_post_control,particle_centroid_max_step_px,higher_in_positive,84,32,0.655048076923077,0.5958838991868318,0.13691049534122746,0.4386641463753304
near_vs_post_control,q55_phase_fraction_total_variation,higher_in_positive,84,32,0.6460336538461539,0.5931670439822854,0.04839059674502744,0.7865288442232682
near_vs_post_control,q65_phase_fraction_delta,higher_in_positive,84,32,0.645733173076923,0.5987654063408825,0.004303810543685314,0.12839919842693528
near_vs_post_control,q55_phase_fraction_slope,higher_in_positive,84,32,0.6430288461538461,0.5586466194341422,0.012311524766503198,0.3953826769070058
near_vs_post_control,front_radius_slope_px_per_norm_time_source_echem_context_residual,higher_in_positive,54,23,0.6409537166900421,0.5204695664839508,0.2104451124693805,0.1493279651845103
near_vs_post_control,q75_time_of_max_abs_rate_frac,higher_in_positive,84,32,0.6370192307692307,0.46021593574248926,0.05789473684210522,0.14283897941809445
near_vs_post_control,q55_phase_fraction_delta,higher_in_positive,84,32,0.6352163461538461,0.5589343365188735,0.009402862712948,0.13403852372658792
near_vs_post_control,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,higher_in_positive,54,23,0.6339410939691444,0.5273296753892455,2.6159521542464623,0.11337127889045724
near_vs_post_control,q55_phase_fraction_first,lower_in_positive,84,32,0.6310096153846153,0.5047139513570776,-0.003978300180831784,0.20545608814815447
near_vs_post_control,q65_max_abs_rate,higher_in_positive,84,32,0.6286057692307693,0.5736666550317533,0.13925629479118218,0.7374404217323356
near_vs_post_control,q55_avrami_n,higher_in_positive,84,32,0.6274038461538461,0.48134949808843025,0.3632823451667314,0.15741878083218322
near_vs_post_control,q75_avrami_r2,higher_in_positive,84,32,0.6256009615384616,0.4709003319019021,0.03947585753483626,0.1838602612453531
near_vs_post_control,front_radius_q60_slope_px_per_norm_time_source_echem_context_residual,higher_in_positive,41,21,0.6214285714285714,0.6096487422656135,0.32278561640818787,0.09327889181665869
near_vs_post_control,object_mean_abs_z,lower_in_positive,84,32,0.6177884615384617,0.4615446085551368,-2.370538711547848,0.24062877316727443
near_vs_post_control,object_x_full_approx,higher_in_positive,84,32,0.6147836538461539,0.47993164820569956,21.513788819875572,0.2701791145026204
near_vs_post_control,q55_logistic_r2,lower_in_positive,81,31,0.6138709677419354,0.47291683771418247,-0.0322256320105207,0.18515488889114617
near_vs_post_control,q65_phase_fraction_total_variation,higher_in_positive,84,32,0.6135817307692307,0.5637278010396565,0.02571428571428558,0.7928851946242187
near_vs_post_control,object_area_ds_px,higher_in_positive,84,32,0.6111778846153845,0.42013813952354767,17.5,0.10986075143354154
near_vs_far_pre,matched_positive_support_count,higher_in_positive,54,32,1.0,1.0,29.5,0.6730055718751995
near_vs_far_pre,visual_review_score,higher_in_positive,20,19,1.0,0.9999999999999998,0.20927309643570324,0.8178661411009865
near_vs_far_pre,consensus_review_score,higher_in_positive,54,32,0.8948863636363635,0.9300796395329183,0.32469662863767085,0.5253635239615871
near_vs_far_pre,capacity_fraction_of_first,lower_in_positive,48,26,0.8881118881118881,0.9399267399267399,-0.03211423184162687,0.7434139773012705
near_vs_far_pre,masked_minus_bg_slope,higher_in_positive,54,32,0.8252840909090909,0.871056778898097,0.0032531372019200503,0.5040597379796073
near_vs_far_pre,visual_front_plausibility_score,higher_in_positive,20,19,0.8157894736842105,0.9815789473684209,0.036137061333752385,0.17503464754367354
near_vs_far_pre,q75_phase_fraction_slope,higher_in_positive,54,32,0.75,0.7894391906687898,0.012753653921440698,0.5034370686479696
near_vs_far_pre,q55_logistic_k,higher_in_positive,53,31,0.7302052785923754,0.8104875056131089,39.19644100396063,0.12300273022592333
near_vs_far_pre,q75_logistic_k,higher_in_positive,54,32,0.7272727272727273,0.7594523787480866,41.541136258549514,0.1972943409379769
near_vs_far_pre,q55_avrami_n,higher_in_positive,54,32,0.7272727272727272,0.8280080848583904,0.4007757993689669,0.15741878083218322
near_vs_far_pre,shape_V_mean,lower_in_positive,48,26,0.7132867132867133,0.8271878706089233,-0.005065179060836034,0.8599722177081641
near_vs_far_pre,q75_avrami_n,higher_in_positive,54,32,0.7116477272727273,0.7915975855078368,0.6146710583470091,0.1995371883485409
near_vs_far_pre,q65_phase_fraction_slope,higher_in_positive,54,32,0.7088068181818182,0.7907597785164511,0.01361903674428135,0.45242303058575556
near_vs_far_pre,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,higher_in_positive,37,23,0.7080745341614907,0.7557244303456825,3.189452079689266,0.11337127889045724
near_vs_far_pre,q55_phase_fraction_slope,higher_in_positive,54,32,0.6988636363636364,0.7846025399928811,0.019113854141421402,0.3953826769070058
near_vs_far_pre,q55_phase_fraction_delta,higher_in_positive,54,32,0.6875,0.7831610001136274,0.0112821277224473,0.13403852372658792
near_vs_far_pre,q75_phase_fraction_delta,higher_in_positive,54,32,0.6853693181818182,0.7111507501239531,0.005388788426763,0.14059596541102856
near_vs_far_pre,front_radius_slope_px_per_norm_time_source_echem_context_residual,higher_in_positive,37,23,0.6832298136645963,0.7250312028848301,0.2497174773588023,0.1493279651845103
near_vs_far_pre,q65_phase_fraction_delta,higher_in_positive,54,32,0.6775568181818181,0.777543201802998,0.005858964250737814,0.12839919842693528
near_vs_far_pre,all_dq_abs_entropy,higher_in_positive,48,26,0.6643356643356644,0.6182292066907451,0.019099141120766827,0.6015375442200197
near_vs_far_pre,q55_avrami_logk,higher_in_positive,54,32,0.6633522727272728,0.8032389307477127,0.36329047619066646,0.2286916128382529
near_vs_far_pre,q55_max_abs_rate,higher_in_positive,54,32,0.6619318181818181,0.7331681443879298,0.35216998191682336,0.7402488078946495
near_vs_far_pre,stage_drift_xy_sampled,lower_in_positive,54,32,0.6590909090909092,0.7903010762385763,-0.0192582403567223,0.40127128174606674
near_vs_far_pre,object_y_full_approx,higher_in_positive,54,32,0.65625,0.7707426472938987,48.80673163082437,0.1767898202994347
near_vs_far_pre,q75_avrami_r2,higher_in_positive,54,32,0.6505681818181819,0.7083205975710413,0.03571619575329406,0.1838602612453531
near_vs_far_pre,echem_regime_pc2,lower_in_positive,54,32,0.6477272727272727,0.7258303021070763,-0.16294224626971765,0.21869918568429844
near_vs_far_pre,q75_phase_fraction_slope_r2,lower_in_positive,54,32,0.6477272727272727,0.6694229810623079,-0.027800923441830445,0.5039419022620509
near_vs_far_pre,q75_time_of_max_abs_rate_frac,higher_in_positive,54,32,0.6455965909090909,0.6854064172489849,0.05789473684210522,0.14283897941809445
near_vs_far_pre,q55_logistic_r2,lower_in_positive,53,31,0.6451612903225806,0.7242817307935099,-0.025756128225110753,0.18515488889114617
near_vs_far_pre,q75_logistic_t0,lower_in_positive,54,32,0.6448863636363635,0.7339777126337548,-0.06108934678586203,0.06131671246361838
near_vs_far_pre,object_x_full_approx,higher_in_positive,54,32,0.6392045454545455,0.7100404192015938,189.45592635094442,0.2701791145026204
near_vs_far_pre,q75_avrami_logk,higher_in_positive,54,32,0.6306818181818182,0.7497801410238585,0.4640680770582523,0.14898063939377867
clean_pre16_vs_post_control,visual_review_score,higher_in_positive,23,20,1.0,1.0000000000000002,0.19175873724336984,0.8178661411009865
clean_pre16_vs_post_control,visual_front_plausibility_score,higher_in_positive,23,20,0.825,0.9543478260869567,0.03820095585746788,0.17503464754367354
clean_pre16_vs_post_control,matched_positive_support_count,higher_in_positive,106,54,0.7962962962962963,0.8001397624039134,20.0,0.6730055718751995
clean_pre16_vs_post_control,consensus_review_score,higher_in_positive,106,54,0.7841880341880343,0.8099961560631548,0.254730664094512,0.5253635239615871
clean_pre16_vs_post_control,visual_sanity_score,higher_in_positive,23,20,0.7666666666666667,0.96163610599142,0.05776886668021031,0.5547652537100004
clean_pre16_vs_post_control,q55_max_abs_rate,higher_in_positive,106,54,0.6615028490028488,0.7056554800622202,0.334990958408687,0.7402488078946495
clean_pre16_vs_post_control,masked_minus_bg_slope,higher_in_positive,106,54,0.6566951566951568,0.6796152021719857,0.0017420794949833999,0.5040597379796073
clean_pre16_vs_post_control,coulombic_inefficiency_pct,higher_in_positive,100,48,0.6538461538461539,0.6375816532725331,0.13468081941872612,0.3446516700015405
clean_pre16_vs_post_control,q65_phase_fraction_total_variation,higher_in_positive,106,54,0.6463675213675213,0.6877160639716693,0.03142857142857136,0.7928851946242187
clean_pre16_vs_post_control,echem_regime_pc1,lower_in_positive,106,54,0.6438746438746439,0.648792546546997,-0.656305382400141,0.2399923761646446
clean_pre16_vs_post_control,masked_mean_total_variation,higher_in_positive,106,54,0.642094017094017,0.6944093610713613,0.015438890188234272,0.5662678256100893
clean_pre16_vs_post_control,q55_phase_fraction_first,lower_in_positive,106,54,0.6403133903133903,0.6265908356487964,-0.0043399638336346635,0.20545608814815447
clean_pre16_vs_post_control,q75_avrami_n,higher_in_positive,106,54,0.6367521367521367,0.6510028266885924,0.1926040690365318,0.1995371883485409
clean_pre16_vs_post_control,q65_max_abs_rate,higher_in_positive,106,54,0.6356837606837606,0.6918513821737552,0.17533224415827142,0.7374404217323356
clean_pre16_vs_post_control,q55_phase_fraction_total_variation,higher_in_positive,106,54,0.6321225071225071,0.6849321291417151,0.029367088607594904,0.7865288442232682
clean_pre16_vs_post_control,echem_regime_pc2,higher_in_positive,106,54,0.6267806267806268,0.6167805809741631,0.14868725254245918,0.21869918568429844
clean_pre16_vs_post_control,particle_centroid_max_step_px,higher_in_positive,106,54,0.6221509971509972,0.6687809112361792,0.12058624357659264,0.4386641463753304
