target,method,richer_family,baseline_family,roc_auc_delta,average_precision_delta,richer_auc,baseline_auc,richer_ap,baseline_ap
clean_pre16_vs_post_control,raw_standard,phase_kinetics,front_echem_residual,0.097934472934473,0.13036543475762208,0.5480769230769231,0.45014245014245013,0.6200365171422412,0.4896710823846191
clean_pre16_vs_post_control,raw_standard,kinetics_plus_front_echem,front_echem_residual,-0.022435897435897356,0.026140363538621036,0.4277065527065528,0.45014245014245013,0.5158114459232401,0.4896710823846191
clean_pre16_vs_post_control,raw_standard,all_signal,no_kinetics_signal,-0.08796296296296313,-0.07604018642867005,0.6474358974358974,0.7353988603988605,0.701041959403182,0.7770821458318521
clean_pre16_vs_post_control,source_confound_filter_0.25,phase_kinetics,front_echem_residual,0.11324786324786329,0.04814099541786221,0.5178062678062678,0.4045584045584045,0.5252054466744365,0.47706445125657426
clean_pre16_vs_post_control,source_confound_filter_0.25,kinetics_plus_front_echem,front_echem_residual,0.058760683760683774,0.0066577315855776975,0.4633190883190883,0.4045584045584045,0.48372218284215196,0.47706445125657426
clean_pre16_vs_post_control,source_confound_filter_0.25,all_signal,no_kinetics_signal,-0.1581196581196581,-0.1667866439482083,0.49537037037037035,0.6534900284900285,0.5087992362017246,0.6755858801499329
clean_pre16_vs_post_control,source_mean_resid_2,phase_kinetics,front_echem_residual,0.030626780626780703,0.06803606549908359,0.5423789173789174,0.5117521367521367,0.589186072875756,0.5211500073766724
clean_pre16_vs_post_control,source_mean_resid_2,kinetics_plus_front_echem,front_echem_residual,-0.07977207977207967,-0.03105795473227113,0.43198005698005704,0.5117521367521367,0.49009205264440125,0.5211500073766724
clean_pre16_vs_post_control,source_mean_resid_2,all_signal,no_kinetics_signal,-0.08155270655270663,-0.11016026826717473,0.6132478632478632,0.6948005698005698,0.6634178013261758,0.7735780695933505
near_vs_far_pre,raw_standard,phase_kinetics,front_echem_residual,0.13068181818181823,0.14892638084137105,0.47301136363636365,0.3423295454545454,0.6484588781699847,0.49953249732861366
near_vs_far_pre,raw_standard,kinetics_plus_front_echem,front_echem_residual,0.05255681818181823,0.11867902482617759,0.39488636363636365,0.3423295454545454,0.6182115221547912,0.49953249732861366
near_vs_far_pre,raw_standard,all_signal,no_kinetics_signal,-0.18607954545454553,-0.07882077971528312,0.6321022727272727,0.8181818181818182,0.7930090667904224,0.8718298465057055
near_vs_far_pre,source_confound_filter_0.25,phase_kinetics,front_echem_residual,0.06534090909090906,0.1305476351592616,0.4375,0.37215909090909094,0.6415063467370146,0.510958711577753
near_vs_far_pre,source_confound_filter_0.25,kinetics_plus_front_echem,front_echem_residual,0.0,0.11762097934624749,0.37215909090909094,0.37215909090909094,0.6285796909240005,0.510958711577753
near_vs_far_pre,source_confound_filter_0.25,all_signal,no_kinetics_signal,-0.08380681818181823,-0.008660176341654391,0.47869318181818177,0.5625,0.6977477773442166,0.706407953685871
near_vs_far_pre,source_mean_resid_2,phase_kinetics,front_echem_residual,0.09517045454545453,0.16562905983827114,0.4914772727272727,0.3963068181818182,0.7000234051021299,0.5343943452638588
near_vs_far_pre,source_mean_resid_2,all_signal,no_kinetics_signal,-0.035511363636363646,0.0750110491033612,0.6747159090909091,0.7102272727272727,0.7979115768357157,0.7229005277323545
near_vs_far_pre,source_mean_resid_2,kinetics_plus_front_echem,front_echem_residual,-0.049715909090909005,0.03731068027152118,0.34659090909090917,0.3963068181818182,0.5717050255353799,0.5343943452638588
near_vs_post_control,raw_standard,phase_kinetics,front_echem_residual,0.05889423076923078,0.10402850682077147,0.4657451923076923,0.4068509615384615,0.46697243569295144,0.36294392887217997
near_vs_post_control,raw_standard,kinetics_plus_front_echem,front_echem_residual,-0.06971153846153844,-0.005685763654862952,0.3371394230769231,0.4068509615384615,0.357258165217317,0.36294392887217997
near_vs_post_control,raw_standard,all_signal,no_kinetics_signal,-0.15024038461538458,-0.13486217309658566,0.8131009615384615,0.963341346153846,0.8099478471803132,0.9448100202768989
near_vs_post_control,source_confound_filter_0.25,phase_kinetics,front_echem_residual,0.09375000000000006,0.0326923878948821,0.5192307692307693,0.4254807692307692,0.4567509798392452,0.4240585919443631
near_vs_post_control,source_confound_filter_0.25,kinetics_plus_front_echem,front_echem_residual,0.027043269230769218,-0.031933172750816585,0.45252403846153844,0.4254807692307692,0.3921254191935465,0.4240585919443631
near_vs_post_control,source_confound_filter_0.25,all_signal,no_kinetics_signal,-0.2055288461538461,-0.21421669785593372,0.47836538461538464,0.6838942307692307,0.46562076045493467,0.6798374583108684
near_vs_post_control,source_mean_resid_2,phase_kinetics,front_echem_residual,0.12740384615384615,0.10867582197314984,0.59375,0.46634615384615385,0.5117563616658174,0.40308053969266755
near_vs_post_control,source_mean_resid_2,all_signal,no_kinetics_signal,-0.08173076923076916,-0.1583224989166815,0.8371394230769231,0.9188701923076923,0.7622720348360071,0.9205945337526886
near_vs_post_control,source_mean_resid_2,kinetics_plus_front_echem,front_echem_residual,-0.14663461538461542,-0.06996331166652947,0.31971153846153844,0.46634615384615385,0.3331172280261381,0.40308053969266755
